Participant,Action,Date of Notification/Deposit,Date of Effect
Afghanistan,Signature,14/08/1980, 
Afghanistan,Ratification,05/03/2003,04/04/2003
Albania,Accession,11/05/1994,10/06/1994
Algeria,Withdrawal of reservation,15/07/2009, 
Algeria,Accession,22/05/1996,21/06/1996
Andorra,Accession,15/01/1997,14/02/1997
Angola,Accession,17/09/1986,17/10/1986
Antigua and Barbuda,Accession,01/08/1989,31/08/1989
Argentina,Objection,04/04/1989, 
Argentina,Signature,17/07/1980, 
Argentina,Ratification,15/07/1985,14/08/1985
Armenia,Accession,13/09/1993,13/10/1993
Australia,Signature,17/07/1980, 
Australia,Ratification,28/07/1983,27/08/1983
Australia,Partial withdrawal of reservation and declaration,30/08/2000,30/08/2000
Austria,Signature,17/07/1980, 
Austria,Objection,26/10/1994, 
Austria,Communication,22/02/1996, 
Austria,Objection,05/06/1997, 
Austria,Objection,20/02/1998, 
Austria,Objection,14/08/2003, 
Austria,Objection,31/03/2003, 
Austria,Objection,13/02/2002, 
Austria,Objection,21/08/2001, 
Austria,Objection,21/08/2001, 
Austria,Objection,18/12/2006, 
Austria,Objection,05/01/2007, 
Austria,Objection,05/10/2005, 
Austria,Objection,12/02/2010, 
Austria,Communication,24/06/2011, 
Austria,Withdrawal of reservation,10/06/2015,10/06/2015
Austria,Partial withdrawal of reservation and declaration,11/09/2000,11/09/2000
Austria,Partial withdrawal of reservation,14/09/2006,14/09/2006
Austria,Ratification,31/03/1982,30/04/1982
Azerbaijan,Accession,10/07/1995,09/08/1995
Bahamas,Accession,06/10/1993,05/11/1993
Bahamas,Partial withdrawal of reservation,25/02/2011,25/02/2011
Bahrain,Accession,18/06/2002,18/07/2002
Bangladesh,Accession,06/11/1984,06/12/1984
Bangladesh,Withdrawal of reservation,23/07/1997,23/07/1997
Barbados,Signature,24/07/1980, 
Barbados,Ratification,16/10/1980,03/09/1981
Belgium,Signature,17/07/1980, 
Belgium,Withdrawal of reservation,14/09/1998, 
Belgium,Communication,19/01/1996, 
Belgium,Communication,30/04/2007, 
Belgium,Objection,30/04/2007, 
Belgium,Objection,09/04/2010, 
Belgium,Withdrawal of reservation,08/07/2002,08/07/2002
Belgium,Ratification,10/07/1985,09/08/1985
Belize,Signature,07/03/1990, 
Belize,Ratification,16/05/1990,15/06/1990
Benin,Signature,11/11/1981, 
Benin,Ratification,12/03/1992,11/04/1992
Bhutan,Signature,17/07/1980, 
Bhutan,Ratification,31/08/1981,30/09/1981
Bolivia,Signature,30/05/1980, 
Bolivia,Ratification,08/06/1990,08/07/1990
Bosnia and Herzegovina,Succession,01/09/1993,06/03/1992
Botswana,Accession,13/08/1996,12/09/1996
Brazil,Withdrawal of reservation,20/12/1994, 
Brazil,Signature,31/03/1981, 
Brazil,Ratification,01/02/1984,02/03/1984
Brunei Darussalam,Accession,24/05/2006,23/06/2006
Bulgaria,Signature,17/07/1980, 
Bulgaria,Ratification,08/02/1982,11/02/1982
Bulgaria,Withdrawal of reservation,24/06/1992,24/06/1992
Burkina Faso,Accession,14/10/1987,13/11/1987
Burundi,Signature,17/07/1980, 
Burundi,Ratification,08/01/1992,07/02/1992
Byelorussian Soviet Socialist Republic,Signature,17/07/1980, 
Byelorussian Soviet Socialist Republic,Ratification,04/02/1981,03/09/1981
Byelorussian Soviet Socialist Republic,Withdrawal of reservation,19/04/1989,19/04/1989
Cambodia,Signature,17/10/1980, 
Cambodia,Accession,15/10/1992,14/11/1992
Cameroon,Signature,06/06/1983, 
Cameroon,Ratification,23/08/1994,22/09/1994
Canada,Objection,25/10/1994, 
Canada,Withdrawal of declaration,28/05/1992, 
Canada,Objection,14/06/2007, 
Canada,Signature,17/07/1980, 
Canada,Communication,14/05/2014, 
Canada,Ratification,10/12/1981,09/01/1982
Cape Verde,Accession,05/12/1980,03/09/1981
Central African Republic,Accession,21/06/1991,21/07/1991
Chad,Accession,09/06/1995,09/07/1995
Chile,Signature,17/07/1980, 
Chile,Ratification,07/12/1989,06/01/1990
China,Communication,19/10/1999, 
China,Signature,17/07/1980, 
China,Ratification,04/11/1980,03/09/1981
Colombia,Signature,17/07/1980, 
Colombia,Ratification,19/01/1982,18/02/1982
Comoros,Accession,31/10/1994,30/11/1994
Congo,Signature,29/07/1980, 
Congo,Ratification,26/07/1982,25/08/1982
Cook Islands,Territorial application,10/01/1985,09/02/1985
Cook Islands,Accession,11/08/2006,10/09/2006
Cook Islands,Withdrawal of reservation,30/07/2007,30/07/2007
Costa Rica,Signature,17/07/1980, 
Costa Rica,Ratification,04/04/1986,04/05/1986
Côte d'Ivoire,Signature,17/07/1980, 
Côte d'Ivoire,Ratification,18/12/1995,17/01/1996
Croatia,Succession,09/09/1992,08/10/1991
Cuba,Signature,06/03/1980, 
Cuba,Ratification,17/07/1980,03/09/1981
Cyprus,Accession,23/07/1985,22/08/1985
Cyprus,Withdrawal of reservation,28/06/2000,28/06/2000
Czech Republic,Objection,18/04/2007, 
Czech Republic,Objection,12/01/2007, 
Czech Republic,Objection,10/11/2009, 
Czech Republic,Succession,22/02/1993,01/01/1993
Czechoslovakia,Signature,17/07/1980, 
Czechoslovakia,Ratification,16/02/1982,18/03/1982
Czechoslovakia,Withdrawal of reservation,26/04/1991,26/04/1991
Democratic People's Republic of Korea,Partial withdrawal of reservations,23/11/2015,23/11/2015
Democratic People's Republic of Korea,Accession,27/02/2001,29/03/2001
Democratic Yemen,Accession,30/05/1984,29/06/1984
Denmark,Objection,03/07/1990, 
Denmark,Signature,17/07/1980, 
Denmark,Objection,21/02/2002, 
Denmark,Objection,21/02/2002, 
Denmark,Objection,10/08/2001, 
Denmark,Objection,28/02/2003, 
Denmark,Objection,27/05/2003, 
Denmark,Objection,06/10/2006, 
Denmark,Communication,14/12/2005, 
Denmark,Objection,06/10/2006, 
Denmark,Communication,26/06/1998, 
Denmark,Objection,12/02/1997, 
Denmark,Communication,24/03/1998, 
Denmark,Communication,23/03/1998, 
Denmark,Objection,02/11/2000, 
Denmark,Ratification,21/04/1983,21/05/1983
Djibouti,Accession,02/12/1998,01/01/1999
Dominica,Signature,15/09/1980, 
Dominica,Ratification,15/09/1980,03/09/1981
Dominican Republic,Signature,17/07/1980, 
Dominican Republic,Ratification,02/09/1982,02/10/1982
Ecuador,Signature,17/07/1980, 
Ecuador,Ratification,09/11/1981,09/12/1981
Egypt,Withdrawal of reservation,04/01/2008, 
