"Participant","Action","Date of Notification/Deposit","Date of Effect"
"Afghanistan","Accession","11/09/2002","01/03/2003"
"Albania","Signature","08/09/1998"," "
"Albania","Ratification","29/02/2000","01/08/2000"
"Algeria","Signature","03/12/1997"," "
"Algeria","Ratification","09/10/2001","01/04/2002"
"Andorra","Signature","03/12/1997"," "
"Andorra","Ratification","29/06/1998","01/03/1999"
"Angola","Signature","04/12/1997"," "
"Angola","Ratification","05/07/2002","01/01/2003"
"Antigua and Barbuda","Signature","03/12/1997"," "
"Antigua and Barbuda","Ratification","03/05/1999","01/11/1999"
"Argentina","Signature","04/12/1997"," "
"Argentina","Ratification","14/09/1999","01/03/2000"
"Australia","Signature","03/12/1997"," "
"Australia","Ratification","14/01/1999","01/07/1999"
"Austria","Signature","03/12/1997"," "
"Austria","Ratification","29/06/1998","01/03/1999"
"Bahamas","Signature","03/12/1997"," "
"Bahamas","Ratification","31/07/1998","01/03/1999"
"Bangladesh","Ratification","06/09/2000","01/03/2001"
"Bangladesh","Signature","07/05/1998","07/05/1998"
"Barbados","Signature","03/12/1997"," "
"Barbados","Ratification","26/01/1999","01/07/1999"
"Belarus","Accession","03/09/2003","01/02/2004"
"Belgium","Signature","03/12/1997"," "
"Belgium","Ratification","04/09/1998","01/03/1999"
"Belize","Signature","27/02/1998"," "
"Belize","Ratification","23/04/1998","01/03/1999"
"Benin","Signature","03/12/1997"," "
"Benin","Ratification","25/09/1998","01/03/1999"
"Bhutan","Accession","18/08/2005","01/02/2006"
"Bolivia","Signature","03/12/1997"," "
"Bolivia","Ratification","09/06/1998","01/03/1999"
"Bosnia and Herzegovina","Signature","03/12/1997"," "
"Bosnia and Herzegovina","Ratification","08/09/1998","01/03/1999"
"Botswana","Signature","03/12/1997"," "
"Botswana","Ratification","01/03/2000","01/09/2000"
"Brazil","Signature","03/12/1997"," "
"Brazil","Ratification","30/04/1999","01/10/1999"
"Brunei Darussalam","Signature","04/12/1997"," "
"Brunei Darussalam","Ratification","24/04/2006","01/10/2006"
"Bulgaria","Signature","03/12/1997"," "
"Bulgaria","Ratification","04/09/1998","01/03/1999"
"Burkina Faso","Signature","03/12/1997"," "
"Burkina Faso","Ratification","16/09/1998","01/03/1999"
"Burundi","Signature","03/12/1997"," "
"Burundi","Ratification","22/10/2003","01/04/2004"
"Cambodia","Signature","03/12/1997"," "
"Cambodia","Ratification","28/07/1999","01/01/2000"
"Cameroon","Signature","03/12/1997"," "
"Cameroon","Ratification","19/09/2002","01/03/2003"
"Canada","Signature","03/12/1997"," "
"Canada","Ratification","03/12/1997","01/03/1999"
"Cape Verde","Signature","04/12/1997"," "
