Participant,Action,Date of Notification/Deposit,Date of Effect
Afghanistan,Accession,25/03/2013,23/06/2013
Albania,Accession,01/04/2005,30/06/2005
Algeria,Accession,16/02/2005,17/05/2005
Angola,Accession,08/05/2007,06/08/2007
Antigua and Barbuda,Signature,16/03/1998, 
Antigua and Barbuda,Ratification,03/11/1998,16/02/2005
Argentina,Signature,16/03/1998, 
Argentina,Communication,27/03/2007, 
Argentina,Ratification,28/09/2001,16/02/2005
Armenia,Accession,25/04/2003,16/02/2005
Australia,Signature,29/04/1998, 
Australia,Ratification,12/12/2007,11/03/2008
Austria,Signature,29/04/1998, 
Austria,Ratification,31/05/2002,16/02/2005
Azerbaijan,Accession,28/09/2000,16/02/2005
Bahamas,Accession,09/04/1999,16/02/2005
Bahrain,Accession,31/01/2006,01/05/2006
Bangladesh,Accession,22/10/2001,16/02/2005
Barbados,Accession,07/08/2000,16/02/2005
Belarus,Accession,26/08/2005,24/11/2005
Belgium,Signature,29/04/1998, 
Belgium,Ratification,31/05/2002,16/02/2005
Belize,Accession,26/09/2003,16/02/2005
Benin,Accession,25/02/2002,16/02/2005
Bhutan,Accession,26/08/2002,16/02/2005
Bolivia,Signature,09/07/1998, 
Bolivia,Ratification,30/11/1999,16/02/2005
Bosnia and Herzegovina,Accession,16/04/2007,15/07/2007
Botswana,Accession,08/08/2003,16/02/2005
Brazil,Signature,29/04/1998, 
Brazil,Ratification,23/08/2002,16/02/2005
Brunei Darussalam,Accession,20/08/2009,18/11/2009
Bulgaria,Signature,18/09/1998, 
Bulgaria,Ratification,15/08/2002,16/02/2005
Burkina Faso,Accession,31/03/2005,29/06/2005
Burundi,Accession,18/10/2001,16/02/2005
Cambodia,Accession,22/08/2002,16/02/2005
Cameroon,Accession,28/08/2002,16/02/2005
Canada,Signature,29/04/1998, 
Canada,Withdrawal,15/12/2011,15/12/2011
Canada,Ratification,17/12/2002,16/02/2005
Cape Verde,Accession,10/02/2006,11/05/2006
Central African Republic,Accession,18/03/2008,16/06/2008
Chad,Accession,18/08/2009,17/11/2009
Chile,Signature,17/06/1998, 
Chile,Ratification,26/08/2002,16/02/2005
China,Communication,08/04/2003, 
China,Communication,30/08/2002, 
China,Signature,29/05/1998, 
China,Communication,14/01/2008, 
China,Approval,30/08/2002,16/02/2005
Colombia,Accession,30/11/2001,16/02/2005
Comoros,Accession,10/04/2008,09/07/2008
Congo,Accession,12/02/2007,13/05/2007
Cook Islands,Signature,16/09/1998, 
Cook Islands,Ratification,27/08/2001,16/02/2005
Costa Rica,Signature,27/04/1998, 
Costa Rica,Ratification,09/08/2002,16/02/2005
Côte d'Ivoire,Accession,23/04/2007,22/07/2007
Croatia,Signature,11/03/1999, 
Croatia,Ratification,30/05/2007,28/08/2007
