Participant,Action,Date of Notification/Deposit,Date of Effect
Afghanistan,Signature,12/06/1992, 
Afghanistan,Ratification,19/09/2002,18/12/2002
Albania,Accession,03/10/1994,01/01/1995
Algeria,Signature,13/06/1992, 
Algeria,Ratification,09/06/1993,21/03/1994
Andorra,Accession,02/03/2011,31/05/2011
Angola,Signature,14/06/1992, 
Angola,Ratification,17/05/2000,15/08/2000
Antigua and Barbuda,Signature,04/06/1992, 
Antigua and Barbuda,Ratification,02/02/1993,21/03/1994
Argentina,Communication,27/03/2007, 
Argentina,Signature,12/06/1992, 
Argentina,Ratification,11/03/1994,09/06/1994
Armenia,Signature,13/06/1992, 
Armenia,Acceptance,14/05/1993,21/03/1994
Australia,Signature,04/06/1992, 
Australia,Ratification,30/12/1992,21/03/1994
Austria,Signature,08/06/1992, 
Austria,Ratification,28/02/1994,29/05/1994
Azerbaijan,Signature,12/06/1992, 
Azerbaijan,Ratification,16/05/1995,14/08/1995
Bahamas,Signature,12/06/1992, 
Bahamas,Ratification,29/03/1994,27/06/1994
Bahrain,Signature,08/06/1992, 
Bahrain,Ratification,28/12/1994,28/03/1995
Bangladesh,Signature,09/06/1992, 
Bangladesh,Ratification,15/04/1994,14/07/1994
Barbados,Signature,12/06/1992, 
Barbados,Ratification,23/03/1994,21/06/1994
Belarus,Signature,11/06/1992, 
Belarus,Approval,11/05/2000,09/08/2000
Belgium,Signature,04/06/1992, 
Belgium,Ratification,16/01/1996,15/04/1996
Belize,Signature,13/06/1992, 
Belize,Ratification,31/10/1994,29/01/1995
Benin,Signature,13/06/1992, 
Benin,Ratification,30/06/1994,28/09/1994
Bhutan,Signature,11/06/1992, 
Bhutan,Ratification,25/08/1995,23/11/1995
Bolivia,Signature,10/06/1992, 
Bolivia,Ratification,03/10/1994,01/01/1995
Bosnia and Herzegovina,Accession,07/09/2000,06/12/2000
Botswana,Signature,12/06/1992, 
Botswana,Ratification,27/01/1994,27/04/1994
Brazil,Signature,04/06/1992, 
Brazil,Ratification,28/02/1994,29/05/1994
Brunei Darussalam,Accession,07/08/2007,05/11/2007
Bulgaria,Signature,05/06/1992, 
Bulgaria,Ratification,12/05/1995,10/08/1995
Burkina Faso,Signature,12/06/1992, 
Burkina Faso,Ratification,02/09/1993,21/03/1994
Burundi,Signature,11/06/1992, 
Burundi,Ratification,06/01/1997,06/04/1997
Cambodia,Accession,18/12/1995,17/03/1996
Cameroon,Signature,14/06/1992, 
Cameroon,Ratification,19/10/1994,17/01/1995
Canada,Signature,12/06/1992, 
Canada,Communication,19/01/2016, 
Canada,Ratification,04/12/1992,21/03/1994
Cape Verde,Signature,12/06/1992, 
Cape Verde,Ratification,29/03/1995,27/06/1995
Central African Republic,Signature,13/06/1992, 
Central African Republic,Ratification,10/03/1995,08/06/1995
Chad,Signature,12/06/1992, 
Chad,Ratification,07/06/1994,05/09/1994
Chile,Signature,13/06/1992, 
Chile,Ratification,22/12/1994,22/03/1995
China,Signature,11/06/1992, 
China,Communication,08/04/2003, 
China,Communication,15/12/1999, 
China,Ratification,05/01/1993,21/03/1994
Colombia,Signature,13/06/1992, 
Colombia,Ratification,22/03/1995,20/06/1995
Comoros,Signature,11/06/1992, 
Comoros,Ratification,31/10/1994,29/01/1995
Congo,Signature,12/06/1992, 
Congo,Ratification,14/10/1996,12/01/1997
Cook Islands,Signature,12/06/1992, 
Cook Islands,Ratification,20/04/1993,21/03/1994
Costa Rica,Signature,13/06/1992, 
Costa Rica,Ratification,26/08/1994,24/11/1994
Côte d'Ivoire,Signature,10/06/1992, 
Côte d'Ivoire,Ratification,29/11/1994,27/02/1995
Croatia,Signature,11/06/1992, 
Croatia,Acceptance,08/04/1996,07/07/1996
Cuba,Signature,13/06/1992, 
Cuba,Ratification,05/01/1994,05/04/1994
Cyprus,Signature,12/06/1992, 
Cyprus,Ratification,15/10/1997,13/01/1998
Czech Republic,Signature,18/06/1993, 
Czech Republic,Notification,27/11/1995, 
