 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.1,0.1,0.1,0.2,0.2,0.3,0.4,..,..,..
Albania,1.4,1.3,1.5,1.6,1.5,1.5,1.6,..,..,..
Algeria,3.2,3,3.2,3.2,3.4,3.3,3.3,..,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,7.1,6.6,6.4,6.3,6,6.1,6,..,..,..
Angola,1.1,1.2,1.3,1.4,1.4,1.4,1.4,..,..,..
Antigua and Barbuda,5,5.1,5.6,5.6,5.9,6,5.8,..,..,..
Argentina,4.1,4.4,4.5,4.7,4.4,4.3,4.6,..,..,..
Armenia,1.4,1.5,1.7,1.9,1.5,1.4,1.7,..,..,..
Aruba,25,24.8,25.6,24.8,24.9,24.2,23.9,..,..,..
Australia,17.2,17.3,17.5,17.7,17.6,16.7,16.5,..,..,..
Austria,9,8.7,8.4,8.3,7.6,8.1,7.8,..,..,..
Azerbaijan,4.1,4.6,3.6,4.1,3.6,3.4,3.6,..,..,..
Bahamas,4.9,4.5,4.5,3,4.6,6.8,5.2,..,..,..
Bahrain,22.2,20,21.4,21.5,18.1,18.4,17.9,..,..,..
Bangladesh,0.3,0.3,0.3,0.3,0.4,0.4,0.4,..,..,..
Barbados,4.9,5,5.2,5.9,5.8,5.4,5.6,..,..,..
Belarus,6.1,6.4,6.3,6.6,6.3,6.6,6.7,..,..,..
Belgium,10.3,10.1,9.7,9.7,9.6,10,8.8,..,..,..
Belize,1.5,1.5,1.5,1.5,1.5,1.7,1.7,..,..,..
Benin,0.3,0.5,0.5,0.5,0.5,0.5,0.5,..,..,..
Bermuda,6.9,8.1,8,6,7.1,7.3,6.1,..,..,..
Bhutan,0.6,0.6,0.6,0.6,0.5,0.7,0.8,..,..,..
Bolivia,1.3,1.6,1.3,1.4,1.5,1.5,1.6,..,..,..
Bosnia and Herzegovina,4.2,4.6,4.6,5.2,5.4,5.5,6.2,..,..,..
Botswana,2.5,2.5,2.4,2.5,2.2,2.6,2.3,..,..,..
Brazil,1.8,1.8,1.9,2,1.9,2.1,2.2,..,..,..
Brunei,12.8,11.6,24.2,26.3,22.1,21.9,24.4,..,..,..
Bulgaria,6.2,6.4,6.9,6.8,5.7,6,6.7,..,..,..
Burkina Faso,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..,..,..
Burundi,0,0,0,0,0,0,0,..,..,..
Cambodia,0.2,0.2,0.3,0.3,0.3,0.3,0.3,..,..,..
Cameroon,0.2,0.2,0.3,0.3,0.3,0.3,0.3,..,..,..
Canada,17.4,16.9,17.1,16.4,15.1,14.6,14.1,..,..,..
Cabo Verde,0.6,0.6,0.8,0.6,0.6,0.6,0.9,..,..,..
Cayman Islands,9.9,9.7,11.3,11.2,10.3,10.2,10.3,..,..,..
Central African Republic,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..,..,..
Chad,0,0,0,0,0,0,0,..,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..
Chile,3.8,4,4.4,4.3,4,4.2,4.6,..,..,..
China,4.4,4.9,5.2,5.3,5.8,6.2,6.7,..,..,..
Colombia,1.4,1.4,1.4,1.5,1.5,1.7,1.6,..,..,..
Comoros,0.2,0.2,0.2,0.2,0.2,0.2,0.2,..,..,..
DR Congo,0,0,0,0,0,0,0.1,..,..,..
Republic of the Congo,0.4,0.3,0.3,0.3,0.4,0.5,0.5,..,..,..
Costa Rica,1.6,1.6,1.9,1.9,1.7,1.7,1.7,..,..,..
Côte d'Ivoire,0.4,0.4,0.4,0.4,0.3,0.3,0.3,..,..,..
Croatia,5.2,5.2,5.5,5.3,4.9,4.7,4.8,..,..,..
Cuba,2.3,2.4,2.4,2.7,2.6,3.4,3.2,..,..,..
Curaçao,..,..,..,..,..,..,..,..,..,..
Cyprus,7.3,7.4,7.7,7.9,7.4,7,6.7,..,..,..
