 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,57,57.4,57.8,58.2,58.6,59,59.3,59.7,60,..
Albania,76.1,76.3,76.5,76.6,76.8,77,77.2,77.4,77.5,..
Algeria,72.2,72.6,72.9,73.2,73.5,73.8,74.1,74.3,74.6,..
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..
Angola,48.5,49,49.4,49.8,50.3,50.7,51.1,51.5,51.9,..
Antigua and Barbuda,74.4,74.6,74.8,75,75.1,75.3,75.5,75.6,75.8,..
Argentina,74.7,74.8,75,75.2,75.3,75.5,75.6,75.8,76,..
Armenia,73.3,73.5,73.8,73.9,74.1,74.2,74.3,74.5,74.6,..
Aruba,74.2,74.4,74.5,74.7,74.8,75,75.1,75.2,75.3,..
Australia,80.8,81,81.3,81.4,81.5,81.7,81.9,82,82.2,..
Austria,79.3,79.9,80.2,80.4,80.3,80.6,81,80.9,80.9,..
Azerbaijan,68.9,69.4,69.8,70.1,70.3,70.5,70.6,70.6,70.7,..
Bahamas,73.6,73.9,74.1,74.2,74.4,74.6,74.8,74.9,75.1,..
Bahrain,75.4,75.6,75.7,75.8,76,76.1,76.3,76.4,76.5,..
Bangladesh,68,68.4,68.9,69.3,69.7,70.1,70.5,70.9,71.2,..
Barbados,74,74.2,74.4,74.5,74.7,74.8,75,75.2,75.3,..
Belarus,68.9,69.4,70.2,70.5,70.4,70.4,70.6,72,72.5,..
Belgium,79,79.4,79.8,79.7,80,80.2,80.6,80.4,80.4,..
Belize,69.1,69.3,69.5,69.6,69.7,69.8,69.8,69.9,70,..
Benin,57.1,57.5,57.9,58.2,58.5,58.7,58.9,59.1,59.3,..
Bermuda,78.7,78.9,78.9,79.2,79.4,79.3,81.2,81.7,80.6,..
Bhutan,64.9,65.6,66.3,66.9,67.4,67.9,68.3,68.7,69.1,..
Bolivia,63.5,64.1,64.7,65.3,65.8,66.4,66.9,67.4,67.9,..
Bosnia and Herzegovina,75.1,75.2,75.4,75.5,75.7,75.8,76,76.1,76.3,..
Botswana,54.6,56.9,59.1,61,62.4,63.4,64,64.2,64.4,..
Brazil,71.8,72.1,72.4,72.7,73,73.3,73.6,73.8,74.1,..
Brunei,76.2,76.4,76.7,77,77.3,77.6,77.9,78.3,78.5,..
Bulgaria,72.6,72.6,72.7,73,73.4,73.5,74.2,74.3,74.5,..
Burkina Faso,53.6,54.4,55.2,55.9,56.5,57.1,57.5,57.9,58.2,..
Burundi,52.7,53.1,53.5,53.9,54.4,54.8,55.3,55.8,56.3,..
Cambodia,63,63.8,64.6,65.2,65.8,66.4,66.9,67.3,67.8,..
Cameroon,51.9,52.2,52.5,52.9,53.3,53.7,54.1,54.6,55,..
Canada,80.3,80.6,80.4,80.5,80.7,80.9,81.1,81.2,81.4,..
Cabo Verde,71.5,71.8,72.1,72.3,72.5,72.6,72.7,72.8,73,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..
Central African Republic,44.7,45.2,45.7,46.3,46.9,47.6,48.4,49.1,49.9,..
Chad,48,48.2,48.6,49,49.4,49.9,50.3,50.8,51.2,..
Channel Islands,78.9,79.2,79.4,79.6,79.8,80,80.2,80.3,80.5,..
Chile,78.6,79,79.3,79.6,80,80.3,80.6,80.9,81.2,..
China,74.1,74.3,74.4,74.6,74.7,74.9,75,75.2,75.4,..
Colombia,72.3,72.5,72.7,72.9,73.1,73.3,73.5,73.6,73.8,..
Comoros,60.1,60.4,60.7,61.1,61.4,61.8,62.2,62.6,62.9,..
DR Congo,53.6,54.4,55.1,55.7,56.3,56.9,57.4,57.9,58.3,..
Republic of the Congo,53.6,54.6,55.8,57,58.1,59.1,60.1,60.9,61.7,..
Costa Rica,78.1,78.2,78.3,78.5,78.6,78.7,78.9,79.1,79.2,..
Côte d'Ivoire,47.8,48.3,48.8,49.3,49.7,50.2,50.5,50.9,51.2,..
Croatia,75.2,75.8,75.7,75.9,76.2,76.5,76.8,76.9,77.1,..
Cuba,77.9,78.2,78.4,78.7,78.8,78.9,79,79.1,79.3,..
Curaçao,..,74.7,75.4,75.3,76.2,..,77.5,..,..,..
