,4,8,12,16,20,24,660,28,32,51,533,36,40,31,44,48,50,52,112,56,84,204,60,64,68,599,70,72,76,92,96,100,854,108,132,116,120,124,136,140,148,831,152,156,344,446,170,174,178,184,188,384,191,192,531,196,203,408,180,208,262,212,214,218,818,222,226,232,233,231,234,238,242,246,250,254,258,266,270,268,276,288,292,300,304,308,312,316,320,324,624,328,332,336,340,348,352,356,360,364,368,372,833,376,380,388,392,400,398,404,296,414,417,418,428,422,426,430,434,438,440,442,450,454,458,462,466,470,584,474,478,480,175,484,583,492,496,499,500,504,508,104,516,520,524,528,540,554,558,562,566,570,580,578,512,586,585,591,598,600,604,608,616,620,630,634,410,498,638,642,643,646,290,659,662,666,670,882,674,678,682,686,688,690,694,702,534,703,705,90,706,710,728,724,144,275,729,740,748,752,756,760,762,764,807,626,768,772,776,780,788,792,795,796,798,800,804,784,826,834,840,850,858,860,548,862,704,876,732,887,894,716
108,,,,,,,,,,,,,,,,,,,,   466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  84 099,,,,,,,,,,,,,,,,   232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  57 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   805,,,,  13 732,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   81,,,,,,,,,,,,,  10 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   153,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  76 262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   218,,
232,,,,,,   480,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 347,,,,,,,,,,   115,,,,   141,,,,,,,,,,,  1 442,,,,,,,,,,,   99,,,,,   320,,,,,,,,,,,,,,,,,,,,,,,   93,,,,,,,,,,,,   281,,,,,,,,,,,,,,   551,,,,,,,,,,,,,,,,,   992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   436,,,,,,,,,,,,,,,,,,,  2 096,   154,  1 375,,,,   192,,,,,,,,,,,,,,,,,,,  1 345,,,   49,   446,,,,,,,,,,,   194,   243
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   29,,,,,,,,,,,,,,,,,,,,,,,,,   75,,  2 740,,,,,,,  5 756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   111,,,,,,,,,,,,,,,,,,,  327 545,,  110 527,,,,  15 491,,,,,,,,,,,,,,,,,,,   161,,,,,,,,,,,,,,   107,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 045,,,,,,,,,,,,,,,,,,,,,,,,,  2 684,,,,,,,,,   696,,  20 917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   523,,   60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 059,,,,,,,,,,,,,,,,,,,  259 706,   98,  62 546,,,,  8 766,,,,,,,,,,,,,,,,,,,  291 776,,,,  42 082,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 609,,,,  8 910,,,,,,,,,,,,,,,,,,,,,,,,,,,  7 269,,,,,,,,,,,,,,,,,,,,,,,  1 282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 410,,,,,,,,,,,,,,,  1 438,,,,,,,,,,  2 277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  55 817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 714,,,,,,,,,,,,,,,,,,,   57,  8 421,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 504,  9 794,,,,,,,,,,,  43 640,  37 861
480,,,,,,,,,,,,,,,,,  3 672,,,   57,,,,,,,,,,,,,,,,,,   32,,,,,,  5 151,   21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 119,,,,,,   118,,,,,,,,,,,,,,,,,  5 252,,,,   24,,,   113,,   11,,,,,,,,,,,,,,,,  1 236,,   49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   82,,,,,,,,,,,,,,,   39,,,,,,,,,,,,,   80,,,,,,,,   412,,   13,   496,,,,,,   51,,,,,,,,,,,,,,,,,,   415,,   40,,,,,,,,,,,
