 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506
Albania,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,2894475
Algeria,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334
American Samoa,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434
Andorra,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786
Angola,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524
Antigua and Barbuda,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900
Argentina,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026
Armenia,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154
Aruba,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441
Australia,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23125868,23490736
Austria,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8534492
Azerbaijan,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9537823
Bahamas,329243,335801,342259,348587,354780,360830,366711,372388,377841,383054
Bahrain,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930
Bangladesh,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513
Barbados,274013,275040,276154,277315,278466,279566,280602,281580,282503,283380
Belarus,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,9470000
Belgium,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11182817,11225207
Belize,283279,290751,298403,306165,313925,321609,329193,336707,344193,351706
Benin,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482
Bermuda,64154,64523,64888,65273,65636,65124,64564,64798,65001,65181
Bhutan,651163,666920,681471,694990,707830,720246,732246,743711,754637,765008
Bolivia,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762,10399931,10561887
Bosnia and Herzegovina,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554
Botswana,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510,2219937
Brazil,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377,206077898
Brunei,361889,368150,374459,380786,387080,393302,399443,405512,411499,417394
Bulgaria,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938
Burkina Faso,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198
Burundi,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860
Cambodia,13320058,13525360,13728700,13933660,14144337,14363586,14593099,14832255,15078564,15328136
Cameroon,18126999,18597109,19078100,19570418,20074522,20590666,21119065,21659488,22211166,22773014
Canada,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304,35540419
Cabo Verde,474224,478265,481278,483824,486673,490379,495159,500870,507258,513906
Cayman Islands,48623,50028,51480,52925,54285,55509,56580,57522,58369,59172
Central African Republic,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678,4804316
Chad,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053
Channel Islands,154298,155415,156516,157587,158613,159583,160489,161336,162138,162917
Chile,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647
China,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000
Colombia,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393
Comoros,618632,633814,649404,665414,681845,698695,715972,733661,751697,769991
DR Congo,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030
Republic of the Congo,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962
Costa Rica,4247843,4308790,4369465,4429506,4488261,4545273,4600487,4654148,4706433,4757606
Côte d'Ivoire,18132702,18486392,18862172,19261647,19684909,20131707,20604172,21102641,21622490,22157107
Croatia,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389
Cuba,11261052,11275199,11284043,11290239,11297442,11308133,11323570,11342631,11362505,11379111
Curaçao,137658,141239,144056,145880,146833,148703,150831,152088,153821,155872
Cyprus,1032586,1048293,1063040,1077010,1090486,1103685,1116644,1129303,1141652,1153658
Czech Republic,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10510566
Denmark,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5639565
Djibouti,778406,788941,799309,809639,820097,830802,841802,853069,864554,876174
Dominica,70542,70690,70795,70881,70995,71167,71402,71685,72005,72341
