Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Albania,...,...,Development,GDP (current US$ Mil),          13370.19,          12916.67,          12344.50,          12890.90,          11927.00,          12044.20,          12881.40,          10701.00,           9132.56,           8376.67,           7464.45,           5652.33,           4449.37,           4091.02,           3686.65,           3434.40,           2727.75,           2196.22,           3013.22,           2424.50,           1985.67,           1228.07,            709.45,           1139.17,           2101.62,           2335.12,           2126.00
Albania,...,...,Export,No. Of Export partners,            106.00,            103.00,             96.00,             98.00,             97.00,             81.00,             79.00,             86.00,             81.00,             76.00,             77.00,             51.00,             51.00,             47.00,             40.00,             39.00,             37.00,             37.00,             37.00,,,,,,,,
Albania,...,...,Export,No. Of Export products,            404.00,           1673.00,           1691.00,           1588.00,           1538.00,           1492.00,           1384.00,           1259.00,           1265.00,           1232.00,           1279.00,           1204.00,           1074.00,           1063.00,           1029.00,           1011.00,            887.00,            868.00,            999.00,,,,,,,,
Albania,...,...,Import,No. Of Import partners,            161.00,            152.00,            147.00,            154.00,            149.00,            156.00,            151.00,            149.00,            139.00,            137.00,            133.00,            120.00,            104.00,             99.00,             92.00,             94.00,             88.00,             72.00,             75.00,,,,,,,,
Albania,...,...,Import,No. Of Import products,           2355.00,           3778.00,           3767.00,           3822.00,           3823.00,           3835.00,           3987.00,           3899.00,           3936.00,           3908.00,           3909.00,           3782.00,           3794.00,           3770.00,           3759.00,           3767.00,           3528.00,           3446.00,           3680.00,,,,,,,,
Albania,...,...,Tariff,No. Of Tariff Agreement,             10.00,             10.00,             11.00,             11.00,              1.00,              1.00,             10.00,              8.00,              1.00,              8.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,              1.00,,,,,,,,,
Albania,...,...,Development,Trade Balance (current US$ Mil),          -2647.73,          -2344.00,          -2295.82,          -2930.80,          -2455.10,          -2909.62,          -3458.25,          -2803.29,          -2197.34,          -2014.84,          -1624.59,          -1427.48,          -1170.07,           -744.18,           -676.66,           -506.29,           -644.08,           -576.88,           -690.46,           -534.28,           -548.02,           -575.60,           -546.43,           -232.02,           -175.00,            -64.88,            -60.29
Albania,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              5.55,,,,              6.07,              3.32,,,,,,,,,,
Albania,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             25.91,,             21.86,             16.65,,,,,,,,,
Albania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            108.39,,,             85.17,             51.90,             37.58,             27.66,,,,,,,,,,,,,,,,,,,
