Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
United Arab Emirates,...,...,Development,GDP (current US$ Mil),         401646.58,         402340.16,         372314.00,         347454.00,         286049.00,         253547.00,         315475.00,         257916.00,         222106.00,         180617.00,         147824.00,         124346.00,         109816.00,         103312.00,         104337.00,          84445.50,          75674.30,          78839.00,          73571.20,          65743.70,          59305.10,          55625.20,          54239.20,          51552.20,          50701.40,          41465.00,          36275.67
United Arab Emirates,...,...,Export,No. Of Export partners,,,,            202.00,            199.00,            196.00,            184.00,            181.00,            182.00,            183.00,            197.00,            185.00,            183.00,            175.00,            182.00,            165.00,,,,,,            136.00,             65.00,             63.00,,,
United Arab Emirates,...,...,Export,No. Of Export products,,,,              1.00,              1.00,              1.00,           4188.00,           4436.00,              1.00,           4256.00,              1.00,              1.00,              1.00,,,,,,,,,            235.00,            178.00,            158.00,,,
United Arab Emirates,...,...,Import,No. Of Import partners,,,,            190.00,            191.00,            178.00,            175.00,            167.00,            164.00,            163.00,            172.00,            166.00,            178.00,            170.00,            170.00,            164.00,,,,,,            122.00,            110.00,            112.00,,,
United Arab Emirates,...,...,Import,No. Of Import products,,,,              1.00,              1.00,              1.00,           4528.00,           4770.00,              1.00,           4744.00,              1.00,              1.00,              1.00,,,,,,,,,           1503.00,           1489.00,           1483.00,,,
United Arab Emirates,...,...,Tariff,No. Of Tariff Agreement,,,,              1.00,,              3.00,              3.00,              3.00,              3.00,              3.00,,              1.00,,,,,,,,,,,,,,,
United Arab Emirates,...,...,Development,Trade Balance (current US$ Mil),          53605.97,          83388.97,          83904.00,          62873.00,          18614.00,          14819.00,          29094.00,          20556.00,          39504.00,          28208.50,          15540.70,          11870.40,           6517.60,           8733.80,,,,,,,,,,,,,
United Arab Emirates,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          14965.28,          13588.91,          13022.62,          17356.07,          12307.98,           8502.84,           6891.00,           5313.68,           3831.20,           3038.74,,,,,,,,,,,,,,
United Arab Emirates,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            476.83,,,,
United Arab Emirates,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           8347.47,           8081.54,           8168.27,,,           5945.87,,,           3156.81,           2519.82,,,,,,,,,            382.29,            373.15,            264.12,,,
United Arab Emirates,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            170.67,,,,,
United Arab Emirates,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          24236.52,          21842.89,          12660.85,          15242.25,           9425.65,           4734.65,           5346.16,           3868.92,           1027.73,           1067.44,,,,,,,,,,,,,,
United Arab Emirates,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          28626.86,          22651.43,          16763.73,          16873.68,          12247.04,           8476.49,           8765.24,           7098.77,           3277.45,,,,,,,,,,            326.84,,            220.51,,,
United Arab Emirates,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          14219.15,           9320.32,           7614.68,           6615.77,           6630.70,           5135.54,           3999.03,           3644.67,           2760.00,           2441.20,,,,,,,,,            909.27,,,,,
United Arab Emirates,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           4584.74,           4200.64,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          34486.28,          39815.06,          36380.07,          27996.96,          13926.58,          12779.41,          10691.88,,,,,,,,,            140.22,            147.93,            242.49,,,
United Arab Emirates,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           7760.81,,          11610.28,           8073.72,,           4677.11,           4428.23,           3479.69,           2762.44,,,,,,,,,            670.25,            671.14,            605.67,,,
United Arab Emirates,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             42.20,             34.77,,,
United Arab Emirates,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            253.26,,,,,
United Arab Emirates,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             21.87,,,
United Arab Emirates,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          95522.51,          68028.83,,          45403.19,          17767.70,          16287.21,          11784.46,          14444.20,           8166.29,           3548.26,,,,,,,,,,             68.20,             36.45,,,
United Arab Emirates,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            202.71,,,,,
United Arab Emirates,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           4872.61,,           3485.88,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             21.77,,,
United Arab Emirates,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             44.32,,,,
United Arab Emirates,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            494.29,            415.30,            334.03,,,
United Arab Emirates,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          14529.03,          11259.63,          11313.40,          12244.20,           8416.80,           6376.01,           5120.09,           3792.31,,           2616.88,,,,,,,,,            555.55,            527.27,            508.15,,,
United Arab Emirates,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          71025.68,          57898.61,         118721.93,          71745.35,          54848.93,          55979.42,          45121.34,          39751.71,          29894.40,          24524.56,,,,,,,,,,,,,,
