Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Argentina,...,...,Development,GDP (current US$ Mil),         540197.46,         622057.98,         607712.00,         559849.00,         462844.00,         378506.00,         406004.00,         329761.00,         263042.00,         222911.00,         183296.00,         129597.00,         102040.00,         268697.00,         284204.00,         283523.00,         298948.00,         292859.00,         272150.00,         258032.00,         257440.00,         236754.00,         228779.00,         189720.00,         141352.00,          76636.90,         126206.82
Argentina,...,...,Export,No. Of Export partners,            182.00,            182.00,            183.00,            182.00,            184.00,            182.00,            179.00,            182.00,            180.00,            182.00,            177.00,            167.00,            164.00,            160.00,            158.00,            147.00,            156.00,            158.00,            152.00,            150.00,            145.00,            136.00,,,,,
Argentina,...,...,Export,No. Of Export products,           3457.00,           3548.00,           3610.00,           3695.00,           3726.00,           3797.00,           3847.00,           3861.00,           4037.00,           4060.00,           4002.00,           3967.00,           3999.00,           3939.00,           3964.00,           4011.00,           4034.00,           4013.00,           3957.00,           3988.00,           3820.00,           3693.00,,,,,
Argentina,...,...,Import,No. Of Import partners,            179.00,            175.00,            176.00,            161.00,            154.00,            158.00,            158.00,            156.00,            158.00,            136.00,            156.00,            135.00,            138.00,            146.00,            148.00,            131.00,            135.00,            147.00,            150.00,            137.00,            105.00,            105.00,,,,,
Argentina,...,...,Import,No. Of Import products,           4006.00,           4061.00,           4083.00,           4196.00,           4201.00,           4194.00,           4237.00,           4241.00,           4458.00,           4465.00,           4424.00,           4375.00,           4248.00,           4553.00,           4573.00,           4638.00,           4659.00,           4664.00,           4656.00,           4677.00,           4679.00,           4653.00,,,,,
Argentina,...,...,Tariff,No. Of Tariff Agreement,             59.00,             58.00,             56.00,             55.00,             60.00,             56.00,             55.00,             13.00,             13.00,             12.00,             13.00,              1.00,              1.00,              4.00,              3.00,              3.00,              2.00,              3.00,,              7.00,,              1.00,,,,,
Argentina,...,...,Development,Trade Balance (current US$ Mil),           1344.83,           -446.97,          10721.90,           8710.50,          11677.00,          16455.30,          12942.40,          12016.90,          12597.50,          11170.00,          11051.00,          14537.10,          15318.80,           3508.80,          -1846.50,          -4900.20,          -7530.30,          -6485.50,          -1767.00,          -1059.20,          -7914.80,          -5692.70,          -3510.90,           3029.90,           8097.02,           4965.32,           4189.77
Argentina,Bolivia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2743.71,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13881.34,          16216.12,          16494.96,          17347.03,          14424.64,          11379.43,          13273.28,          10486.06,           8140.97,           6328.29,           5411.83,           4663.29,           4827.79,           6205.63,           6990.80,           5689.54,           7949.23,           8133.07,,           5484.10,           3654.81,           2814.18,,,,,
Argentina,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          14208.26,          19161.46,          17907.41,          22181.04,          17948.82,          11819.24,          17976.76,          14660.27,          11871.44,          10625.33,           7562.43,           4699.63,           2518.27,           5277.76,           6478.45,           5598.94,           7060.52,           6894.56,,           4175.95,           4285.89,           3568.42,,,,,
Argentina,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2791.88,           3906.69,           5064.78,           4844.72,           4492.82,           4386.66,           4713.57,           4176.20,           4404.62,           4497.16,           3830.58,           3536.33,           2961.08,           2851.69,           2674.33,           1868.95,           1857.00,           1931.58,,           1475.09,            998.81,            591.85,,,,,
Argentina,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4461.62,           5510.63,           5021.35,           6232.12,           5798.69,           3666.46,           6354.96,           5166.61,           3475.85,           3154.29,           2630.45,           2478.42,           1092.35,           1122.61,,,,            871.00,,,,,,,,,
Argentina,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10703.42,          11312.45,           9951.82,          10572.99,           7649.15,           4822.60,           7103.89,           5092.95,           3121.71,           1528.62,           1400.97,            720.75,            330.24,           1066.33,           1156.74,,,,,,,,,,,,
Argentina,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           1774.29,           1852.05,           1373.08,,           1039.99,           1072.14,            738.61,,,,,
Argentina,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            625.13,,,,,
Argentina,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3512.12,           3892.12,           3713.98,           3645.59,           3221.29,           1993.91,           2533.59,           2131.32,           1544.88,           1335.33,           1092.73,            768.79,            553.55,           1051.95,           1261.83,           1409.31,           1876.04,           1653.39,,           1250.61,           1382.38,           1023.50,,,,,
Argentina,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            736.45,            654.34,,,,,,
Argentina,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            766.06,,            443.52,,            839.42,           1014.25,           1354.69,           1604.97,           1737.43,,           1258.99,           1431.12,            980.86,,,,,
Argentina,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            314.05,,,,,,,,,,,,,,
Argentina,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2161.33,           2251.94,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           2369.59,           2392.14,           2961.68,,,,,,,,,           1021.64,           1109.13,            880.32,,           1191.25,           1179.55,           1270.06,,,,,
Argentina,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           2652.19,           3090.48,,,,           2060.90,           1825.81,           1564.78,           1362.93,           1387.90,           1145.85,           1099.53,            915.37,            961.96,,,,,,,,,,,
Argentina,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4040.42,           4289.60,           4132.60,           4300.96,           3668.60,           3680.36,           5401.77,           4344.41,           4119.11,           4570.41,           3707.82,           3133.53,           2957.20,           2900.13,           3148.71,           2652.90,           2211.58,           2204.03,,           1803.37,           1736.91,           1278.68,,,,,
Argentina,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8833.27,           8062.85,           8489.99,           7779.27,           6125.40,           5169.64,           6979.89,           5342.30,           4292.13,           4532.22,           3429.87,           2264.01,           1804.35,           3781.21,           4784.87,           4996.12,           6227.36,           6085.21,,           4206.58,           4928.28,           3858.56,,,,,
Argentina,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           2169.77,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           4395.78,           2339.21,           1720.92,           3226.83,           2247.61,           1455.52,,           1000.58,,,,,,,,,,,,,,,,
Argentina,Uruguay,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            824.22,,            850.08,,,,,,,,,,
Argentina,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1984.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       31680581.56,       31636284.40,       32356246.12,       36088055.28,       27701671.75,       19134243.37,       29183608.68,       22368649.05,       17475614.94,       15077863.11,       10959919.19,         581635.19,         368261.14,        6535713.67,        7300505.41,        7021478.95,        1694208.30,        1346553.63,        1204606.51,        7823561.54,,         630566.88,,,,,
Argentina,World,Animal,Export,Export(US$ Mil),           5019.29,           5144.02,           4741.22,           5159.21,           4160.92,           4075.70,           4321.78,           3570.64,           3636.72,           3022.78,           2507.02,           1929.80,           1591.57,           1544.38,           1884.59,           1934.28,           1900.57,           2180.86,           2164.11,           2131.81,           1558.11,           1273.64,,,,,
Argentina,World,Capital goods,Export,Export(US$ Mil),           7434.78,           9567.18,           9025.78,           8731.27,           6985.91,           5367.76,           7014.40,           5496.99,           4540.88,           3522.28,           2475.49,           2004.43,           2052.72,           2392.23,           2641.93,           2199.87,           2555.02,           2444.48,           1775.70,           1966.20,           1549.39,           1270.45,,,,,
Argentina,World,Chemicals,Export,Export(US$ Mil),           5249.77,           5185.19,           5881.90,           6083.23,           4772.10,           4076.27,           4581.62,           3155.00,           2798.43,           2452.83,           2133.97,           1675.17,           1463.52,           1552.03,           1526.53,           1488.78,           1481.80,           1284.22,           1072.20,           1069.94,            808.32,            632.02,,,,,
Argentina,World,Consumer goods,Export,Export(US$ Mil),          12317.57,          14546.43,          14979.69,          16047.25,          14004.03,          12006.44,          14874.13,          12888.65,          11182.97,           9048.74,           7461.21,           6084.90,           5245.26,           5702.66,           5282.62,           4736.20,           5902.97,           5853.45,           4482.00,           3836.25,           2829.22,           2528.41,,,,,
Argentina,World,Food Products,Export,Export(US$ Mil),          16176.46,          15838.26,          15697.70,          14743.42,          12043.48,          11795.96,          11213.34,           8815.90,           7037.29,           5942.50,           5429.38,           4805.44,           3900.11,           3813.04,           3647.28,           3343.32,           3454.16,           3975.44,           3827.50,           2636.65,           2189.88,           2242.03,,,,,
