Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Armenia,...,...,Development,GDP (current US$ Mil),          10881.61,          10431.22,           9957.89,          10142.10,           9260.28,           8647.94,          11662.00,           9206.30,           6384.45,           4900.47,           3576.62,           2807.06,           2376.34,           2118.47,           1911.56,           1845.48,           1893.73,           1639.49,           1596.97,           1468.32,           1315.16,           1201.31,           1272.58,           2068.53,           2256.84,,
Armenia,...,...,Export,No. Of Export partners,             97.00,             83.00,             92.00,             99.00,             90.00,             93.00,             88.00,             93.00,             90.00,             79.00,             86.00,             74.00,             79.00,             74.00,             68.00,             58.00,,             50.00,,,,,,,,,
Armenia,...,...,Export,No. Of Export products,           1278.00,           1340.00,           1364.00,           1294.00,           1210.00,           1314.00,           1354.00,           1396.00,           1411.00,           1333.00,           1201.00,           1198.00,           1163.00,           1135.00,            896.00,           1084.00,,           1010.00,,,,,,,,,
Armenia,...,...,Import,No. Of Import partners,            157.00,            155.00,            154.00,            156.00,            153.00,            139.00,            159.00,            148.00,            141.00,            106.00,             94.00,             97.00,             92.00,             84.00,             80.00,             85.00,,             71.00,,,,,,,,,
Armenia,...,...,Import,No. Of Import products,           3626.00,           3631.00,           3591.00,           3583.00,           3543.00,           3435.00,           3474.00,           3342.00,           3405.00,           3285.00,           3246.00,           3156.00,           3133.00,           2996.00,           2790.00,           2897.00,,           2273.00,,,,,,,,,
Armenia,...,...,Tariff,No. Of Tariff Agreement,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,,              1.00,,,,,,,,,,,,,
Armenia,...,...,Development,Trade Balance (current US$ Mil),          -2166.87,          -2196.49,          -2466.65,          -2393.25,          -2267.57,          -2380.77,          -2986.49,          -1838.05,          -1014.57,           -706.67,           -556.79,           -501.97,           -409.45,           -438.11,           -519.33,           -536.00,           -640.76,           -623.03,           -523.00,           -561.76,           -444.17,           -162.60,           -272.78,           -400.78,           -255.70,,
Armenia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            131.09,            127.17,,,,             91.05,            100.09,            108.76,            124.51,            107.89,            123.81,             92.15,             46.48,             74.74,             84.22,,,,,,,,,,,
Armenia,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            119.96,            158.40,            107.63,            128.67,             90.86,,             84.25,             85.18,,,,,,,,,,,
Armenia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             47.01,,,,,,,,,
Armenia,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             47.86,,,,,,,,,
Armenia,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            152.21,            129.29,            152.21,            156.55,             60.02,,,,,,,,,,,,,,,,,,,,,
Armenia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             93.28,             87.38,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            170.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            414.42,            383.49,            397.10,            402.54,            402.08,            284.81,            376.25,            192.36,,,,,,,,,,,,,,,,,,,
Armenia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            148.49,,,,,,,,,,,,,,,,,,,
Armenia,Georgia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             76.98,             69.09,,,,,,,,             11.10,,,,,,,,,,,
Armenia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            158.46,,            153.01,            157.84,            132.59,            114.79,            183.61,            168.54,            147.06,            146.75,             82.40,             43.70,,,,,,              9.26,,,,,,,,,
Armenia,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             94.21,,,,,,,,,,,             31.45,             30.03,             34.15,,             42.40,,,,,,,,,
