Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Antigua and Barbuda,...,...,Development,GDP (current US$ Mil),           1269.12,           1200.59,           1204.71,           1129.92,           1135.54,           1206.41,           1347.35,           1289.25,           1135.14,            997.37,            898.36,            840.00,            802.53,            773.76,            783.84,            651.85,            620.04,            579.85,            541.07,            494.19,            500.09,            456.54,            423.76,            410.39,            391.57,            373.40,            338.70
Antigua and Barbuda,...,...,Export,No. Of Export partners,,             57.00,             59.00,             60.00,             54.00,             66.00,,             64.00,,             68.00,,,,,             55.00,             40.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Export,No. Of Export products,,           1002.00,           1046.00,           1048.00,            893.00,            893.00,,            939.00,,            970.00,,,,,           1286.00,           1256.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Import,No. Of Import partners,,            133.00,            130.00,            125.00,            128.00,            136.00,,            142.00,            118.00,            119.00,,,,,            108.00,             91.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Import,No. Of Import products,,           2946.00,           3031.00,           3065.00,           3108.00,           3280.00,,           3438.00,           3249.00,           3243.00,,,,,           3455.00,           3552.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Tariff,No. Of Tariff Agreement,,              3.00,              2.00,              1.00,              1.00,              1.00,,              3.00,              3.00,              1.00,,,,,              1.00,              1.00,,,,,,,,,,,
Antigua and Barbuda,...,...,Development,Trade Balance (current US$ Mil),           -189.77,           -170.97,           -154.79,           -103.89,           -155.10,           -144.85,           -326.84,           -351.08,           -270.24,           -137.45,            -58.37,            -72.11,            -46.58,            -41.24,            -31.60,            -56.49,            -24.02,            -35.00,           -123.89,            -50.92,              7.67,             25.14,             11.90,             -2.43,              7.75,            -36.44,            -39.13
Antigua and Barbuda,Anguila,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              8.48,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              2.75,              2.16,,,,              8.12,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             13.34,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             12.59,,,,,,,,,,,,
Antigua and Barbuda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             19.66,             19.18,             13.49,             42.14,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              2.42,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.84,,,              6.01,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              1.44,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              1.07,,,,,,,,,,,
Antigua and Barbuda,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.23,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             10.27,              8.49,,,             23.97,,             24.59,             18.51,             14.77,,,,,,             36.21,,,,,,,,,,,
Antigua and Barbuda,Montserrat,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.00,,,,,,,,,,,,,,              1.95,,,,,,,,,,,
Antigua and Barbuda,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              2.28,             61.25,,             30.50,,             28.18,,,,,              1.73,,,,,,,,,,,,
Antigua and Barbuda,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             23.77,            154.44,             53.48,,,,,             40.46,             19.56,,,,,,,,,,,
Antigua and Barbuda,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.75,,,,,,,,,,,,,,,,,,,,,,,,,
