Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Australia,...,...,Development,GDP (current US$ Mil),        1453770.21,        1560372.47,        1534430.00,        1388070.00,        1141270.00,         926283.00,        1055030.00,         853441.00,         747206.00,         693339.00,         612872.00,         466451.00,         394251.00,         378488.00,         414987.00,         388692.00,         399325.00,         435636.00,         401410.00,         368023.00,         322874.00,         312029.00,         325313.00,         325642.00,         310945.00,         299474.80,         235787.25
Australia,...,...,Export,No. Of Export partners,            212.00,            211.00,            213.00,            212.00,            214.00,            215.00,            217.00,            215.00,            214.00,            212.00,            216.00,            215.00,            216.00,            217.00,            219.00,            205.00,            203.00,            201.00,            196.00,            202.00,            205.00,            196.00,            188.00,            180.00,            176.00,            178.00,            176.00
Australia,...,...,Export,No. Of Export products,           4188.00,           4210.00,           4224.00,           4254.00,           4278.00,           4278.00,           4279.00,           4296.00,           4518.00,           4548.00,           4541.00,           4546.00,           4584.00,           4591.00,           4589.00,           4588.00,           4548.00,           4571.00,           4544.00,           4564.00,           4549.00,           4570.00,           4523.00,           4511.00,           4490.00,           4471.00,           4455.00
Australia,...,...,Import,No. Of Import partners,            215.00,            211.00,            211.00,            214.00,            210.00,            213.00,            210.00,            211.00,            212.00,            210.00,            207.00,            208.00,            204.00,            202.00,            204.00,            182.00,            178.00,            174.00,            170.00,            167.00,            167.00,            169.00,            160.00,            152.00,            149.00,            148.00,            150.00
Australia,...,...,Import,No. Of Import products,           4366.00,           4367.00,           4365.00,           4386.00,           4386.00,           4402.00,           4408.00,           4431.00,           4639.00,           4681.00,           4698.00,           4683.00,           4683.00,           4744.00,           4745.00,           4745.00,           4783.00,           4802.00,           4791.00,           4856.00,           4860.00,           4848.00,           4826.00,           4817.00,           4839.00,           4869.00,           4848.00
Australia,...,...,Tariff,No. Of Tariff Agreement,             25.00,             25.00,             25.00,             22.00,             21.00,             13.00,             13.00,             13.00,             14.00,              9.00,              9.00,              9.00,              9.00,              9.00,              9.00,              9.00,              5.00,              9.00,,,,              7.00,,              6.00,,,
Australia,...,...,Development,Trade Balance (current US$ Mil),          -7273.64,         -19199.14,          -1965.00,          14449.00,         -11098.00,            945.00,         -27426.00,         -13738.00,         -13504.00,         -18826.00,         -16550.00,          -9902.80,             91.60,            667.10,          -8433.10,          -8892.10,          -3131.00,           1353.90,          -1755.70,          -7243.10,          -1719.10,          -1173.50,            659.80,           -642.10,          -6182.30,          -5629.02,          -1641.44
Australia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          81413.61,          87311.42,          75836.31,          73804.14,          52314.04,          33360.39,          27225.18,          19546.47,          15391.77,          12229.99,           8055.45,           5915.00,           4557.23,           3920.72,           3474.46,,,,,,,,,,,,
Australia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          46854.59,          44861.05,          45996.26,          43447.91,          35260.83,          28350.56,          29896.35,          24053.87,          19213.50,          16295.25,          13180.81,           9298.55,           6999.49,           5334.15,           5257.27,           4239.36,           3626.08,           3475.58,,           2825.03,,,,,,,
Australia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10706.49,,          11628.40,          10952.15,,,           9624.45,           8074.26,           6779.22,           6644.81,           6037.55,           5182.84,           3997.18,           3447.22,           3408.08,           3668.18,           3564.34,           3362.85,,           3770.34,           2946.36,           2414.13,           2323.02,           2326.61,           2515.16,           2472.79,           2199.98
