Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Azerbaijan,...,...,Development,GDP (current US$ Mil),          75198.01,          73560.48,          68730.90,          65951.60,          52902.70,          44291.50,          48852.50,          33050.30,          20983.00,          13245.40,           8680.51,           7275.77,           6236.02,           5707.62,           5272.62,           4581.22,           4446.40,           3962.71,           3176.75,           3052.47,           3313.74,           3973.03,           4991.35,           8792.37,           8858.01,,
Azerbaijan,...,...,Export,No. Of Export partners,            109.00,            105.00,            109.00,            105.00,            110.00,             96.00,             90.00,             90.00,             93.00,             83.00,             93.00,             82.00,             95.00,             87.00,             84.00,             86.00,             64.00,             55.00,             46.00,,,,,,,,
Azerbaijan,...,...,Export,No. Of Export products,           1019.00,           1017.00,            998.00,           1056.00,            970.00,           1020.00,           1001.00,           1129.00,           1179.00,           1123.00,           1025.00,            963.00,            951.00,           1047.00,           1119.00,           1056.00,            924.00,            800.00,            771.00,,,,,,,,
Azerbaijan,...,...,Import,No. Of Import partners,            135.00,            138.00,            142.00,            136.00,            129.00,            128.00,            131.00,            128.00,            130.00,            125.00,            110.00,            116.00,            109.00,            111.00,            113.00,            105.00,             92.00,             76.00,             74.00,,,,,,,,
Azerbaijan,...,...,Import,No. Of Import products,           3516.00,           3522.00,           3510.00,           3503.00,           3396.00,           3338.00,           3352.00,           3300.00,           3403.00,           3321.00,           3180.00,           3186.00,           3049.00,           2982.00,           2985.00,           3032.00,           3162.00,           2826.00,           2619.00,,,,,,,,
Azerbaijan,...,...,Tariff,No. Of Tariff Agreement,             10.00,             10.00,             10.00,             10.00,,             10.00,              7.00,              7.00,,              1.00,,,              1.00,,,,,,,,,,,,,,
Azerbaijan,...,...,Development,Trade Balance (current US$ Mil),          12833.10,          16075.97,          19292.70,          21332.60,          17787.80,          12635.20,          20669.20,          13093.62,           5822.11,           1329.77,          -2077.11,          -1712.69,           -454.00,            205.77,             34.97,           -636.52,          -1415.24,           -951.15,           -826.97,           -415.42,           -195.76,           -737.23,           1577.62,            391.58,            410.88,,
Azerbaijan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            697.08,,            631.86,,            587.62,            484.82,            478.53,,,,,,,,,,,,,,,,,,,,
Azerbaijan,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1523.49,,           1775.64,           4036.65,           1856.52,           1326.11,           2322.67,,            347.58,            406.72,,            209.73,            166.28,,            205.19,             58.09,,,,,,,,,,,
Azerbaijan,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            118.11,,,,,,,,,,,,,,
Azerbaijan,Georgia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            188.85,            111.46,,            103.24,,             71.71,             76.91,            133.48,,,,,,,,,
Azerbaijan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1925.56,           1356.81,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            702.78,            826.66,            779.97,            845.29,            607.07,            551.46,            598.57,            471.20,            403.82,            256.33,            198.48,            169.90,,,             67.55,,             46.66,,,,,,,,,,
Azerbaijan,Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            628.25,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             43.72,,,,,,,,,
Azerbaijan,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             85.85,,,,,,,,,,,,,
Azerbaijan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           1890.66,,,,           2432.50,,,,,,,,,,,,,,,,,,,,
