Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bangladesh,...,...,Development,GDP (current US$ Mil),         173818.93,         149990.45,         133356.00,         128638.00,         115279.00,         102478.00,          91631.30,          79611.90,          71819.10,          69442.90,          65108.50,          60158.90,          54724.10,          53991.30,          53369.80,          51270.60,          49984.60,          48244.30,          46438.50,          37939.70,          33768.70,          33166.50,          31708.90,          30957.50,          31218.80,          27828.10,          26579.01
Bangladesh,...,...,Export,No. Of Export partners,,,,            188.00,            186.00,            183.00,            187.00,            181.00,            179.00,            177.00,            176.00,            160.00,            152.00,            137.00,            139.00,,            135.00,            132.00,            128.00,            120.00,,            124.00,            117.00,            118.00,            118.00,            113.00,
Bangladesh,...,...,Export,No. Of Export products,,,,           1768.00,           1834.00,           1698.00,           1694.00,           1785.00,           1800.00,           1726.00,           1672.00,           1385.00,           1086.00,            965.00,            902.00,,            644.00,            548.00,            537.00,            489.00,,            422.00,            421.00,            384.00,            363.00,            408.00,
Bangladesh,...,...,Import,No. Of Import partners,,,,            183.00,            183.00,            186.00,            196.00,            203.00,            202.00,            193.00,            188.00,            184.00,            199.00,            159.00,            176.00,,            160.00,            160.00,            131.00,             68.00,,             99.00,            104.00,             98.00,            104.00,             99.00,
Bangladesh,...,...,Import,No. Of Import products,,,,           4148.00,           4116.00,           4093.00,           4066.00,           4173.00,           4224.00,           4254.00,           4197.00,           4163.00,           4197.00,           4113.00,           4052.00,,           3910.00,           3996.00,           3972.00,           3932.00,,           3109.00,           2974.00,           3125.00,           2996.00,           2961.00,
Bangladesh,...,...,Tariff,No. Of Tariff Agreement,,,,              1.00,              1.00,              1.00,              1.00,              4.00,              4.00,              5.00,              1.00,              1.00,              6.00,              4.00,              9.00,,              5.00,,,,,,,,,              1.00,
Bangladesh,...,...,Development,Trade Balance (current US$ Mil),          -9510.02,         -10830.29,         -10385.40,          -9746.60,          -6633.90,          -6366.40,          -6692.10,          -4738.30,          -3881.80,          -3896.59,          -2972.37,          -2884.97,          -2269.65,          -2875.02,          -2472.79,          -2497.22,          -2182.03,          -2549.60,          -3094.23,          -2458.59,          -1642.10,          -1687.20,          -1509.55,          -1722.66,          -2232.11,          -2016.11,          -1813.08
Bangladesh,Antarctica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1473.09,,,,,,,,,,,,,,,,,,,,
Bangladesh,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            288.28,,,,,,,,,,,,,,,
Bangladesh,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            776.65,,,,,,,,,,,,,,,,,,
Bangladesh,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           3610.35,           5323.34,           3837.21,           4561.18,           2750.20,           2570.72,           2002.26,           1580.19,           1113.48,            824.96,            894.09,            856.97,,            726.60,            522.01,,            472.02,,,            251.49,,,,
Bangladesh,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1560.39,           1223.39,           1020.87,            908.74,            855.73,            708.84,            615.82,            627.22,            444.18,            342.24,            316.21,            332.53,,            447.49,            344.66,,            200.08,,            115.20,            109.84,             90.92,,,
Bangladesh,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           3781.86,           2647.15,           2194.22,           2019.00,           2002.50,           1758.08,           1469.05,           1390.36,           1049.60,            602.02,            574.55,            594.26,,            449.02,            343.80,,            258.54,,            185.75,            160.29,            162.25,             83.82,             69.62,
Bangladesh,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1551.57,,,,,,,,,,,,,,,            619.24,,            289.06,            255.67,            213.98,,,
Bangladesh,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           4630.68,           3521.32,           2352.75,           3159.17,           2333.89,           1875.67,           1372.04,           1278.71,           1437.88,           1235.93,            889.59,            614.54,,           1040.69,           1336.25,,            615.17,,            258.69,,,            213.14,            168.70,
Bangladesh,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2461.61,,           1290.76,           1418.03,            896.98,,,,,,,,,,,,,,,,,,,
Bangladesh,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            529.34,,            372.68,            356.26,,,,,,            273.46,,,            193.08,,            111.14,            118.50,             92.14,            126.11,            102.35,
