Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belize,...,...,Development,GDP (current US$ Mil),,           1624.29,           1573.87,           1487.01,           1397.11,           1336.96,           1368.63,           1290.54,           1217.44,           1114.20,           1057.85,            990.35,            932.68,            871.84,            831.75,            732.61,            688.87,            654.20,            641.27,            620.03,            580.76,            559.76,            518.14,            444.72,            413.05,            363.15,            314.90
Belize,...,...,Export,No. Of Export partners,             74.00,             72.00,             51.00,             57.00,             42.00,             39.00,             42.00,             60.00,             56.00,             56.00,             62.00,             55.00,             34.00,             38.00,             51.00,             68.00,             45.00,             49.00,             46.00,             43.00,             39.00,             42.00,             47.00,,,,
Belize,...,...,Export,No. Of Export products,            799.00,            581.00,            163.00,            616.00,            156.00,            133.00,            157.00,            394.00,            405.00,            415.00,            437.00,            379.00,            117.00,            131.00,            447.00,           1659.00,            588.00,            430.00,            612.00,            458.00,            588.00,            596.00,            683.00,,,,
Belize,...,...,Import,No. Of Import partners,            120.00,            112.00,            114.00,            110.00,             88.00,            115.00,            112.00,            101.00,             94.00,             99.00,            100.00,            105.00,            115.00,            108.00,             86.00,            103.00,             72.00,             64.00,             72.00,             72.00,             75.00,             78.00,             83.00,,,,
Belize,...,...,Import,No. Of Import products,           3247.00,           3196.00,           3114.00,           2990.00,           2981.00,           3056.00,           3021.00,           3014.00,           3073.00,           3040.00,           3079.00,           3093.00,           3133.00,           3102.00,           3232.00,           3834.00,           3140.00,           2345.00,           2327.00,           2317.00,           2320.00,           2317.00,           2358.00,,,,
Belize,...,...,Tariff,No. Of Tariff Agreement,              6.00,              6.00,              6.00,              4.00,              4.00,              3.00,              3.00,              3.00,              4.00,,,              1.00,              1.00,              1.00,,              1.00,,,,,,,,,,,
Belize,...,...,Development,Trade Balance (current US$ Mil),,            -88.81,             -7.39,            -44.75,             10.35,            -61.49,            -99.66,             -1.60,             -6.31,            -89.52,            -84.15,           -126.25,           -126.55,           -158.95,           -172.25,            -90.11,            -29.95,            -19.16,             -1.68,             -7.13,            -15.14,            -19.56,            -16.58,            -47.05,              8.90,            -34.10,            -18.35
Belize,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             51.95,,,,,,,,,,,
Belize,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              3.82,,,              5.84,,              6.94,             10.23,              8.30,              5.93,,,,
Belize,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,              7.78,,              7.87,,              5.73,,,,,
Belize,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            108.84,            105.71,            110.07,            118.31,             67.93,             60.48,             68.12,,,              9.83,,,,,,,,,,,,,,,,,
Belize,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             12.60,,             49.70,             31.54,             21.54,,,,,,,,,,,,,,,,,,
Belize,Cuba,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             58.44,,             78.12,,             64.70,,,             47.21,             57.86,             20.16,,             13.59,,,,,,,,,,
Belize,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            124.78,            116.61,            124.25,            121.96,,,,,,,,,,,,,,,,,,,,,,,
Belize,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             11.16,,,,,,,,,,,,,,,,,,,,,,,
Belize,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              3.84,,,,,,
Belize,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              8.42,,              2.84,,,,,
Belize,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             27.42,,              6.90,,,,,,,,,,,,,,,,,,,,,
Belize,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             78.90,             62.75,             58.42,             55.96,             55.98,             53.41,,             47.09,             42.79,             28.79,             21.18,             16.01,             17.97,             16.51,,,              8.24,,,,              8.80,              7.61,              6.33,,,,
Belize,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             22.35,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             10.51,,,,,,,,,,,,,,,,
Belize,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             15.14,,             13.39,,,,,,             11.13,              9.63,             10.98,              9.45,,,              4.90,              4.45,              5.30,,,,,,,,,,
Belize,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              8.22,,,,,,,,              8.85,             14.24,,,,,,,,,,,,,
Belize,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             28.09,,,,,,,,,              9.11,,,,,,,              6.20,              5.88,,              4.53,             11.91,             11.94,             17.00,,,,
Belize,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            108.16,            105.96,             92.21,             76.28,             70.20,             68.48,             78.51,             65.81,             60.46,             51.08,             48.69,             38.32,             37.65,             43.66,             41.42,              8.51,             34.62,             36.16,,             28.47,             24.91,             26.88,             24.16,,,,
Belize,Namibia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             55.69,,,,,,,,,,,,,,,
Belize,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             16.75,             23.09,             25.75,,             10.27,              7.81,              8.81,             20.69,             16.01,,,              6.29,             13.99,             12.34,             18.24,,             13.70,             12.38,,,,,,,,,
Belize,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             21.69,,,,,,,,              8.06,,,,
Belize,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             99.89,,             70.45,,             40.52,,,,             21.56,,,             26.39,,             12.55,             14.51,,,,,,
Belize,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             38.07,,,,,,,,,,,,,,,,,,,
Belize,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             37.74,,             74.46,             66.73,             63.50,,,,,             34.75,,,,,,,,,,,,,
Belize,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              7.49,,,,,,,,,,,
Belize,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             12.00,,,,,,,,,,,
Belize,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             14.45,,,,,,,,,,,
Belize,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             19.87,             16.19,             10.59,,              6.87,              7.82,,,             11.21,             10.17,              6.07,,,,             43.44,,,,,,,              3.85,,,,
Belize,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            134.25,,,,,,,,,,,
