Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Brazil,...,...,Development,GDP (current US$ Mil),        2346118.18,        2392094.50,        2413170.00,        2615190.00,        2209400.00,        1664560.00,        1694620.00,        1395970.00,        1107790.00,         892107.00,         669643.00,         559008.00,         508780.00,         559612.00,         657216.00,         601894.00,         866842.00,         886337.00,         853504.00,         785672.00,         558112.00,         438299.00,         390567.00,         407338.00,         461952.00,         425600.00,         315000.00
Brazil,...,...,Export,No. Of Export partners,            215.00,            216.00,            218.00,            211.00,            205.00,            212.00,            213.00,            215.00,            215.00,            212.00,            210.00,            209.00,            207.00,            206.00,            198.00,            179.00,            176.00,            175.00,            184.00,            186.00,            186.00,            173.00,            165.00,            170.00,            171.00,            174.00,
Brazil,...,...,Export,No. Of Export products,           4036.00,           4042.00,           4071.00,           4117.00,           4041.00,           4113.00,           4171.00,           4281.00,           4353.00,           4369.00,           4336.00,           4340.00,           4302.00,           4305.00,           4264.00,           4251.00,           4186.00,           4144.00,           4132.00,           4172.00,           4226.00,           4245.00,           4185.00,           3987.00,           3829.00,           3978.00,
Brazil,...,...,Import,No. Of Import partners,            215.00,            215.00,            218.00,            214.00,            210.00,            207.00,            210.00,            205.00,            201.00,            193.00,            195.00,            182.00,            184.00,            190.00,            188.00,            159.00,            158.00,            166.00,            146.00,            148.00,            139.00,            131.00,            118.00,            114.00,            119.00,            118.00,
Brazil,...,...,Import,No. Of Import products,           4328.00,           4335.00,           4347.00,           4366.00,           4367.00,           4349.00,           4357.00,           4410.00,           4568.00,           4563.00,           4549.00,           4545.00,           4558.00,           4641.00,           4656.00,           4679.00,           4736.00,           4767.00,           4790.00,           4799.00,           4678.00,           4604.00,           4441.00,           4478.00,           4301.00,           4133.00,
Brazil,...,...,Tariff,No. Of Tariff Agreement,             59.00,              1.00,             57.00,             56.00,             60.00,             57.00,             55.00,             14.00,             14.00,             14.00,             14.00,              1.00,              1.00,              2.00,              1.00,              4.00,              2.00,              1.00,,             10.00,              3.00,              2.00,              3.00,              3.00,              3.00,              3.00,
Brazil,...,...,Development,Trade Balance (current US$ Mil),         -64680.77,         -55893.79,         -32631.00,         -20128.00,         -22995.00,          -6722.00,          -3238.00,          19016.00,          29958.00,          30301.00,          22831.20,          12389.70,           4270.30,         -12277.50,         -14845.60,         -11110.80,         -20544.30,         -23051.20,         -18508.60,         -14830.00,            -15.70,           6167.90,           9698.30,           3108.10,           5720.00,          14800.00,          16000.00
Brazil,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14282.00,          19615.41,          17997.71,          22709.34,          18436.99,          12784.97,          17605.62,          14416.95,          11739.59,           9930.15,           7390.97,           4569.77,           2346.51,           5009.81,           6237.68,           5363.93,           6747.08,           6767.15,,           4041.11,           4135.65,           3658.22,           3041.08,           1475.47,,,
Brazil,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          14143.09,          16462.93,          16444.10,          16906.10,          14424.77,          11281.17,          13257.93,          10410.00,           8053.65,           6241.11,           5569.81,           4672.61,           4743.79,           6206.54,           6843.23,           6109.84,           8421.17,           8576.08,,           5749.81,           3828.39,           2816.12,           1832.92,           1746.46,           1514.20,           1294.15,
Brazil,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          40616.11,          46026.15,          41227.54,          44314.60,          30752.36,          20190.83,          16403.04,          10748.81,           8402.37,           6835.00,           5441.75,           4533.36,           2520.98,,,,,,,,,,,,,,
Brazil,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37340.61,          37302.15,          34248.50,          32788.42,          25535.68,          15911.14,          20040.02,          12617.75,           7989.34,           5354.52,           3710.48,           2147.80,,,,,,,,,,,,,,,
Brazil,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1285.06,
Brazil,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           1777.41,,,,,,,,,,,,,,
Brazil,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           8079.79,           6174.96,           8850.81,           7211.32,           5690.81,           5032.32,           4045.95,           3140.33,           2539.95,           2504.14,           2526.82,           2544.06,           3005.70,           2607.76,,           2158.17,           2048.82,           1823.71,           2073.71,           2157.80,           1788.17,           1544.55,
Brazil,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13837.22,          15182.00,          14208.93,          15212.86,          11750.51,           9865.61,          12025.40,           8674.52,           6503.18,           6144.46,           5071.76,           4204.01,           4418.97,           4825.16,           4427.82,           4900.82,           5462.81,           5348.77,,           5422.67,           3613.60,           2421.92,           2018.50,           2029.94,           1830.97,           1594.27,
Brazil,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1691.86,
Brazil,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           1614.89,,
Brazil,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           2189.15,           2172.05,           2703.95,           3323.95,           3625.57,,           3159.44,           2066.48,,,,,,
Brazil,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6718.60,           7964.03,           7955.71,           9473.10,,,,,,,,,,           1989.77,           2474.44,           2192.58,           2201.85,           3068.06,,           3101.56,           2586.07,           2312.98,           2311.34,           2557.23,           2348.50,           2410.54,
Brazil,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           5367.57,           6806.89,,,           3405.02,,           2520.54,           2347.53,           3063.63,           2961.27,           2707.95,           3430.67,           3809.62,,           2726.36,           1937.86,           1663.88,           1260.53,           1349.56,           1611.68,           1516.02,
Brazil,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           9097.66,          10096.97,           8417.97,,,,,,,,,,,,,,,,,,,,,,
Brazil,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13035.58,          17325.88,          15040.70,          13639.69,          10221.66,           8150.14,          10482.60,           8840.87,           5748.57,           5285.52,           5919.28,           4247.61,           3183.41,           2863.61,           2796.32,           2594.11,           2744.15,           3998.46,,           2917.77,           3077.10,           2488.01,           2339.11,           2148.57,           2494.07,           2627.94,
