Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Brunei,...,...,Development,GDP (current US$ Mil),          17256.75,          16111.14,          16954.00,          16691.40,          12370.50,          10732.60,          14393.40,          12247.70,          11470.50,           9531.42,           7872.33,           6557.33,           5843.33,           5601.09,           6001.15,           4600.00,           4051.15,           5197.33,           5115.60,           4734.02,           4087.34,           4105.71,           4183.55,           3701.67,           3520.55,           2985.47,           2690.72
Brunei,...,...,Export,No. Of Export partners,             63.00,             62.00,             62.00,,,,,,             68.00,,             64.00,             60.00,             62.00,             57.00,,,             53.00,             48.00,,,             18.00,             12.00,             19.00,,,,
Brunei,...,...,Export,No. Of Export products,           1764.00,           1799.00,           1885.00,,,,,,           1614.00,,           1835.00,           1499.00,           1465.00,           1385.00,,,           1445.00,           1362.00,,,             67.00,             35.00,             61.00,,,,
Brunei,...,...,Import,No. Of Import partners,            116.00,            119.00,            120.00,,,,,,            110.00,,            108.00,             86.00,             90.00,             90.00,,,             86.00,             84.00,,,            102.00,             86.00,            104.00,,,,
Brunei,...,...,Import,No. Of Import products,           3500.00,           3525.00,           3522.00,,,,,,           3666.00,,           3774.00,           3467.00,           3551.00,           3479.00,,,           3786.00,           3783.00,,,           2181.00,           2215.00,           2167.00,,,,
Brunei,...,...,Tariff,No. Of Tariff Agreement,              8.00,,,,,,,,              2.00,,              2.00,              2.00,              2.00,              2.00,,,              1.00,              1.00,,,,,              1.00,,,,
Brunei,...,...,Development,Trade Balance (current US$ Mil),,           7036.00,           8508.45,           8531.37,           6007.88,           3970.38,           7295.31,           4893.57,           5334.71,           4087.01,           2913.43,           2184.91,           1489.80,           1698.91,           1892.59,            341.00,           -280.84,            -68.02,            -36.17,            184.14,            109.33,            123.16,            416.82,            981.13,            864.00,            794.24,
Brunei,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            795.49,            837.52,            968.68,,,,,,            933.04,,            594.16,            346.36,            314.21,,,,,,,,,,,,,,
Brunei,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            357.88,            406.30,            406.68,,,,,,            131.74,,             88.29,,,,,,,,,,,,,,,,
Brunei,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            216.81,,,,,
