Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Switzerland,...,...,Development,GDP (current US$ Mil),,         685434.21,         666101.00,         696312.00,         581212.00,         539528.00,         551547.00,         477408.00,         429196.00,         407536.00,         393542.00,         351983.00,         301128.00,         278629.00,         271660.00,         289884.00,         294978.00,         286604.00,         329619.00,         341759.00,         291914.00,         263691.00,         271134.00,         260460.00,         257420.00,         201572.65,         208774.00
Switzerland,...,...,Export,No. Of Export partners,            226.00,            227.00,            225.00,            224.00,            223.00,            223.00,            226.00,            225.00,            224.00,            223.00,            225.00,            223.00,            223.00,            226.00,            224.00,            209.00,            202.00,            200.00,            196.00,            199.00,            199.00,            198.00,            196.00,            180.00,            182.00,            181.00,            183.00
Switzerland,...,...,Export,No. Of Export products,           4323.00,           4271.00,           4272.00,           4325.00,           4328.00,           4293.00,           4313.00,           4307.00,           4545.00,           4531.00,           4531.00,           4514.00,           4526.00,           4544.00,           4586.00,           4624.00,           4647.00,           4612.00,           4638.00,           4689.00,           4720.00,           4690.00,           4673.00,           4750.00,           4751.00,           4768.00,           4812.00
Switzerland,...,...,Import,No. Of Import partners,            196.00,            211.00,            224.00,            221.00,            216.00,            214.00,            213.00,            213.00,            217.00,            212.00,            211.00,            207.00,            218.00,            214.00,            211.00,            199.00,            192.00,            193.00,            189.00,            195.00,            192.00,            195.00,            190.00,            176.00,            177.00,            177.00,            177.00
Switzerland,...,...,Import,No. Of Import products,           4540.00,           4472.00,           4467.00,           4508.00,           4515.00,           4506.00,           4516.00,           4501.00,           4756.00,           4761.00,           4755.00,           4746.00,           4755.00,           4814.00,           4820.00,           4901.00,           4900.00,           4889.00,           4899.00,           4969.00,           4958.00,           4956.00,           4963.00,           4957.00,           4957.00,           4962.00,           4971.00
Switzerland,...,...,Tariff,No. Of Tariff Agreement,             41.00,             38.00,             31.00,             35.00,             31.00,             29.00,             30.00,             27.00,             26.00,             24.00,             26.00,             31.00,             23.00,             24.00,              7.00,              7.00,              8.00,              8.00,,              1.00,,              5.00,,,              4.00,,
Switzerland,...,...,Development,Trade Balance (current US$ Mil),,          83033.88,          69241.00,          59008.00,          62344.00,          40779.00,          58444.00,          54213.00,          36472.00,          29629.00,          35270.00,          23579.00,          20249.00,          15638.00,          16670.00,          13730.00,          13381.00,          14628.00,          12435.00,          14567.00,          13557.00,          13528.90,           8739.00,           2869.00,            645.00,           -420.32,           1367.80
Switzerland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          12332.89,          10976.39,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19028.99,          16175.74,          15993.80,          16823.25,          15040.33,          14475.69,          17264.12,          14313.01,          12700.85,          11386.73,          10909.00,           9253.96,           8440.24,           7376.25,           7109.60,           7415.52,           7558.98,           6915.07,,           7776.15,           6192.71,           5759.37,           6015.62,           5922.78,           6323.25,           5050.48,           4748.88
Switzerland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          18116.60,          16706.88,          16670.67,          17937.08,          14992.67,          14598.90,          17323.55,          15243.15,          14133.71,          12699.05,          12166.96,          11373.66,           9367.31,           8627.38,           8429.68,           9590.91,           8701.01,           8336.74,,           9129.74,           7466.52,           6645.22,           7111.32,           7240.85,           7724.34,           6316.25,           5983.17
