Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
China,...,...,Development,GDP (current US$ Mil),       10360105.25,        9490602.60,        8461620.00,        7492430.00,        6039660.00,        5059420.00,        4558430.00,        3523090.00,        2729780.00,        2268590.00,        1941750.00,        1649920.00,        1461910.00,        1332240.00,        1205260.00,        1089450.00,        1025280.00,         958159.00,         860844.00,         732032.00,         562261.00,         442875.00,         424934.00,         381455.00,         358973.00,         345957.49,         310722.21
China,...,...,Export,No. Of Export partners,            213.00,            213.00,            214.00,            213.00,            212.00,            212.00,            212.00,            213.00,            208.00,            209.00,            209.00,            208.00,            205.00,            205.00,            204.00,            200.00,            199.00,            199.00,            197.00,            201.00,            201.00,            201.00,            196.00,,,,
China,...,...,Export,No. Of Export products,           4428.00,           4423.00,           4414.00,           4443.00,           4454.00,           4451.00,           4453.00,           4492.00,           4748.00,           4744.00,           4732.00,           4745.00,           4742.00,           4792.00,           4798.00,           4790.00,           4800.00,           4810.00,           4775.00,           4738.00,           4872.00,           4807.00,           4777.00,,,,
China,...,...,Import,No. Of Import partners,            212.00,            214.00,            213.00,            210.00,            209.00,            208.00,            203.00,            206.00,            200.00,            196.00,            197.00,            195.00,            189.00,            183.00,            185.00,            168.00,            166.00,            167.00,            158.00,            165.00,            167.00,            179.00,            165.00,,,,
China,...,...,Import,No. Of Import products,           4454.00,           4452.00,           4455.00,           4499.00,           4487.00,           4493.00,           4502.00,           4515.00,           4768.00,           4758.00,           4750.00,           4748.00,           4774.00,           4832.00,           4840.00,           4868.00,           4885.00,           4869.00,           4872.00,           4807.00,           4930.00,           4934.00,           4926.00,,,,
China,...,...,Tariff,No. Of Tariff Agreement,             30.00,,,             27.00,             27.00,             24.00,             23.00,             19.00,             19.00,             13.00,              1.00,              1.00,              3.00,              3.00,              3.00,              3.00,              2.00,              1.00,,,              4.00,              2.00,              2.00,,,,
China,...,...,Development,Trade Balance (current US$ Mil),         382342.33,         259756.22,         230630.00,         155990.00,         182020.00,         196310.00,         300320.00,         267237.00,         178356.00,         102198.00,          32228.00,          25279.00,          30417.00,          22534.00,          24106.00,          29274.00,          43453.00,          40462.00,          12256.00,          16810.00,           5357.00,          -8744.20,           3657.80,           7463.40,           7868.10,          -4937.25,          -5938.27
China,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         144630.33,         157540.89,         142929.91,         122614.38,         106867.90,          86413.99,          92461.20,          85773.20,          73332.83,          55162.90,          38654.54,          25094.30,,,,,,,,,,,,,,,
China,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          72703.32,          67342.50,          69212.73,          76400.00,          68047.13,          49919.56,          59208.95,          48744.14,          40314.60,          32527.13,          23755.73,          17442.11,          11371.85,           9751.10,           9277.79,           7779.62,           7354.29,           6496.91,,           5671.43,           4761.14,           3967.49,           2447.98,,,,
China,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,          16416.41,          13772.19,          10408.73,           8335.36,           7020.60,,,,,           6040.66,           4014.99,,,,
