Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cote d'Ivoire,...,...,Development,GDP (current US$ Mil),          34253.61,          31292.56,          27040.60,          25381.60,          24884.50,          24277.50,          24224.90,          20343.60,          17800.90,          17084.90,          16554.40,          15306.60,          12346.90,          11192.60,          10717.00,          12376.60,          12612.00,          11722.10,          12139.20,          11000.10,           8313.56,          11045.80,          11153.00,          10492.60,          10795.90,           9757.41,          10255.17
Cote d'Ivoire,...,...,Export,No. Of Export partners,            148.00,            150.00,            144.00,            134.00,            142.00,            146.00,            147.00,            140.00,            136.00,            137.00,            141.00,            136.00,            139.00,            138.00,            138.00,            134.00,            129.00,            129.00,            127.00,            127.00,,,,,,,
Cote d'Ivoire,...,...,Export,No. Of Export products,           2079.00,           1948.00,           1758.00,           1597.00,           1834.00,           1874.00,           1621.00,           1624.00,           1648.00,           1791.00,           1801.00,           1786.00,           1975.00,           2049.00,           2004.00,           2030.00,           2087.00,           2034.00,           1903.00,           1898.00,,,,,,,
Cote d'Ivoire,...,...,Import,No. Of Import partners,            173.00,            172.00,            174.00,            154.00,            165.00,            169.00,            172.00,            165.00,            159.00,            158.00,            149.00,            135.00,            131.00,            144.00,            128.00,            129.00,            139.00,            130.00,            125.00,            126.00,,,,,,,
Cote d'Ivoire,...,...,Import,No. Of Import products,           3858.00,           3874.00,           3873.00,           3642.00,           3776.00,           3748.00,           3759.00,           3805.00,           3747.00,           3772.00,           3794.00,           3653.00,           3741.00,           3767.00,           3706.00,           3888.00,           3903.00,           3954.00,           3910.00,           3798.00,,,,,,,
Cote d'Ivoire,...,...,Tariff,No. Of Tariff Agreement,              8.00,              8.00,              8.00,              8.00,              2.00,              2.00,              4.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Cote d'Ivoire,...,...,Development,Trade Balance (current US$ Mil),           1365.56,            815.74,           1120.60,           4184.21,           1818.00,           2646.58,           1685.38,           1020.10,           1720.54,           1003.58,           1358.02,           1303.41,           1859.58,            878.59,            742.07,           1022.90,            810.47,            893.68,           1054.02,            804.79,            932.63,            390.62,            423.14,            317.47,            494.26,            290.59,            266.43
Cote d'Ivoire,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            661.04,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            612.73,           1460.26,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            100.27,,,,,,,,,,,,
Cote d'Ivoire,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            332.72,,,,,,,,,,,
Cote d'Ivoire,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            340.26,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            634.09,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            980.54,           1423.65,            715.82,            460.54,            545.70,            500.96,            542.14,            438.17,            251.40,            179.15,            130.67,            123.08,,,,,,,,,,,,,,,
Cote d'Ivoire,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            363.33,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            799.69,            787.56,            501.72,,            715.92,           1123.14,           1357.78,           1650.68,           1494.06,           1328.25,           1557.73,           1048.57,            653.46,            509.38,            540.43,            623.44,            752.33,            720.19,,            748.44,,,,,,,
Cote d'Ivoire,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1364.19,           1305.81,           1210.32,            791.10,            931.38,            991.46,            999.56,           1451.78,           1485.38,           1623.33,           1539.64,           1150.25,            555.52,            537.71,            504.64,            751.47,            856.38,            737.86,,            647.91,,,,,,,
Cote d'Ivoire,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            749.96,            814.87,            818.88,,            738.05,            694.55,,            338.13,,,,,,,,,,,            208.23,,,,,,,
Cote d'Ivoire,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            145.57,,,,             93.51,,             89.46,,            136.47,            128.11,,            130.23,,,,,,,
Cote d'Ivoire,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1851.55,,,            783.13,,,,,,,,,            164.99,,,            252.99,,,,,,,,,,
Cote d'Ivoire,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            556.38,,            389.17,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            314.12,            188.63,,,            172.52,,            258.24,            218.41,,            308.72,,,,,,,
Cote d'Ivoire,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            121.60,            115.21,             90.44,            161.88,            156.87,,,,,,,,,,
Cote d'Ivoire,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            125.43,,            119.91,,            122.40,,,,,,,
Cote d'Ivoire,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            203.95,            207.80,            202.94,,            202.67,,,,,,,,,
Cote d'Ivoire,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1297.41,            965.97,            949.63,           1296.37,           1462.04,           1428.16,           1100.30,            737.09,            786.89,            797.74,            713.19,            975.81,            940.17,            513.61,            353.42,            564.47,            537.38,            550.18,,            538.99,,,,,,,
