Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cameroon,...,...,Development,GDP (current US$ Mil),          32548.59,          29567.50,          26472.10,          26587.30,          23622.50,          23381.10,          23322.30,          20431.80,          17953.10,          16587.90,          15775.40,          13621.70,          10879.80,           9633.11,           9287.37,          10486.50,           9629.65,           9840.55,           9732.33,           8733.23,           9220.47,          13532.10,          11396.30,          12434.40,          11151.60,          11140.06,          12493.29
Cameroon,...,...,Export,No. Of Export partners,            114.00,,            117.00,            117.00,            116.00,            107.00,            108.00,            111.00,            106.00,            105.00,             99.00,             97.00,             91.00,             90.00,             92.00,,,             92.00,             82.00,             85.00,,,,,,,
Cameroon,...,...,Export,No. Of Export products,           1469.00,,           1482.00,           1505.00,           1492.00,           1554.00,           1441.00,           1296.00,           1084.00,           1247.00,           1319.00,           1502.00,           1383.00,           1196.00,           1090.00,,,           1053.00,           1012.00,            924.00,,,,,,,
Cameroon,...,...,Import,No. Of Import partners,            167.00,,            163.00,            159.00,            160.00,            160.00,            152.00,            155.00,            137.00,            134.00,            132.00,            127.00,            133.00,            132.00,            125.00,            104.00,            122.00,            114.00,            104.00,            111.00,,,,,,,
Cameroon,...,...,Import,No. Of Import products,           3643.00,,           3901.00,           3796.00,           3760.00,           3811.00,           3809.00,           3714.00,           3585.00,           3642.00,           3720.00,           3725.00,           3732.00,           3782.00,           3720.00,           3781.00,           3772.00,           3719.00,           3600.00,           3628.00,,,,,,,
Cameroon,...,...,Tariff,No. Of Tariff Agreement,              2.00,,              2.00,              2.00,              2.00,              2.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,              2.00,,,,,,,
Cameroon,...,...,Development,Trade Balance (current US$ Mil),          -1945.20,          -2439.91,          -2068.12,          -2149.61,          -1338.47,          -1167.22,           -951.99,           -137.94,            368.24,           -168.61,            -67.86,             44.57,            -85.20,           -124.68,            333.55,            454.92,            358.62,            301.94,            485.63,            504.91,            388.87,             83.12,            254.30,            666.35,            319.98,            327.25,              8.91
Cameroon,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            118.13,,             67.81,,,,,,,,,,,,,,,,,,,,,
Cameroon,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            173.15,,,            127.64,            106.04,            118.11,,,             84.96,             72.05,             68.14,,,,,,,,,,,
Cameroon,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             58.94,,,,,,,
