Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Comoros,...,...,Development,GDP (current US$ Mil),            647.72,            618.66,            570.87,            586.28,            530.49,            524.16,            523.13,            462.45,            406.11,            380.37,            368.14,            317.56,            246.74,            220.09,            201.90,            222.58,            215.39,            212.10,            230.50,            231.90,            185.76,            263.57,            266.19,            246.82,            250.03,            198.73,            207.48
Comoros,...,...,Export,No. Of Export partners,,,,,,             34.00,             35.00,             11.00,             14.00,             18.00,             18.00,             18.00,             13.00,             11.00,             18.00,             13.00,             18.00,             20.00,             16.00,             17.00,,,,,,,
Comoros,...,...,Export,No. Of Export products,,,,,,            190.00,            139.00,              4.00,             43.00,             45.00,             39.00,             55.00,             67.00,             72.00,             76.00,             59.00,             44.00,             57.00,            129.00,             79.00,,,,,,,
Comoros,...,...,Import,No. Of Import partners,,,,,,             79.00,             80.00,             62.00,             67.00,             72.00,             67.00,             57.00,             48.00,             58.00,             53.00,             46.00,             45.00,             46.00,             59.00,             54.00,,,,,,,
Comoros,...,...,Import,No. Of Import products,,,,,,           2339.00,           2259.00,           1817.00,           1984.00,           2001.00,           1805.00,           1398.00,           1519.00,           1409.00,           1369.00,           1491.00,           1452.00,           1624.00,           1513.00,           1339.00,,,,,,,
Comoros,...,...,Tariff,No. Of Tariff Agreement,,,,,,,              4.00,,,,,,,,,,,,,,,,,,,,
Comoros,...,...,Development,Trade Balance (current US$ Mil),           -252.06,           -235.61,           -214.87,           -213.45,           -192.11,           -178.90,           -181.89,           -119.87,            -95.54,            -81.28,            -62.56,            -41.19,            -31.03,            -24.65,            -31.90,            -47.19,            -55.79,            -52.77,            -53.15,            -57.52,            -50.48,            -46.76,            -63.38,            -44.91,            -57.24,            -48.50,            -49.35
Comoros,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              5.50,,,,,,,,,,,,,,,,
Comoros,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              1.14,,,,,,,,,,,,,,
Comoros,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.12,,,              0.43,,,,,,,
Comoros,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.29,,,,,,,,,,,,,,,,,,,,
Comoros,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             11.72,              8.27,              4.42,              5.32,,,,,,,,,,,              3.20,,,,,,,
Comoros,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              5.48,              2.30,              1.02,              1.38,              2.80,              1.00,              4.53,              4.13,              6.09,              2.97,              1.36,              2.37,              2.67,,              5.80,,,,,,,
Comoros,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             38.91,             51.13,             13.01,             21.60,             15.21,             23.24,             18.87,             16.09,             15.98,             14.17,             19.04,             17.94,             21.17,,             21.92,,,,,,,
Comoros,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.44,              0.42,              0.33,              0.29,              0.35,,              0.33,              1.28,              0.29,              0.47,              0.63,              0.51,              0.71,,              0.91,,,,,,,
Comoros,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              0.10,              0.44,              0.23,,,,,,,,,,,,,,,,,
Comoros,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,              5.74,              3.04,              4.90,,,              2.01,,,,,,             10.88,,,,,,,
Comoros,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.19,,,,,,,,,,,
Comoros,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              1.27,,,,,,,,,,,,,,
Comoros,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              0.39,,,,,,,,,,,,,,,
Comoros,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              1.56,,,,,,,,,,,
Comoros,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,              2.07,,              1.95,              3.88,              3.05,              3.51,              3.81,,,,,,,,,
Comoros,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,              0.43,              0.35,,,,,,,,,
Comoros,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,              0.08,,              0.33,,,,,,,,,,,,,,,
Comoros,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              3.30,              2.32,,,,,,,,,,,,,,,
Comoros,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.77,,,,,,,,,,,,,,,,,,,,,
Comoros,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             26.60,              9.02,              4.83,,              2.73,,,,,              4.89,,              5.70,              5.56,,,,,,,,,
Comoros,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              5.83,,,,,,,
Comoros,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              3.01,              0.66,              0.11,              0.18,,              0.16,,,,              1.08,              0.45,,,,,,,,,,,
Comoros,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              0.11,,,,,,,
Comoros,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              5.55,              5.92,,              9.60,             14.13,              3.97,              2.97,              4.61,              2.78,              3.23,             43.72,              4.25,              5.82,,              4.47,,,,,,,
Comoros,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              0.19,              0.06,,,              0.12,              0.21,,,,              0.19,,,,,,,,,
Comoros,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             53.25,             51.69,             46.46,             31.07,             25.96,             11.25,              6.09,              3.26,              4.09,              1.79,              2.90,              3.56,              3.38,,,,,,,,,
Comoros,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              0.94,              0.24,              0.60,,              0.28,,,,,,,,,,
Comoros,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.43,,,,,              0.68,,              2.66,              0.62,              1.13,              1.39,,              1.01,,              3.44,,,,,,,
Comoros,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              6.83,,,              0.20,,,,,,,,,,,,,,,,
Comoros,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             31.10,,,,,,,,,,,,,,,,,,,
Comoros,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.37,,,,,,,,,,,,,,,,,,,,
Comoros,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,          79971.91,,,,,,,,,,,,,,,,,,,,
Comoros,World,Animal,Export,Export(US$ Mil),,,,,,,              0.00,,,              0.00,              0.01,              0.01,              0.00,              0.00,              0.01,,,              0.09,              0.51,              0.10,,,,,,,
Comoros,World,Capital goods,Export,Export(US$ Mil),,,,,,              0.47,              0.22,,              0.09,              0.26,              0.19,              0.04,              0.03,              0.03,              0.11,              0.03,              0.37,              0.09,              0.12,              0.12,,,,,,,
Comoros,World,Chemicals,Export,Export(US$ Mil),,,,,,              2.39,              1.23,              0.54,              0.21,              0.19,              0.01,              0.01,              0.05,              0.18,              0.40,              0.25,              0.87,              1.71,              1.79,              2.33,,,,,,,
Comoros,World,Consumer goods,Export,Export(US$ Mil),,,,,,              9.69,              3.87,              1.18,              2.28,              3.28,              7.65,              6.41,              9.23,              7.46,              6.45,              4.24,              2.54,              3.61,              3.56,              8.42,,,,,,,
Comoros,World,Food Products,Export,Export(US$ Mil),,,,,,              0.02,              0.02,,,              0.00,,              0.01,              0.00,              0.01,              0.00,              0.00,,              0.00,              0.00,,,,,,,,
Comoros,World,Footwear,Export,Export(US$ Mil),,,,,,              0.00,              0.00,,              0.00,,              0.00,              0.01,              0.02,              0.01,              0.01,              0.01,              0.00,              0.01,              0.01,              0.01,,,,,,,
Comoros,World,Fuels,Export,Export(US$ Mil),,,,,,              0.00,,,,,,,,              0.00,,,,              0.01,,,,,,,,,
Comoros,World,Hides and Skins,Export,Export(US$ Mil),,,,,,              0.00,              0.00,,,,,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,,
Comoros,World,Intermediate goods,Export,Export(US$ Mil),,,,,,              2.35,              1.31,              0.54,              0.21,              0.19,              0.06,              0.01,              0.06,              0.18,              0.39,              0.20,              0.87,              1.70,              1.79,              2.34,,,,,,,
Comoros,World,Mach and Elec,Export,Export(US$ Mil),,,,,,              0.30,              0.04,,              0.01,              0.00,              0.01,              0.01,              0.00,              0.03,              0.08,              0.02,              0.38,              0.03,              0.04,              0.09,,,,,,,
