Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cyprus,...,...,Development,GDP (current US$ Mil),          23226.16,          24057.25,          24940.60,          27089.20,          25247.40,          25593.30,          27493.10,          23716.00,          19866.90,          18270.00,          17164.60,          14445.20,          11345.80,          10329.00,           9929.63,          10443.60,          10210.00,           9504.54,           9989.42,           9914.86,           7425.70,           6590.29,           6912.15,           5770.20,           5591.13,           4563.48,           4278.79
Cyprus,...,...,Export,No. Of Export partners,            186.00,            184.00,            179.00,            184.00,            177.00,            173.00,            164.00,            175.00,            167.00,            167.00,            170.00,            161.00,            160.00,            164.00,            165.00,            152.00,            148.00,            147.00,            144.00,            145.00,            132.00,            124.00,            114.00,            110.00,            110.00,            114.00,
Cyprus,...,...,Export,No. Of Export products,           1730.00,           1714.00,           1714.00,           1594.00,           1496.00,           1581.00,           1580.00,           1673.00,           1680.00,           1816.00,           2073.00,           1979.00,           2096.00,           2091.00,           2124.00,           2236.00,           2220.00,           2291.00,           2342.00,           2305.00,           2301.00,           2288.00,           2312.00,           2338.00,           2326.00,           2358.00,
Cyprus,...,...,Import,No. Of Import partners,            153.00,            144.00,            151.00,            153.00,            153.00,            155.00,            153.00,            158.00,            157.00,            163.00,            164.00,            161.00,            168.00,            166.00,            161.00,            145.00,            150.00,            142.00,            140.00,            137.00,            143.00,            138.00,            126.00,            117.00,            119.00,            117.00,
Cyprus,...,...,Import,No. Of Import products,           3838.00,           3761.00,           3861.00,           3883.00,           3909.00,           3925.00,           3928.00,           3951.00,           4131.00,           4181.00,           4241.00,           4152.00,           4212.00,           4263.00,           4273.00,           4261.00,           4229.00,           4196.00,           4259.00,           4276.00,           4291.00,           4271.00,           4317.00,           4248.00,           4271.00,           4304.00,
Cyprus,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,              1.00,              3.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,,
Cyprus,...,...,Development,Trade Balance (current US$ Mil),            641.87,            597.75,           -481.50,           -925.70,          -1406.70,          -1151.30,          -2963.40,          -1140.20,           -589.10,            -98.20,            -21.48,            221.06,            133.53,            475.04,            242.73,            277.52,            254.70,           -132.89,            -43.42,            -85.81,            -29.49,            -28.58,           -772.99,           -577.52,           -313.50,           -383.98,           -232.17
Cyprus,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             98.45,,            112.36,,,,,,,
Cyprus,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            322.16,            337.21,            341.08,            356.69,            216.52,            189.45,            341.42,            232.66,            262.62,            243.22,             90.55,             89.78,             69.28,,,,,,,,,,,,,,
Cyprus,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             64.94,,,,
