Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Czech Republic,...,...,Development,GDP (current US$ Mil),         205522.87,         208796.02,         206751.00,         227307.00,         207016.00,         205730.00,         235205.00,         188818.00,         155213.00,         135990.00,         118976.00,          99300.30,          81696.70,          67375.60,          61474.30,          64719.50,          66372.60,          61621.40,          66775.00,          59537.10,          47364.90,          40452.20,          34452.00,          29557.10,          40315.80,,
Czech Republic,...,...,Export,No. Of Export partners,            213.00,            209.00,            210.00,            206.00,            205.00,            201.00,            203.00,            207.00,            204.00,            200.00,            199.00,            195.00,            198.00,            195.00,            192.00,            185.00,            184.00,            180.00,            185.00,            198.00,            196.00,            199.00,,,,,
Czech Republic,...,...,Export,No. Of Export products,           4378.00,           4422.00,           4408.00,           4410.00,           4401.00,           4411.00,           4406.00,           4392.00,           4597.00,           4577.00,           4602.00,           4584.00,           4551.00,           4650.00,           4650.00,           4650.00,           4638.00,           4617.00,           4601.00,           4681.00,           4622.00,           4600.00,,,,,
Czech Republic,...,...,Import,No. Of Import partners,            232.00,            231.00,            226.00,            230.00,            225.00,            227.00,            225.00,            226.00,            224.00,            221.00,            222.00,            210.00,            209.00,            210.00,            213.00,            179.00,            187.00,            183.00,            178.00,            184.00,            184.00,            174.00,,,,,
Czech Republic,...,...,Import,No. Of Import products,           4516.00,           4524.00,           4524.00,           4559.00,           4543.00,           4551.00,           4567.00,           4556.00,           4795.00,           4798.00,           4811.00,           4792.00,           4802.00,           4849.00,           4856.00,           4879.00,           4877.00,           4868.00,           4839.00,           4889.00,           4852.00,           4839.00,,,,,
Czech Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,              2.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,,,,,,,,,
Czech Republic,...,...,Development,Trade Balance (current US$ Mil),          14087.15,          12124.27,          10237.00,           8976.00,           6415.00,           7991.00,           5100.00,           4627.00,           4259.80,           3200.80,            968.20,          -1196.10,          -1046.60,           -846.80,          -1139.60,           -272.90,           -180.60,          -2565.10,          -3255.30,          -1850.60,           -549.70,            453.60,            413.90,           1661.29,            950.40,,
Czech Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           7396.03,,,,,           4856.50,           4302.67,           3852.48,           3042.77,           2652.78,           1921.35,           1735.05,           1722.80,           1780.47,           1461.32,,           1426.35,           1013.09,            779.36,,,,,
Czech Republic,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           1614.28,           1836.09,           1646.86,,           1747.44,           1207.00,           1001.18,,,,,
Czech Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17251.99,          15486.21,          15672.79,          18905.32,          15332.15,          10546.00,          12442.37,           9193.96,           5711.36,           3924.16,           3511.68,           2681.35,,,,,,,,,,,,,,,
Czech Republic,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8816.36,           7978.85,           7911.71,           8845.14,           7100.95,           6351.71,           7887.13,           6515.46,           5268.10,           4139.35,,,,,,           1044.98,,,,,,,,,,,
Czech Republic,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           2525.37,           2235.03,           1751.47,           1597.39,           1541.33,,,,,,,,,,,
Czech Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          55643.92,          50566.48,          49142.43,          52221.25,          42212.77,          36438.82,          44867.59,          37191.79,          30366.44,          26200.64,          23835.74,          18025.63,          15442.12,          12736.69,          11752.22,          11293.30,          11498.60,           8131.52,,           8144.92,           4153.09,           3352.32,,,,,
Czech Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          39873.56,          36880.51,          35674.36,          38938.45,          32057.29,          27960.03,          38009.39,          32771.96,          26583.08,          22965.40,          21227.73,          16685.35,          14882.86,          12013.81,          10379.56,           9770.48,          10953.74,           8671.92,,           8015.70,           3795.43,           3259.84,,,,,
Czech Republic,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           1028.54,            833.40,,            809.14,            628.55,            666.03,,,,,
Czech Republic,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6249.67,,,,,,,,,,           3500.24,           2724.93,           2350.26,           1916.33,           1663.58,           1532.42,           1546.22,           1495.18,,           1344.47,            768.45,            605.06,,,,,
Czech Republic,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10341.11,           9667.85,           9520.87,          10267.81,           8129.41,           6577.66,           9468.07,           7146.77,           5390.57,           4266.18,           3443.82,           2336.38,           2053.25,           1729.87,           1578.19,           1470.04,           1532.58,           1305.01,,            966.80,            548.56,,,,,,
Czech Republic,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11688.76,          10756.29,           9966.39,          10001.66,           8041.08,           6736.39,           8290.83,           6684.49,           5270.90,           3789.02,           3218.98,,,,,,,,,,,,,,,,
Czech Republic,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            575.30,,,,,
Czech Republic,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           7750.05,           7903.78,           8100.37,           6812.63,           5395.16,           9141.00,           5624.59,           5593.60,           4360.24,,,           3262.13,           1997.18,           2079.21,,           1593.68,           1843.30,,           1879.14,           1256.50,           1268.88,,,,,
Czech Republic,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14536.28,          14304.06,          14177.41,          14565.37,          11596.00,          10185.71,          13437.52,          10508.42,           8023.95,           6733.38,           5407.62,           3884.02,           3404.07,           2681.29,           2230.17,           2211.32,           2842.00,           2937.81,,           3009.40,           2319.40,           2704.87,,,,,
Czech Republic,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8060.06,           8176.82,           8514.25,           8648.62,           6505.29,           5708.55,           7894.16,           6220.49,           5009.88,           4155.10,           3573.03,           2656.82,           2988.06,           1961.54,           1932.69,           1762.84,           2094.36,           2273.73,,           2988.32,           2131.11,           2127.17,,,,,
Czech Republic,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8846.25,           7834.64,           7503.84,,           6443.27,           5574.19,           7020.77,           6081.75,,,           3097.42,           2621.51,           2741.04,           1823.59,           1246.42,,,,,,,,,,,,
Czech Republic,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,       13228716.55,       13963504.01,        8998578.22,        7530412.53,       16294353.72,        3910308.08,        3512690.40,        3981292.41,,,,,,,,
Czech Republic,World,Animal,Export,Export(US$ Mil),           1954.98,           1856.74,           1693.66,           1666.15,           1237.56,           1194.86,           1450.97,           1227.59,            903.50,            786.46,            597.90,            392.04,            327.06,            341.19,            269.68,            260.93,            335.29,            299.59,            323.93,            359.52,            305.51,            381.42,,,,,
Czech Republic,World,Capital goods,Export,Export(US$ Mil),          73432.36,          67639.29,          65132.88,          68560.65,          52857.83,          44871.14,          60333.56,          50824.64,          37964.91,          30385.35,          27035.52,          19925.36,          16299.62,          11908.51,           9792.59,           9037.46,           9457.41,           7020.75,           6016.43,           5560.55,           3111.24,           2885.13,,,,,
Czech Republic,World,Chemicals,Export,Export(US$ Mil),           8249.77,           7468.43,           6980.01,           7411.72,           5796.05,           4693.51,           5461.29,           4576.55,           3720.85,           3327.71,           2561.12,           2023.15,           2790.39,           1551.25,           1469.67,           1434.02,           1569.02,           1494.34,           1499.36,           1472.74,           1074.61,            908.88,,,,,
Czech Republic,World,Consumer goods,Export,Export(US$ Mil),          65207.62,          58649.98,          55534.92,          55832.41,          45798.80,          39759.40,          47050.65,          40776.92,          32809.22,          27063.41,          22079.47,          16922.38,          16743.68,          12289.52,          10885.86,          10162.42,          10306.42,           8182.58,           7796.80,           6546.42,           4618.50,           4104.01,,,,,
Czech Republic,World,Food Products,Export,Export(US$ Mil),           4179.66,           3954.41,           3531.85,           3195.94,           2629.12,           2558.11,           2922.85,           2212.94,           1654.27,           1569.99,           1248.88,            927.81,            860.30,            641.16,            547.88,            505.48,            676.19,            648.45,            571.12,            504.22,            450.58,            440.51,,,,,
Czech Republic,World,Footwear,Export,Export(US$ Mil),            985.02,            898.16,            807.28,            700.78,            542.89,            474.02,            488.87,            452.18,            338.85,            310.90,            246.27,            187.14,            212.68,            209.29,            204.62,            250.25,            247.15,            275.50,            381.98,            351.40,            270.66,            243.41,,,,,
Czech Republic,World,Fuels,Export,Export(US$ Mil),           4626.50,           4778.17,           5912.07,           6145.80,           4864.56,           4042.35,           4400.25,           3180.36,           2631.40,           2364.00,           1819.16,           1401.61,           1787.91,           1003.97,            888.71,            766.01,            841.71,            854.56,            992.55,            925.17,            785.07,            784.06,,,,,
Czech Republic,World,Hides and Skins,Export,Export(US$ Mil),            619.97,            612.55,            517.54,            531.78,            328.13,            276.69,            355.47,            300.43,            217.46,            183.81,            180.55,            153.92,            164.21,            135.38,            121.01,            120.10,            142.75,            145.28,            156.58,            229.74,            129.99,            114.95,,,,,
Czech Republic,World,Intermediate goods,Export,Export(US$ Mil),          26337.47,          26502.67,          26262.73,          27252.23,          21185.50,          18285.99,          25209.24,          21409.61,          16961.35,          14936.11,          13078.27,           9738.60,           9042.17,           7311.33,           6882.07,           6304.04,           7067.13,           6202.21,           6632.54,           7538.36,           4786.44,           4386.35,,,,,
Czech Republic,World,Mach and Elec,Export,Export(US$ Mil),          62609.92,          58132.43,          57594.85,          60879.01,          47831.30,          39729.25,          53878.32,          44599.32,          33354.72,          26479.26,          23284.62,          16492.49,          13699.03,          10112.76,           8091.62,           6724.10,           7399.59,           5215.63,           4879.02,           4364.20,           2143.13,           2067.81,,,,,
Czech Republic,World,Metals,Export,Export(US$ Mil),          16899.19,          16794.33,          16360.65,          17663.04,          13396.54,          10956.04,          17403.56,          14551.47,          11386.41,           9611.67,           8321.76,           5671.47,           4313.18,           4010.87,           3608.85,           3332.60,           3750.05,           3232.05,           3305.91,           3645.36,           2361.56,           2225.16,,,,,
Czech Republic,World,Minerals,Export,Export(US$ Mil),            304.93,            300.84,            279.91,            338.06,            262.17,            193.86,            239.72,            194.34,            164.39,            163.79,            168.38,            131.76,            134.73,            116.09,            130.03,            141.82,            143.92,            141.84,            313.95,            180.26,            191.81,            216.50,,,,,
Czech Republic,World,Miscellaneous,Export,Export(US$ Mil),          11496.90,          10481.21,           9188.94,           9267.00,          10907.12,           8875.19,          11445.20,           6868.68,           7097.81,           4803.23,           3924.85,           2996.98,           2489.24,           2105.82,           1843.91,           1833.30,           2068.17,           1530.07,           1446.93,           1592.97,           1257.79,            955.82,,,,,
Czech Republic,World,Plastic or Rubber,Export,Export(US$ Mil),          10489.91,           9796.37,           9302.96,           9519.28,           7603.64,           6325.90,           7960.81,           6903.38,           5410.86,           4750.36,           3894.19,           2848.76,           2467.66,           1841.33,           1698.43,           1497.09,           1451.62,           1238.38,           1176.31,           1183.75,            680.43,            534.54,,,,,
Czech Republic,World,Raw materials,Export,Export(US$ Mil),           6195.61,           6191.86,           6386.95,           6832.98,           5448.18,           4521.45,           5615.48,           4399.32,           3371.36,           2855.35,           2301.87,           1611.79,           1529.85,           1187.55,           1154.41,           1156.71,           1204.55,           1186.00,           1352.47,           1572.74,           1244.12,           1217.09,,,,,
Czech Republic,World,Stone and Glass,Export,Export(US$ Mil),           4200.25,           4040.96,           4015.94,           3831.79,           3062.33,           2865.40,           3791.41,           3493.95,           3017.62,           2690.83,           2519.00,           2155.61,           1761.02,           1594.33,           1467.92,           1369.15,           1325.72,           1140.49,           1178.81,           1120.40,            884.47,            813.44,,,,,
Czech Republic,World,Textiles and Clothing,Export,Export(US$ Mil),           4213.75,           3953.90,           3865.65,           4130.49,           3462.86,           3284.14,           4119.52,           3923.05,           3320.74,           3312.77,           2830.27,           2295.64,           2023.81,           1905.71,           1772.97,           1702.88,           1831.80,           1546.72,           1556.00,           1858.44,           1061.87,            923.55,,,,,
Czech Republic,World,Transportation,Export,Export(US$ Mil),          34545.48,          30442.07,          28714.17,          29419.53,          23813.61,          21146.42,          24879.92,          22053.96,          17197.56,          13557.37,          10635.62,           8027.54,           8419.38,           5759.46,           4879.41,           4929.88,           4697.92,           3406.47,           2452.15,           2015.44,           1314.89,           1340.62,,,,,
Czech Republic,World,Vegetable,Export,Export(US$ Mil),           2555.66,           2427.39,           2396.05,           1976.24,           1454.17,           1547.16,           1719.48,           1362.20,            859.88,            912.02,            509.42,            434.58,            367.53,            327.91,            429.81,            391.90,            317.73,            284.46,            349.38,            479.41,            288.91,            280.51,,,,,
Czech Republic,World,Wood,Export,Export(US$ Mil),           5794.76,           5586.20,           5261.18,           5715.10,           4948.83,           4721.43,           5569.39,           5000.08,           3864.66,           3384.39,           3029.60,           2579.86,           2445.44,           1727.69,           1628.34,           1583.08,           1507.14,           1292.51,           1323.35,           1402.55,            880.14,            661.02,,,,,
Czech Republic,World,All Products,Export,Exports (in US$ Mil),         173726.65,         161524.15,         156422.74,         162391.72,         132140.91,         112884.32,         146087.03,         120900.49,          95140.99,          78208.55,          65771.59,          48720.35,          44263.58,          33384.21,          29052.87,          26842.60,          28305.77,          22746.34,          21907.32,          21685.57,          14081.44,          12892.20,,,,,
