Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Germany,...,...,Development,GDP (current US$ Mil),        3852556.17,        3730260.57,        3533240.00,        3751880.00,        3412210.00,        3412980.00,        3746920.00,        3435680.00,        2998620.00,        2857630.00,        2815470.00,        2502310.00,        2076300.00,        1947930.00,        1947210.00,        2196690.00,        2239910.00,        2215940.00,        2501570.00,        2590500.00,        2205970.00,        2068560.00,        2123130.00,        1861870.00,        1764970.00,        1393674.30,        1395931.51
Germany,...,...,Export,No. Of Export partners,            230.00,            231.00,            226.00,            225.00,            229.00,            231.00,            231.00,            231.00,            229.00,            229.00,            229.00,            229.00,            229.00,            227.00,            216.00,            212.00,            210.00,            210.00,            209.00,            212.00,            211.00,            209.00,            207.00,            187.00,            188.00,            189.00,            188.00
Germany,...,...,Export,No. Of Export products,           4429.00,           4429.00,           4437.00,           4458.00,           4455.00,           4463.00,           4427.00,           4420.00,           4651.00,           4667.00,           4713.00,           4705.00,           4708.00,           4775.00,           4767.00,           4798.00,           4778.00,           4788.00,           4792.00,           4844.00,           4845.00,           4860.00,           4859.00,           4864.00,           4857.00,           4861.00,           4864.00
Germany,...,...,Import,No. Of Import partners,            222.00,            226.00,            219.00,            223.00,            225.00,            227.00,            226.00,            223.00,            226.00,            229.00,            229.00,            228.00,            228.00,            226.00,            215.00,            209.00,            210.00,            210.00,            208.00,            211.00,            208.00,            209.00,            204.00,            184.00,            186.00,            186.00,            188.00
Germany,...,...,Import,No. Of Import products,           4532.00,           4535.00,           4535.00,           4562.00,           4560.00,           4562.00,           4568.00,           4563.00,           4817.00,           4828.00,           4838.00,           4832.00,           4845.00,           4912.00,           4904.00,           4918.00,           4908.00,           4926.00,           4927.00,           4969.00,           4977.00,           4983.00,           4983.00,           4992.00,           4985.00,           4992.00,           4996.00
Germany,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,...,...,Development,Trade Balance (current US$ Mil),         247458.40,         216753.65,         207820.00,         181330.00,         176890.00,         168330.00,         223840.00,         228370.00,         158810.00,         144589.00,         142064.00,          91794.00,          90965.00,          34401.00,           5247.00,          15687.00,          29698.00,          26245.00,          20542.00,          12133.00,           4347.00,           1334.00,         -11095.00,          -9586.00,          -3834.00,          -8961.41,          -5169.73
Germany,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,          31712.57,          29470.19,          29650.90,,
Germany,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,          30734.68,,,          28688.98,          27744.71,          24767.30,          18598.95,          17771.83
Germany,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          99371.56,          89462.09,          85943.84,          90496.74,,,,,,,,,,,,,,,,,,,,,,,
Germany,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         107203.80,          98725.26,         100675.77,         112184.06,         101377.13,          77501.27,          86360.22,          75047.64,          62805.68,          50594.71,,,,,,,,,,,,,,,,,
