Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Dominica,...,...,Development,GDP (current US$ Mil),            537.78,            516.67,            514.82,            508.52,            492.96,            498.89,            468.89,            428.89,            397.78,            370.37,            374.77,            350.09,            337.70,            343.12,            335.85,            267.74,            258.44,            245.78,            236.44,            224.04,            215.46,            200.42,            191.76,            180.44,            166.32,            153.37,            143.77
Dominica,...,...,Export,No. Of Export partners,,,             52.00,,             36.00,             30.00,             29.00,             30.00,             35.00,             33.00,             32.00,             29.00,             32.00,             37.00,             46.00,             30.00,,             27.00,             28.00,             32.00,             33.00,             29.00,,,,,
Dominica,...,...,Export,No. Of Export products,,,            682.00,,            453.00,            296.00,            318.00,            360.00,            298.00,            332.00,            351.00,            317.00,            408.00,            424.00,            403.00,            435.00,,            362.00,            360.00,            423.00,            414.00,            333.00,,,,,
Dominica,...,...,Import,No. Of Import partners,,,             92.00,,             95.00,             95.00,             95.00,            104.00,             97.00,             98.00,             96.00,             96.00,             92.00,             96.00,            104.00,             92.00,,             78.00,             85.00,             89.00,             81.00,             79.00,,,,,
Dominica,...,...,Import,No. Of Import products,,,           2723.00,,           2673.00,           2626.00,           2627.00,           2700.00,           2664.00,           2699.00,           2806.00,           2734.00,           2739.00,           2735.00,           2765.00,           2855.00,,           2027.00,           1982.00,           1950.00,           1880.00,           1897.00,,,,,
Dominica,...,...,Tariff,No. Of Tariff Agreement,,,              2.00,,              1.00,,,              4.00,              4.00,,,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,,,,,,,,,
Dominica,...,...,Development,Trade Balance (current US$ Mil),            -56.06,            -68.30,            -89.61,            -73.70,            -90.37,           -116.67,           -130.74,            -88.52,            -54.45,            -67.04,            -43.63,            -38.93,            -33.07,            -44.50,            -38.57,            -23.78,            -20.58,            -35.70,            -23.70,            -32.70,            -29.60,            -24.96,            -25.54,            -34.00,            -43.23,            -47.96,            -20.33
Dominica,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              3.09,              6.31,              6.07,              5.70,              5.36,              4.71,              4.15,              4.01,              3.53,              3.63,              3.95,              3.95,,              3.17,,,,,,,,,
Dominica,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              5.63,,              5.49,              4.40,,,              5.26,,              5.09,,,,              3.18,,,,,
Dominica,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,              6.31,,,,,,,              3.86,              6.27,,,,,,,,,,,,
Dominica,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,              5.13,,,,,              4.76,              6.50,,,,,,,,,,,,,,,,,,
Dominica,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              3.24,,              3.85,              5.32,              5.50,              3.57,              3.45,              4.51,              3.95,              3.58,,              3.25,              4.00,              3.70,,              3.69,,,,,,,,,
Dominica,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              7.31,,,,,,,,,              7.67,,,,,,,
Dominica,Guadeloupe,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              2.77,              2.07,              2.26,,,,,
Dominica,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              3.52,,,,,,,,,              3.28,              2.87,              3.07,,,,,,              2.74,,,,,,,
Dominica,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              6.01,,              5.89,              4.64,              6.52,              7.37,              6.28,              5.31,              8.35,              8.97,              8.98,             10.12,             12.82,             13.12,,             11.40,,              5.37,              4.49,              4.38,,,,,
Dominica,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,              9.11,              8.41,             10.00,              8.12,              6.65,              7.66,              6.83,              4.99,              4.73,              8.30,              9.29,              9.55,,              5.83,,,              4.53,              3.98,,,,,
Dominica,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,              1.85,,,,,
Dominica,St. Kitts and Nevis,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              5.31,,              6.04,              2.51,,,,,,,,,,,,,,,,,,,,,
Dominica,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              2.37,,,,,,
Dominica,St. Lucia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              5.93,              4.98,,,,,,
Dominica,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              6.94,,              4.74,,              3.52,              3.00,              3.14,              3.74,              3.07,,,,,,,,,,,,,,,,
Dominica,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             35.99,,             34.27,             31.27,             49.56,             45.15,             36.86,             33.98,             26.36,             23.20,             20.40,             22.85,             24.26,             18.28,,             18.55,,             12.87,             12.03,             10.39,,,,,
Dominica,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              3.78,              5.33,              5.19,              7.65,              6.89,              7.43,              6.22,              9.46,              9.17,             12.85,             15.14,,             16.75,,             17.29,             21.48,             24.40,,,,,
Dominica,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,              8.39,,              8.99,             11.72,             10.72,             10.57,              9.55,             11.23,              9.57,              9.69,              9.97,             13.26,             11.46,             10.71,,             13.88,,             15.77,             12.11,             11.76,,,,,
Dominica,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,              3.86,,              3.98,              3.45,,              3.33,,              3.65,              3.43,              2.72,,,,,
Dominica,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             77.88,,             93.82,             85.13,             92.32,             69.86,             60.32,             60.46,             53.29,             47.22,             42.50,             47.74,             55.39,             54.98,,             55.88,,             38.86,             34.40,             35.16,,,,,
Dominica,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             18.24,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             16.26,             16.71,,,,,,,,,,,,,,,,,,,,,
Dominica,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,          78724.75,,          18919.74,,,          84396.48,          73839.53,,,          17265.33,          14144.58,          19346.20,          12383.68,          11868.88,,          18817.97,          11117.86,,,,,,,,
Dominica,World,Animal,Export,Export(US$ Mil),,,              0.01,,              0.00,              0.00,              0.01,              0.02,              0.03,              0.04,              0.01,              0.19,              0.01,              0.00,              0.00,              0.04,,              0.01,              0.02,              0.02,              0.03,              0.02,,,,,
Dominica,World,Capital goods,Export,Export(US$ Mil),,,              4.38,,              2.55,              1.08,              0.67,              0.34,              0.42,              1.82,              0.79,              0.32,              1.87,              0.57,              1.64,              1.15,,              0.53,              0.51,              1.16,              0.49,              0.90,,,,,
Dominica,World,Chemicals,Export,Export(US$ Mil),,,             18.81,,             16.52,             13.18,             17.71,             19.46,             23.48,             22.48,             22.52,             23.00,             21.54,             23.51,             28.02,             27.23,,             23.59,             23.72,             19.14,             15.92,             12.99,,,,,
Dominica,World,Consumer goods,Export,Export(US$ Mil),,,             25.08,,             22.14,             14.64,             19.57,             19.90,             22.96,             22.66,             22.83,             23.28,             21.82,             24.15,             28.72,             28.45,,             24.25,             24.57,             20.85,             18.76,             14.99,,,,,
Dominica,World,Food Products,Export,Export(US$ Mil),,,              0.86,,              0.92,              1.13,              1.65,              1.56,              1.57,              1.56,              1.81,              2.22,              2.18,              1.53,              2.03,              1.65,,              1.57,              1.15,              1.28,              1.20,              0.82,,,,,
Dominica,World,Footwear,Export,Export(US$ Mil),,,              0.01,,              0.00,,              0.00,              0.00,              0.00,              0.02,              0.08,              0.03,              0.07,              0.07,              0.14,              0.15,,              0.24,              0.26,              0.24,              0.24,              0.13,,,,,
Dominica,World,Fuels,Export,Export(US$ Mil),,,              0.00,,              0.02,              0.01,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.01,,              0.02,,              0.00,              0.00,              0.00,,,,,
