Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Denmark,...,...,Development,GDP (current US$ Mil),         341951.61,         335877.55,         322277.00,         341499.00,         319811.00,         319762.00,         352592.00,         319500.00,         282961.00,         264560.00,         251243.00,         218096.00,         178635.00,         164791.00,         164159.00,         177965.00,         176992.00,         173538.00,         187632.00,         185007.00,         156145.00,         142963.00,         152691.00,         138965.00,         138095.00,         111886.84,         115111.92
Denmark,...,...,Export,No. Of Export partners,            222.00,            224.00,            217.00,            218.00,            224.00,            222.00,            223.00,            221.00,            225.00,            225.00,            225.00,            224.00,            225.00,            224.00,            209.00,            204.00,            205.00,            204.00,            203.00,            206.00,            206.00,            205.00,            203.00,            187.00,            183.00,            187.00,
Denmark,...,...,Export,No. Of Export products,           4248.00,           4226.00,           4225.00,           4265.00,           4255.00,           4274.00,           4312.00,           4327.00,           4526.00,           4493.00,           4521.00,           4528.00,           4504.00,           4390.00,           4360.00,           4341.00,           4277.00,           4227.00,           4291.00,           4342.00,           4394.00,           4436.00,           4416.00,           4411.00,           4443.00,           4408.00,
Denmark,...,...,Import,No. Of Import partners,            217.00,            222.00,            220.00,            214.00,            216.00,            208.00,            221.00,            217.00,            211.00,            218.00,            209.00,            214.00,            213.00,            202.00,            185.00,            182.00,            178.00,            174.00,            172.00,            175.00,            176.00,            172.00,            178.00,            162.00,            167.00,            171.00,
Denmark,...,...,Import,No. Of Import products,           4426.00,           4424.00,           4442.00,           4475.00,           4480.00,           4484.00,           4501.00,           4497.00,           4740.00,           4724.00,           4726.00,           4759.00,           4755.00,           4758.00,           4753.00,           4727.00,           4717.00,           4689.00,           4723.00,           4808.00,           4801.00,           4837.00,           4852.00,           4833.00,           4843.00,           4848.00,
Denmark,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,...,...,Development,Trade Balance (current US$ Mil),          18045.72,          19280.80,          17261.00,          18950.00,          19554.00,          13931.00,          11551.00,           9055.00,          11096.00,          14737.00,          13731.60,          14819.90,          11622.60,          11766.80,          11016.00,          10677.30,           5440.70,           7561.50,          10626.50,           8712.70,           9079.30,          10270.80,          10327.00,           8354.10,           7161.50,           3695.51,           3357.71
Denmark,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7133.94,           6544.22,           6458.86,           6720.72,           6426.37,           5326.85,           6486.46,           5498.02,           4454.83,           3577.02,,,,,,,,,,,,,,,,,
Denmark,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           2717.36,           3212.50,           2518.26,           2282.72,           2545.98,           2606.20,           2451.90,,           2220.68,           1811.47,           1530.50,           1863.23,           1991.95,,,
Denmark,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          18304.85,          16938.48,          15000.99,          16438.42,          14340.41,          13824.34,          17472.67,          15037.00,          13579.50,          12617.22,          12315.99,          11182.09,          10012.18,           9166.93,           8252.69,           9118.43,           9281.71,           9673.70,,          10208.96,           8302.77,           7987.45,           8809.39,           7505.80,           6460.22,           4592.55,
Denmark,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          20279.25,          19974.90,          19081.53,          19764.95,          17115.68,          16776.08,          22822.74,          21010.12,          18133.89,          15242.48,          14450.27,          12904.19,          10779.93,           9684.41,           9142.51,           9434.32,           9873.08,           9466.14,,           9185.91,           7249.51,           6592.33,           7679.09,           7039.17,           7007.57,           5851.75,
