Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Dominican Republic,...,...,Development,GDP (current US$ Mil),          63968.96,          61198.26,          60441.40,          58026.10,          53043.00,          47889.10,          47523.60,          43685.70,          35779.50,          33431.00,          22163.90,          21268.00,          26570.40,          24894.90,          23996.70,          21709.00,          21171.20,          19593.40,          18131.80,          16358.50,          14511.10,          12976.40,          11277.70,           9724.38,           7073.67,           6686.59,           5374.30
Dominican Republic,...,...,Export,No. Of Export partners,            158.00,            146.00,            147.00,            136.00,            138.00,            136.00,            138.00,            143.00,            124.00,            124.00,            126.00,            127.00,            117.00,             98.00,,,,,,,,,,,,,
Dominican Republic,...,...,Export,No. Of Export products,           2816.00,           2783.00,           2606.00,           1632.00,           1488.00,           1440.00,           1458.00,           1453.00,           1311.00,           1281.00,           1319.00,           1293.00,           1181.00,            817.00,,,,,,,,,,,,,
Dominican Republic,...,...,Import,No. Of Import partners,            187.00,            193.00,            202.00,            201.00,            201.00,            199.00,            198.00,            182.00,            164.00,            165.00,            160.00,            167.00,            158.00,            132.00,,,,,,,,,,,,,
Dominican Republic,...,...,Import,No. Of Import products,           4110.00,           4102.00,           4105.00,           4132.00,           4166.00,           4160.00,           4114.00,           4064.00,           4205.00,           4234.00,           4176.00,           4164.00,           4206.00,           3928.00,,,,,,,,,,,,,
Dominican Republic,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,              7.00,,              6.00,              6.00,              4.00,              5.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,
Dominican Republic,...,...,Development,Trade Balance (current US$ Mil),          -3100.44,          -3512.90,          -5236.40,          -5860.30,          -5821.30,          -3994.80,          -6397.50,          -3614.70,          -2856.60,          -1829.90,            171.05,            -71.98,          -2086.92,          -1809.34,          -2116.34,          -1466.64,          -1635.73,           -780.68,           -537.56,           -581.58,           -704.11,           -688.49,           -780.82,           -285.71,           -697.81,           -739.43,           -468.99
Dominican Republic,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             57.94,             66.98,,,,,,,,,,,,,
Dominican Republic,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            411.24,            364.58,            304.35,            246.35,            224.60,            168.16,,,,,,,,,,,,,,,
Dominican Republic,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            912.40,            974.05,,,,,,,,,,,,,,,,,,,,,,,,,
