Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Algeria,...,...,Development,GDP (current US$ Mil),         214063.17,         210183.41,         204331.00,         199071.00,         161207.00,         137211.00,         171001.00,         134977.00,         117027.00,         103198.00,          85325.00,          67863.80,          56760.30,          54744.70,          54790.10,          48640.60,          48187.80,          48177.90,          46941.50,          41764.10,          42542.60,          49946.50,          48003.30,          45715.40,          62045.10,          55631.49,          59089.07
Algeria,...,...,Export,No. Of Export partners,            125.00,            118.00,            113.00,            110.00,            117.00,            117.00,            102.00,            113.00,            111.00,            103.00,            103.00,            103.00,             96.00,             96.00,             87.00,             75.00,             77.00,             84.00,             81.00,             69.00,             60.00,             73.00,             73.00,,,,
Algeria,...,...,Export,No. Of Export products,            851.00,            805.00,            767.00,            673.00,            783.00,            883.00,            941.00,           1063.00,           1022.00,            936.00,            768.00,           1007.00,           1122.00,            772.00,           1112.00,            782.00,            834.00,            736.00,            910.00,            791.00,            554.00,            624.00,            681.00,,,,
Algeria,...,...,Import,No. Of Import partners,            175.00,            172.00,            167.00,            166.00,            170.00,            164.00,            165.00,            161.00,            165.00,            166.00,            163.00,            155.00,            147.00,            155.00,            159.00,            136.00,            134.00,            133.00,            139.00,            127.00,            112.00,            105.00,            121.00,,,,
Algeria,...,...,Import,No. Of Import products,           4074.00,           4065.00,           4071.00,           4094.00,           4054.00,           4138.00,           4137.00,           4126.00,           4279.00,           4305.00,           4255.00,           4256.00,           4329.00,           4248.00,           4236.00,           4249.00,           4172.00,           4169.00,           4206.00,           4245.00,           3937.00,           3866.00,           4089.00,,,,
Algeria,...,...,Tariff,No. Of Tariff Agreement,              4.00,,,,,              4.00,              3.00,              3.00,              5.00,              5.00,,              2.00,              2.00,              4.00,,,              9.00,              2.00,,,,              2.00,,,,,
Algeria,...,...,Development,Trade Balance (current US$ Mil),          -3953.18,           6017.66,          17640.00,          20369.70,          11320.70,           -797.20,          32938.50,          29962.40,          31470.20,          23871.60,          12291.10,           9754.00,           5605.00,           8032.40,          10860.00,           1520.00,             30.00,           4610.00,           2730.00,          -1170.00,          -1498.75,           -676.80,            696.10,           2522.60,           -926.50,          -5493.49,          -4192.87
Algeria,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           4666.18,           3579.05,,,,,,,,,,,,,,,,,,
Algeria,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            489.05,,,,,,,,,
Algeria,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8243.81,           6827.55,           5964.82,           4737.29,           4605.10,           4750.58,           4066.95,           2389.40,           1707.75,           1333.05,            915.86,,,,,,,,,,,,,,,,
Algeria,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6984.47,           6786.10,           6124.18,           6533.57,           3776.06,           4424.35,           6370.45,,           4569.91,           4595.32,           3656.19,           3113.23,           2554.28,           2913.48,           2919.96,           1719.06,           1675.91,           2189.06,,           1315.63,           1326.22,           1688.56,           2037.81,,,,
Algeria,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6336.38,           6257.80,           6433.33,           7115.36,           6119.69,           6159.89,           6503.79,           4613.61,           4370.25,           4472.29,           4124.34,           3236.50,           2697.46,           2381.84,           2159.37,           2086.05,           2241.28,           2009.46,,           2686.83,           2376.24,           2240.59,           2096.93,,,,
Algeria,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3802.36,           2861.29,           2591.18,           2558.05,           2381.97,           2765.39,           2411.41,           1788.17,           1476.53,           1277.59,           1209.01,            880.43,            853.08,            784.05,            709.58,            678.63,            645.05,,,            737.27,            517.07,            469.04,            752.09,,,,
Algeria,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8332.18,           9016.81,          11512.55,          10440.85,           8779.26,           5701.58,          12293.92,           7967.15,           9314.36,           7531.54,           5165.20,           4725.65,           3911.25,           4308.27,           4417.17,           2942.15,           1841.58,           2866.27,,           2098.70,           1535.13,           2219.71,           2414.62,,,,
Algeria,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5044.03,           5652.70,           5191.04,           4674.95,           4113.17,           3659.74,           4308.61,           2406.88,           1881.18,           1523.82,           1547.14,           1274.37,           1139.10,           1038.13,            810.93,            907.34,            845.76,            750.60,,           1039.01,            931.38,            952.02,           1242.33,,,,
Algeria,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5128.46,,           5256.73,           4916.23,           4163.53,           3265.21,           6111.16,           4527.68,,           3023.31,           2382.99,           1696.37,           1684.03,           1365.92,           1657.69,           1021.25,            806.84,           1170.44,,            972.45,            885.00,            784.52,            896.00,,,,
Algeria,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9583.54,          10344.33,           7809.37,           7186.05,           5908.65,           5402.42,           9093.34,           5338.35,           5982.91,           5047.96,           3608.08,           2998.14,           2247.43,           2302.49,           2329.07,           1328.97,            960.31,           1247.20,,            625.06,            650.17,            679.23,            846.12,,,,
Algeria,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5028.21,           5084.23,           4343.28,           3427.16,           2643.62,           2971.49,           2914.79,,,,,            743.13,            623.03,            522.18,            546.06,            507.51,            547.28,            603.64,,            923.39,            901.20,            926.17,            832.17,,,,
Algeria,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5552.02,           7202.28,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           5340.53,          10778.21,          15127.34,          13827.32,          10365.20,          18952.46,          18090.64,          14856.77,          10597.62,           7576.59,           4908.02,           2591.75,           2673.74,           3424.84,           1755.05,           1520.02,           2221.85,,           1563.24,           1414.04,           1608.69,           1553.40,,,,
Algeria,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           2134.76,           1425.74,           1367.35,           1087.85,            709.31,           1163.30,           1031.50,           1045.08,            769.60,            991.64,            920.97,,           1417.90,           1371.81,           1311.40,            954.18,,,,
Algeria,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       17181914.22,,,,,        7546825.31,        6713379.08,        4095092.21,        3389402.84,        3209469.55,,         109555.68,         248437.35,         185884.79,,,          25359.37,          52062.67,,,,         188705.21,,,,,
