Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
East Asia & Pacific,...,...,Development,GDP (current US$ Mil),       21421778.21,       20807939.41,       20596000.00,       19237400.00,       16616100.00,       14247900.00,       13841000.00,       12001400.00,       10705500.00,       10083200.00,        9470890.00,        8445070.00,        7681450.00,        7554040.00,        8120170.00,        7521660.00,        6738590.00,        7561560.00,        7870390.00,        8184610.00,        7246920.00,        6493040.00,        5799800.00,        5314310.00,        4720030.00,        4506942.94,        4306562.82
East Asia & Pacific,...,...,Export,No. Of Export partners,            236.00,            235.00,            237.00,            235.00,            234.00,            234.00,            234.00,            234.00,            232.00,            233.00,            235.00,            237.00,            236.00,            237.00,            235.00,            223.00,            222.00,            221.00,            222.00,            225.00,            225.00,            226.00,            221.00,            201.00,            204.00,            202.00,            196.00
East Asia & Pacific,...,...,Export,No. Of Export products,           4740.00,           4731.00,           4753.00,           4692.00,           4686.00,           4832.00,           4863.00,           4876.00,           4903.00,           4904.00,           4918.00,           4928.00,           4923.00,           4957.00,           4965.00,           4979.00,           5019.00,           5014.00,           5025.00,           5035.00,           5031.00,           5030.00,           5031.00,           5021.00,           5018.00,           5013.00,           4960.00
East Asia & Pacific,...,...,Import,No. Of Import partners,            236.00,            234.00,            236.00,            234.00,            235.00,            235.00,            235.00,            234.00,            233.00,            232.00,            236.00,            236.00,            236.00,            236.00,            234.00,            219.00,            218.00,            220.00,            221.00,            222.00,            224.00,            222.00,            219.00,            196.00,            201.00,            197.00,            189.00
East Asia & Pacific,...,...,Import,No. Of Import products,           4799.00,           4837.00,           4848.00,           4839.00,           4824.00,           4888.00,           4906.00,           4911.00,           4939.00,           4928.00,           4935.00,           4951.00,           4954.00,           4971.00,           4999.00,           5021.00,           5030.00,           5033.00,           5033.00,           5035.00,           5035.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5012.00
East Asia & Pacific,...,...,Tariff,No. Of Tariff Agreement,           1099.00,           1101.00,           1204.00,           1128.00,            986.00,            974.00,           1112.00,           1007.00,            996.00,           1070.00,            939.00,           1015.00,            731.00,            809.00,            673.00,            674.00,            673.00,            702.00,            688.00,            235.00,            232.00,            609.00,            218.00,            404.00,            218.00,            219.00,            400.00
East Asia & Pacific,...,...,Development,Trade Balance (current US$ Mil),         554513.14,         342808.91,         310020.00,         346150.00,         466670.00,         438450.00,         421770.00,         523380.00,         380590.00,         282640.00,         230610.00,         204460.00,         175130.00,         130050.00,         167970.00,         193080.00,         213740.00,          91030.00,          13820.00,          63940.00,         103210.00,         100210.00,          95048.00,          65041.00,          36489.00,          59635.25,          89095.38
East Asia & Pacific,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,          22338.82,          20912.59,          18805.59,          12429.03
East Asia & Pacific,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         651573.32,         844709.74,         785773.33,         762717.45,         645166.86,         478230.52,         512427.82,         461225.57,         396266.76,         338905.42,         289551.44,         226116.32,         170027.99,         141132.73,         139339.25,         108692.42,         103574.74,         114485.31,         107593.69,          99462.64,          82871.02,          72543.07,,,,,
East Asia & Pacific,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         814655.71,         936568.84,         894577.30,         819005.75,         697962.86,         554427.76,         641510.13,         572635.47,         494546.33,         418782.59,         344633.96,         268810.83,         221625.75,         194617.36,         192235.76,         148548.97,         134020.43,         148150.61,         137687.76,         126272.54,         104160.98,          84592.49,          28225.41,          24544.69,          19036.97,,
East Asia & Pacific,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,          33590.82,          31094.04,          26865.29,          22898.15,          18929.29
East Asia & Pacific,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,          42365.96,          35024.68,          29665.22,          25010.85,          24305.57,          19362.20,          13454.29
East Asia & Pacific,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         482227.30,         534594.65,         481313.25,         428139.10,         365439.87,         277901.68,         316354.03,         301847.04,         262675.49,         220305.68,         192747.67,         153756.94,         121290.00,         103527.29,         107866.59,          89100.36,          91146.32,         108752.67,          93774.77,          95736.91,          83319.73,          64619.11,          75211.12,          30353.38,,          21130.07,          16920.96
East Asia & Pacific,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,          28580.16,,,,
East Asia & Pacific,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         317284.55,         358035.58,         389733.22,         383427.08,         306695.47,         240514.76,         307353.64,         258956.22,         243676.88,         218106.77,         195399.14,         160039.41,         138898.54,         140057.50,         144054.22,         110170.15,          97752.69,         115934.34,         117684.31,         109438.34,          90121.14,          76156.49,          63004.26,          51281.32,          48117.96,          44609.04,          20170.72
East Asia & Pacific,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         316570.31,         398464.70,         443262.23,         454963.54,         417830.15,         309518.17,         380851.50,         336763.44,         299819.69,         279928.45,         265307.95,         214952.68,         176265.60,         160363.99,         180168.32,         143503.88,         127599.61,         168972.88,         177454.81,         179553.86,         150756.25,         127773.55,          86023.64,          70421.28,          61954.58,          54670.81,          28364.88
East Asia & Pacific,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         222733.27,         228257.57,         234627.90,         235203.37,         201808.10,         153800.93,         194481.96,         161185.06,         140405.74,         121899.49,         109449.40,          84034.22,          70506.38,          61303.30,,,,,,,,,,,          24185.23,          21954.55,          16836.56
East Asia & Pacific,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         318405.58,         332326.69,         318463.50,         301635.15,         249648.81,         185603.42,         213415.67,         190317.43,         171665.59,         146588.63,         127299.09,          96276.30,          75182.77,          68428.06,          75035.80,          58459.19,          51209.13,          57961.33,          56859.52,          53123.94,,,,,,          17496.66,          13172.51
East Asia & Pacific,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,          78313.12,          62506.78,          54436.08,,,,,,,,,,
East Asia & Pacific,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         277175.09,         299177.38,         267276.83,         259729.57,         234109.35,         175492.03,         211827.06,         205592.86,         184889.44,         159755.62,         140021.73,         108388.70,          92220.76,          78823.11,          85861.47,          63469.88,          55979.01,          65845.66,          67987.10,          65116.95,          53992.64,          47608.22,,,,,
East Asia & Pacific,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,          67796.93,          67118.17,          67781.22,          55807.50,          46110.24,          36938.30,          30008.27,          24723.67,,
East Asia & Pacific,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         678626.99,         734929.57,         719580.21,         670917.13,         608295.52,         483847.36,         602802.28,         590504.99,         561829.86,         492381.88,         437847.25,         371241.78,         348159.38,         328767.40,         369381.34,         320837.63,         295721.49,         285311.48,         266289.12,         267062.86,         246852.09,         215109.75,         160628.94,         142415.73,         139618.13,         141223.20,         114416.88
East Asia & Pacific,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         383005.42,         425713.02,         415658.22,         401459.22,         344319.47,         274802.18,         330756.89,         293936.48,         270325.77,         241550.93,         226784.64,         199333.64,         185021.81,         188214.70,         206477.35,         187212.71,         181342.58,         212826.80,         216390.55,         197436.72,         160477.16,         136460.35,         117871.35,         106856.71,         101595.57,          92250.82,          64850.66
East Asia & Pacific,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     3264802764.37,     2376535843.34,     2303026115.03,     3126263013.97,     2594639138.31,     1940297904.44,     2410631739.83,     1993351220.81,     1741822203.66,     1406252511.69,     1204510915.44,      955049080.73,      806726107.89,      696559998.39,      747706945.91,      583138582.75,      546735157.96,      632585348.55,      627507845.25,      333556472.26,      154245446.33,      162893636.31,      129230945.68,      145500338.56,      125839399.23,      147013124.67,      231279816.94
East Asia & Pacific,World,Animal,Export,Export(US$ Mil),          67723.67,          67299.35,          63182.62,          62740.08,          52619.91,          43021.01,          46738.09,          40560.08,          36124.92,          34299.81,          32196.44,          28319.75,          26540.54,          26827.08,          25540.44,          22262.16,          21839.75,          23906.23,          23778.40,          23238.53,          21379.30,          18471.87,          17155.86,          13542.36,          12053.85,          11208.96,           4998.56
East Asia & Pacific,World,Capital goods,Export,Export(US$ Mil),        2068702.55,        2353095.45,        2294776.80,        2207764.83,        1989278.88,        1535792.17,        1777471.21,        1625176.73,        1415904.57,        1219819.51,        1068304.29,         837235.72,         685237.79,         623935.84,         713486.11,         577549.11,         516660.60,         544333.78,         521550.14,         513887.35,         423161.13,         347058.31,         278286.76,         241845.02,         213737.29,         198084.60,         158010.55
East Asia & Pacific,World,Chemicals,Export,Export(US$ Mil),         254308.84,         287497.49,         287644.34,         291523.92,         234216.72,         180754.66,         212340.68,         187317.94,         159217.37,         139229.84,         122307.29,          97234.32,          77943.23,          72021.48,          75217.57,          65060.63,          58966.74,          63220.28,          59737.70,          59438.46,          46414.57,          38882.33,          32528.87,          25929.64,          23430.01,          21441.67,          16022.07
East Asia & Pacific,World,Consumer goods,Export,Export(US$ Mil),        1528650.63,        1665343.96,        1603658.98,        1498251.41,        1240825.35,         975926.91,        1212295.67,        1051156.89,         904441.50,         774914.52,         667839.72,         561651.21,         488158.10,         456326.48,         475880.05,         415394.89,         392777.48,         413716.06,         385043.02,         371114.25,         339712.29,         310417.14,         230532.02,         171550.92,         154315.88,         140470.39,         103454.95
East Asia & Pacific,World,Food Products,Export,Export(US$ Mil),          85739.45,          91247.90,          88017.79,          82278.37,          67047.86,          56111.17,          58701.40,          50584.93,          42852.50,          37559.55,          33330.26,          28625.77,          25352.34,          22686.25,          21741.60,          20212.65,          20142.15,          24341.25,          25473.28,          22858.24,          20385.09,          17750.87,          14076.81,           9882.53,           8844.15,           8076.15,           3169.40
East Asia & Pacific,World,Footwear,Export,Export(US$ Mil),          82829.40,          85443.09,          79050.43,          72383.78,          61062.43,          48454.53,          52922.78,          46563.99,          41705.13,          37543.11,          32566.13,          29065.66,          26378.92,          25810.01,          26471.41,          22977.43,          22980.21,          25676.68,          25080.73,          24843.99,          22598.50,          20315.24,          11733.74,           6775.72,           6539.84,           5101.02,           4181.95
East Asia & Pacific,World,Fuels,Export,Export(US$ Mil),         313418.27,         391053.55,         403635.79,         396366.87,         291065.15,         216599.73,         316795.01,         203163.53,         186146.26,         151225.76,         114450.91,          85180.94,          71744.11,          73197.96,          75528.79,          49300.07,          47634.80,          62516.03,          56677.76,          46233.76,          43844.03,          44356.83,          44254.21,          38390.61,          36189.22,          27357.95,           6210.98
East Asia & Pacific,World,Hides and Skins,Export,Export(US$ Mil),          50067.60,          54324.32,          50024.27,          47529.02,          38350.28,          29348.68,          33948.05,          32022.36,          30317.60,          30051.16,          27751.21,          24186.01,          21263.71,          21485.93,          20991.28,          17667.28,          17582.75,          19578.89,          19121.02,          18848.88,          16999.03,          14454.42,           8346.47,           5343.68,           5564.91,           5526.05,           4133.10
East Asia & Pacific,World,Intermediate goods,Export,Export(US$ Mil),         909227.12,        1054912.64,        1030967.25,        1022206.88,         823192.24,         622621.36,         796878.30,         686283.90,         574818.49,         476586.89,         423405.60,         331111.15,         275599.24,         257344.26,         277073.90,         240536.83,         242719.15,         262136.62,         247636.26,         249150.47,         200391.23,         173039.13,         135131.15,         107915.46,          97772.33,          95144.68,          66864.66
East Asia & Pacific,World,Mach and Elec,Export,Export(US$ Mil),        1901238.20,        2089207.21,        1997498.91,        1926203.95,        1755132.92,        1364057.02,        1592585.01,        1493801.49,        1305774.26,        1131994.48,         997859.13,         789388.02,         648986.10,         588011.32,         673891.20,         540465.22,         481742.27,         511109.86,         496154.15,         488694.40,         395662.58,         321329.75,         249594.83,         215131.33,         189843.66,         176029.80,         135161.78
