Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Europe & Central Asia,...,...,Development,GDP (current US$ Mil),       23113307.65,       22912480.34,       21990200.00,       22922500.00,       20822100.00,       20311900.00,       23077700.00,       21016900.00,       17976900.00,       16603100.00,       15595600.00,       13378500.00,       10970500.00,       10025200.00,        9921090.00,       10527200.00,       10648400.00,       10389400.00,       10969600.00,       10752800.00,        9412790.00,        9000720.00,        9794340.00,        9124840.00,        8847370.00,        7231451.05,        7075350.57
Europe & Central Asia,...,...,Export,No. Of Export partners,            238.00,            239.00,            237.00,            236.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            237.00,            235.00,            236.00,            235.00,            234.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
Europe & Central Asia,...,...,Export,No. Of Export products,           4591.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4857.00,           4901.00,           4902.00,           4918.00,           4913.00,           4924.00,           4945.00,           4989.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
Europe & Central Asia,...,...,Import,No. Of Import partners,            238.00,            239.00,            237.00,            235.00,            235.00,            236.00,            236.00,            236.00,            236.00,            235.00,            237.00,            235.00,            235.00,            237.00,            235.00,            222.00,            221.00,            220.00,            222.00,            225.00,            224.00,            224.00,            217.00,            191.00,            196.00,            197.00,            194.00
Europe & Central Asia,...,...,Import,No. Of Import products,           4617.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4917.00,           4921.00,           4924.00,           4931.00,           4930.00,           4932.00,           4947.00,           5006.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
Europe & Central Asia,...,...,Tariff,No. Of Tariff Agreement,           1754.00,           2286.00,           1782.00,           2212.00,           1976.00,           1662.00,           1898.00,           1269.00,           1411.00,            917.00,            740.00,           1050.00,           1068.00,            651.00,            731.00,           1246.00,            751.00,            600.00,           1053.00,            414.00,            193.00,            688.00,,            247.00,            235.00,,            418.00
Europe & Central Asia,...,...,Development,Trade Balance (current US$ Mil),         752424.85,         674530.58,         579330.00,         438990.00,         353190.00,         336300.00,         271810.00,         261690.00,         254660.00,         262190.00,         275950.00,         220370.00,         216110.00,         151460.00,         109740.00,         128820.00,         151200.00,         179760.00,         174730.00,         157800.00,         126750.00,         113260.00,          59620.00,         -18670.00,         -49960.00,         -62216.65,         -37063.31
Europe & Central Asia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
Europe & Central Asia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         521099.39,         540498.29,         530553.83,         563936.86,         503669.22,         392030.97,         479795.11,         406951.93,         306763.27,         245040.22,,,,,,,,,,,,,,,,,
Europe & Central Asia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         513067.87,         521516.70,         506764.97,         553014.45,         475198.75,         446457.30,         557095.16,         493633.25,         441829.69,         393957.09,         365491.52,         307919.70,         254716.91,         243926.38,         246283.55,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
