Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Egypt, Arab Rep.",...,...,Development,GDP (current US$ Mil),         286538.05,         271972.82,         262824.00,         236002.00,         218888.00,         188982.00,         162818.00,         130479.00,         107484.00,          89685.70,          78845.20,          82923.70,          87850.70,          97632.00,          99838.50,          90710.70,          84828.80,          78436.60,          67629.70,          60159.20,          51898.00,          46578.60,          41855.50,          36970.60,          43130.40,          39648.44,          35044.63
"Egypt, Arab Rep.",...,...,Export,No. Of Export partners,            173.00,            172.00,            169.00,            170.00,            177.00,            176.00,            171.00,            171.00,            164.00,            167.00,            170.00,            165.00,            160.00,            158.00,            156.00,            151.00,            154.00,            153.00,            146.00,            145.00,            145.00,,,,,,
"Egypt, Arab Rep.",...,...,Export,No. Of Export products,           2637.00,           2713.00,           2751.00,           2783.00,           2903.00,           2917.00,           2835.00,           2271.00,           2141.00,           2229.00,           2349.00,           2243.00,           2128.00,           1951.00,           1799.00,           1686.00,           1758.00,           1700.00,           1786.00,           1798.00,           2040.00,,,,,,
"Egypt, Arab Rep.",...,...,Import,No. Of Import partners,            174.00,            177.00,            172.00,            173.00,            173.00,            177.00,            157.00,            155.00,            150.00,            146.00,            155.00,            145.00,            155.00,            154.00,            144.00,            143.00,            150.00,            154.00,            146.00,            137.00,            141.00,,,,,,
"Egypt, Arab Rep.",...,...,Import,No. Of Import products,           4167.00,           4192.00,           4248.00,           4205.00,           4183.00,           4299.00,           4191.00,           4154.00,           4158.00,           4119.00,           3916.00,           3841.00,           3872.00,           3965.00,           3988.00,           4015.00,           4002.00,           3945.00,           3868.00,           3833.00,           3959.00,,,,,,
"Egypt, Arab Rep.",...,...,Tariff,No. Of Tariff Agreement,             22.00,             10.00,              9.00,             11.00,             11.00,              6.00,              6.00,              1.00,              1.00,              7.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              3.00,              1.00,,              1.00,,,,,,,
"Egypt, Arab Rep.",...,...,Development,Trade Balance (current US$ Mil),         -25403.43,         -18288.71,         -22120.20,          -9725.10,         -11465.10,         -12548.00,          -9109.10,          -5973.90,          -1740.00,          -2031.90,          -1072.20,          -2145.10,          -3825.60,          -4736.00,          -6605.00,          -7490.40,          -8057.90,          -4749.20,          -3685.20,          -3096.50,          -2847.00,          -1980.80,          -1053.20,          -2950.30,          -5462.79,          -5732.34,          -6252.92
"Egypt, Arab Rep.",Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1302.91,            968.75,,            780.92,            771.23,            566.70,            457.48,            506.57,            622.89,            359.10,            226.66,,,,,,,,,,
"Egypt, Arab Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8057.65,           7002.78,           6590.73,           5708.26,           4901.78,           3910.85,           4432.01,           1633.25,           1196.67,            914.54,            661.29,            535.49,            560.07,,            640.39,,,,,,,,,,,,
"Egypt, Arab Rep.",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            278.52,,,,,,,,,,,,
