Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,...,...,Development,GDP (current US$ Mil),        1404306.54,        1393040.18,        1355730.00,        1494510.00,        1431670.00,        1499070.00,        1634990.00,        1479340.00,        1264550.00,        1157280.00,        1069560.00,         906853.00,         705146.00,         625976.00,         595403.00,         633194.00,         617042.00,         588692.00,         640998.00,         612940.00,         529122.00,         523649.00,         629202.00,         575599.00,         535101.00,         413630.50,         375138.69
Spain,...,...,Export,No. Of Export partners,            223.00,            227.00,            221.00,            222.00,            223.00,            217.00,            224.00,            221.00,            219.00,            217.00,            219.00,            220.00,            215.00,            216.00,            208.00,            204.00,            200.00,            203.00,            196.00,            203.00,            197.00,            195.00,            192.00,            177.00,            183.00,            179.00,
Spain,...,...,Export,No. Of Export products,           4514.00,           4511.00,           4486.00,           4517.00,           4515.00,           4517.00,           4545.00,           4548.00,           4785.00,           4766.00,           4765.00,           4763.00,           4751.00,           4802.00,           4799.00,           4794.00,           4797.00,           4819.00,           4756.00,           4825.00,           4816.00,           4793.00,           4769.00,           4764.00,           4749.00,           4755.00,
Spain,...,...,Import,No. Of Import partners,            226.00,            226.00,            226.00,            229.00,            223.00,            218.00,            220.00,            221.00,            214.00,            216.00,            218.00,            215.00,            218.00,            216.00,            206.00,            200.00,            198.00,            197.00,            194.00,            200.00,            196.00,            194.00,            199.00,            179.00,            182.00,            181.00,
Spain,...,...,Import,No. Of Import products,           4563.00,           4562.00,           4516.00,           4558.00,           4557.00,           4559.00,           4562.00,           4565.00,           4824.00,           4822.00,           4818.00,           4826.00,           4826.00,           4888.00,           4904.00,           4921.00,           4929.00,           4917.00,           4908.00,           4971.00,           4977.00,           4970.00,           4953.00,           4960.00,           4956.00,           4952.00,
Spain,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,...,...,Development,Trade Balance (current US$ Mil),          33396.54,          47476.02,          21176.00,          -3658.00,         -18684.00,         -17245.00,         -83793.00,         -88627.00,         -74802.00,         -57859.00,         -41228.00,         -20102.00,         -14305.00,         -14708.00,         -17895.00,         -12306.00,          -3072.00,           1267.00,           -587.00,          -5925.00,          -4648.00,          -7359.60,         -21910.00,         -22095.30,         -21631.70,         -16771.19,          -7438.08
Spain,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          26227.84,          23059.56,          22671.31,          25932.84,          25005.97,          20123.25,          30279.43,          25382.67,          18050.44,          14557.16,          10613.25,,,,,,,,,,,,,,,,
Spain,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          49979.75,          49958.95,          46380.33,          53510.40,          45008.07,          43150.58,          50896.88,          47708.90,          40058.21,          36990.73,          35431.85,          29953.33,          23945.64,          22667.97,          22033.55,          21748.21,          21267.78,          19415.67,,          18401.47,          14746.50,          11539.69,          13003.30,          12032.88,          11565.87,           8715.44,
Spain,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          38490.08,          36209.39,          34213.53,          39334.04,          33872.08,          33672.48,          46502.46,          48041.72,          42106.01,          40840.99,          39610.47,          33582.59,          27251.31,          25956.86,          26144.78,          26454.99,          24716.17,          21846.18,,          19523.91,          16148.22,          13382.99,          15829.71,          14162.88,          12861.62,           9761.32,
