Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ethiopia(excludes Eritrea),...,...,Development,GDP (current US$ Mil),          54797.68,          47524.73,          43310.70,          31952.80,          29933.80,          32437.40,          27066.90,          19707.60,          15280.90,          12401.10,          10131.20,           8623.69,           7850.81,           8231.33,           8242.39,           7700.83,           7818.22,           8589.21,           8547.94,           7663.98,           6927.95,           8830.71,          10493.00,          13463.90,          12175.20,          11476.58,          10908.94
Ethiopia(excludes Eritrea),...,...,Export,No. Of Export partners,            144.00,            142.00,            146.00,            143.00,            137.00,            139.00,            139.00,            138.00,            112.00,            111.00,            111.00,             99.00,             82.00,             73.00,             64.00,             59.00,             64.00,             70.00,,             52.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Export,No. Of Export products,           1717.00,           1503.00,           1536.00,           1414.00,           1538.00,           1314.00,           1341.00,           1200.00,            503.00,            404.00,            515.00,            535.00,            495.00,            425.00,            163.00,            171.00,            146.00,            166.00,,            123.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Import,No. Of Import partners,            168.00,            166.00,            164.00,            169.00,            159.00,            161.00,            159.00,            169.00,            167.00,            169.00,            176.00,            161.00,            145.00,            135.00,            138.00,            142.00,            137.00,            137.00,,             97.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Import,No. Of Import products,           4080.00,           4094.00,           3900.00,           3839.00,           3833.00,           3784.00,           3834.00,           3874.00,           3939.00,           3859.00,           3691.00,           3693.00,           3448.00,           3513.00,           3360.00,           3291.00,           3272.00,           3010.00,,           3006.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Tariff,No. Of Tariff Agreement,,,              3.00,              3.00,              3.00,              3.00,              3.00,,              1.00,,,,              1.00,              1.00,,,,,,              1.00,,,,,,,
Ethiopia(excludes Eritrea),...,...,Development,Trade Balance (current US$ Mil),          -9734.89,          -7877.87,          -7736.78,          -4747.93,          -5664.46,          -5818.37,          -5265.64,          -3780.73,          -3442.69,          -2508.81,          -1676.72,          -1207.17,          -1090.42,           -958.93,           -976.93,           -967.73,           -617.77,           -577.68,           -596.47,           -459.15,           -479.81,           -755.40,           -458.83,           -682.96,           -397.01,           -448.99,           -615.75
Ethiopia(excludes Eritrea),China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            533.17,            329.05,            320.92,            283.44,            241.76,            243.13,,,            101.35,             90.44,,,,,,,,,,,,,,,,,
Ethiopia(excludes Eritrea),China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5808.43,           3244.70,           2572.36,           1718.11,           2062.08,           1920.40,           1750.43,           1138.77,            639.54,            516.95,            367.77,            313.70,            144.81,            134.76,             96.67,,,,,,,,,,,,
Ethiopia(excludes Eritrea),Djibouti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             99.41,             54.34,             71.36,             51.45,             49.16,             55.32,,,             38.52,,,,,,,
Ethiopia(excludes Eritrea),Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            178.37,            151.31,,,,,,,,,,,,,,,,,,,,,,
Ethiopia(excludes Eritrea),Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            261.80,            312.66,            318.81,            265.29,            128.85,            168.65,            123.48,            130.86,            121.53,             76.52,             57.56,             49.51,             23.06,             94.31,             76.87,            138.34,             94.12,,            122.74,,,,,,,
Ethiopia(excludes Eritrea),Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             93.18,             91.31,            108.69,,             87.38,,,,,,,
Ethiopia(excludes Eritrea),India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1198.46,           1312.12,            994.27,            749.33,            619.67,            638.91,            635.62,            429.11,            299.77,,            176.37,            175.52,,,             65.51,,             81.56,,,,,,,,,,
Ethiopia(excludes Eritrea),Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             83.00,,,             37.84,             31.72,             40.97,             42.57,             32.17,             30.07,             38.04,             46.12,,             36.45,,,,,,,
Ethiopia(excludes Eritrea),Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            578.00,,,            412.70,            501.11,            464.13,            399.69,            250.10,,            245.92,            140.54,            135.23,            111.50,            115.43,            114.43,            105.67,,            139.90,,,,,,,
Ethiopia(excludes Eritrea),Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             87.42,             66.61,             62.60,             43.72,             37.33,             37.21,             56.26,             57.92,             68.15,             60.72,,             54.76,,,,,,,
