Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
European Union,...,...,Export,No. Of Export partners,,            208.00,            205.00,            205.00,            206.00,            205.00,            205.00,            205.00,            205.00,            204.00,            204.00,            205.00,            204.00,            205.00,            190.00,,,,,,,,,,,,
European Union,...,...,Export,No. Of Export products,,           4581.00,           4580.00,           4609.00,           4609.00,           4611.00,           4610.00,           4610.00,           4872.00,           4871.00,           4871.00,           4873.00,           4871.00,           4943.00,           4941.00,,,,,,,,,,,,
European Union,...,...,Import,No. Of Import partners,,            208.00,            205.00,            205.00,            206.00,            205.00,            205.00,            205.00,            205.00,            204.00,            204.00,            205.00,            204.00,            205.00,            191.00,,,,,,,,,,,,
European Union,...,...,Import,No. Of Import products,,           4577.00,           4579.00,           4610.00,           4608.00,           4610.00,           4610.00,           4609.00,           4871.00,           4871.00,           4872.00,           4871.00,           4870.00,           4942.00,           4943.00,,,,,,,,,,,,
European Union,...,...,Tariff,No. Of Tariff Agreement,,             42.00,             44.00,             39.00,             39.00,             37.00,             42.00,             34.00,             35.00,             37.00,             35.00,             45.00,             44.00,              3.00,            101.00,,,,,,,,,,,,
European Union,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,         196827.91,         185040.44,         189785.80,         149968.68,         115078.24,         115594.37,          98581.46,          80063.40,          64261.78,          60171.48,          46953.72,          33180.58,          27443.56,,,,,,,,,,,,,
European Union,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,         371903.11,         374828.45,         410570.83,         374248.67,         300059.36,         364883.38,         320892.62,         245994.36,         199981.05,         160680.00,         120121.23,          85366.68,          73429.98,          68662.88,,,,,,,,,,,,
European Union,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,          54017.04,          46345.15,          41072.74,          40725.31,          41823.04,,,,,,,,,,,,
European Union,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,         108757.26,          98525.50,          92349.69,          93173.68,          81865.04,          69698.44,          72655.64,          84726.05,,,,,,,,,,,,
European Union,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,          24272.53,,,,,,,,,,,,
