Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Finland,...,...,Development,GDP (current US$ Mil),         270673.58,         268196.96,         256706.00,         273657.00,         247815.00,         251499.00,         283742.00,         255385.00,         216553.00,         204436.00,         196768.00,         171071.00,         139553.00,         129250.00,         125540.00,         135226.00,         133936.00,         126833.00,         132099.00,         134199.00,         103322.00,          89255.80,         112625.00,         127866.00,         141518.00,         119064.71,         109103.06
Finland,...,...,Export,No. Of Export partners,            216.00,            209.00,            213.00,            210.00,            208.00,            218.00,            211.00,            212.00,            208.00,            200.00,            204.00,            203.00,            215.00,            212.00,            208.00,            196.00,            193.00,            190.00,            191.00,            192.00,            189.00,            186.00,            179.00,            167.00,            169.00,            171.00,            166.00
Finland,...,...,Export,No. Of Export products,           3935.00,           3976.00,           3911.00,           3860.00,           3860.00,           3776.00,           3844.00,           3927.00,           4191.00,           4196.00,           4269.00,           4261.00,           4298.00,           4364.00,           4328.00,           4321.00,           4387.00,           4359.00,           4366.00,           4405.00,           4404.00,           4277.00,           4101.00,           3977.00,           3977.00,           3925.00,           3901.00
Finland,...,...,Import,No. Of Import partners,            201.00,            203.00,            209.00,            174.00,            207.00,            199.00,            201.00,            207.00,            198.00,            199.00,            179.00,            173.00,            192.00,            188.00,            183.00,            161.00,            171.00,            177.00,            170.00,            179.00,            164.00,            165.00,            156.00,            136.00,            146.00,            141.00,            135.00
Finland,...,...,Import,No. Of Import products,           4391.00,           4413.00,           4421.00,           4433.00,           4435.00,           4388.00,           4436.00,           4434.00,           4686.00,           4679.00,           4683.00,           4685.00,           4692.00,           4743.00,           4742.00,           4753.00,           4781.00,           4762.00,           4768.00,           4817.00,           4847.00,           4815.00,           4806.00,           4804.00,           4802.00,           4831.00,           4822.00
Finland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,              1.00,,              1.00
Finland,...,...,Development,Trade Balance (current US$ Mil),          -1122.42,          -2310.27,          -3704.00,          -2328.00,           3136.40,           5057.00,          10339.00,          12304.00,           9006.40,           7939.30,          12174.10,          11110.60,          12394.20,          11839.00,          11523.80,          12127.70,          10603.10,           9307.10,           9139.30,          10005.40,           5829.30,           4101.20,            953.00,          -1213.00,          -2190.90,          -2175.42,           -378.11
Finland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4933.88,           4857.72,           5882.45,           3035.97,           5014.63,           4841.91,           6414.91,           6079.30,           5144.50,           3491.94,           2444.43,,,,,,,,,,,,,,,,
Finland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           2285.73,           2137.86,,,,,,,           1561.68,           1318.11,           1595.89,,
Finland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           2324.39,           1991.58,,,,,,,,,,,,,,,
Finland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8640.99,           6896.71,           6408.62,           7410.03,           6576.54,           6491.01,           9692.07,           9806.28,           8187.57,           6800.77,           6269.27,           6027.68,           5123.51,           5331.36,           5553.32,           5284.26,           4980.10,           4416.46,,           5306.72,           3883.09,           2993.15,           3641.97,           3446.85,           3195.12,           2436.73,           2270.74
Finland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10083.71,           9536.19,           9101.81,          11446.77,           9040.35,           8914.93,          12881.71,          11399.06,           9607.84,           8710.67,           7397.71,           6130.43,           4826.85,           4798.59,           4812.98,           4823.18,           4907.71,           4497.64,,           4584.65,           3425.38,           2938.84,           3521.00,           3678.96,           4586.33,           4248.20,           3515.36
Finland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1794.96,           1546.56
Finland,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4343.02,           4471.80,           4455.43,           5223.95,           4604.52,           3689.76,,,,,,,,,,,,,,,,,,,,,
Finland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3896.91,           3622.31,           3182.33,           6404.05,           3682.23,           2778.71,           3818.91,,,,,,,,,,,,,,,,,,,,
Finland,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6060.57,           7022.69,           7217.94,           7321.42,           6158.81,           5618.89,          11255.83,           9203.06,           7718.01,           7070.63,           5321.52,           3861.58,           2891.99,           2540.08,,,           2541.63,           2951.20,,           1917.36,           1530.68,           1372.74,,,,,
Finland,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11442.21,          13929.32,          13415.95,          15271.50,          12188.00,           9797.60,          15024.90,          11520.40,           9747.88,           8124.90,           6593.41,           4914.96,           3369.16,           3160.96,           3165.37,           2258.73,           2092.03,           2264.31,,           2121.35,           1968.20,           1482.44,           1548.77,,,,
Finland,Soviet Union,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           3338.78,           3341.13,           3186.12
Finland,Soviet Union,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,           1851.54,           2562.83,           2726.95,           2399.30
