Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
France,...,...,Development,GDP (current US$ Mil),        2829192.04,        2810249.22,        2681420.00,        2862500.00,        2646990.00,        2693830.00,        2923470.00,        2663110.00,        2325010.00,        2203680.00,        2124110.00,        1848120.00,        1500340.00,        1382220.00,        1368440.00,        1500280.00,        1510760.00,        1460710.00,        1614250.00,        1609890.00,        1401640.00,        1330090.00,        1408720.00,        1275560.00,        1275300.00,        1030122.35,        1023504.02
France,...,...,Export,No. Of Export partners,            228.00,            230.00,            221.00,            224.00,            226.00,            226.00,            228.00,            227.00,            224.00,            223.00,            222.00,            222.00,            223.00,            222.00,            213.00,            209.00,            206.00,            208.00,            208.00,            209.00,            207.00,,,,,,
France,...,...,Export,No. Of Export products,           4380.00,           4375.00,           4383.00,           4399.00,           4410.00,           4412.00,           4426.00,           4436.00,           4674.00,           4684.00,           4680.00,           4670.00,           4683.00,           4745.00,           4749.00,           4756.00,           4770.00,           4774.00,           4791.00,           4843.00,           4843.00,,,,,,
France,...,...,Import,No. Of Import partners,            234.00,            235.00,            230.00,            230.00,            230.00,            231.00,            230.00,            231.00,            226.00,            222.00,            227.00,            227.00,            223.00,            226.00,            214.00,            207.00,            205.00,            203.00,            203.00,            204.00,            202.00,,,,,,
France,...,...,Import,No. Of Import products,           4566.00,           4571.00,           4574.00,           4600.00,           4600.00,           4602.00,           4603.00,           4600.00,           4860.00,           4864.00,           4861.00,           4861.00,           4864.00,           4936.00,           4935.00,           4944.00,           4941.00,           4942.00,           4950.00,           5022.00,           5024.00,,,,,,
France,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,...,...,Development,Trade Balance (current US$ Mil),         -52059.71,         -52234.64,         -57831.00,         -73337.00,         -49816.00,         -38376.00,         -51201.00,         -34378.00,         -19426.00,          -9131.00,          13195.00,          20140.00,          24966.00,          17577.00,          14882.00,          33107.00,          39066.00,          42419.00,          27577.00,          24789.00,          20305.00,          21931.00,           9033.00,          -4211.00,         -10219.00,          -7306.19,          -6995.93
France,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          41272.87,          43628.18,          40758.25,          41857.92,          38471.54,          35348.72,          45317.97,          40593.52,          35250.56,          32740.01,          31713.37,          27477.42,,,,,,,,,,,,,,,
France,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          52914.03,          52709.19,          50091.92,          54401.75,          46993.29,          44696.19,          59139.86,          50697.12,          44144.97,          38438.92,          31585.02,          25225.58,,,,,,,,,,,,,,,
France,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,          23279.74,          22759.63,,          24258.14,          20431.04,,,,,,
