Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
United Kingdom,...,...,Development,GDP (current US$ Mil),        2941885.54,        2678173.49,        2614950.00,        2592020.00,        2407860.00,        2309000.00,        2791680.00,        2963100.00,        2582750.00,        2412110.00,        2298040.00,        1943710.00,        1674420.00,        1529090.00,        1548660.00,        1558320.00,        1529140.00,        1438740.00,        1304510.00,        1235570.00,        1140490.00,        1061390.00,        1179660.00,        1142800.00,        1093170.00,         926884.82,         910122.73
United Kingdom,...,...,Export,No. Of Export partners,            230.00,            230.00,            224.00,            228.00,            229.00,            229.00,            229.00,            227.00,            228.00,            226.00,            226.00,            227.00,            229.00,            228.00,            217.00,            211.00,            209.00,            209.00,            211.00,            215.00,            213.00,            211.00,,,,,
United Kingdom,...,...,Export,No. Of Export products,           4501.00,           4501.00,           4504.00,           4524.00,           4530.00,           4417.00,           4524.00,           4626.00,           4772.00,           4763.00,           4754.00,           4741.00,           4754.00,           4816.00,           4786.00,           4833.00,           4840.00,           4847.00,           4837.00,           4901.00,           4901.00,           4899.00,,,,,
United Kingdom,...,...,Import,No. Of Import partners,            225.00,            227.00,            224.00,            222.00,            227.00,            224.00,            222.00,            223.00,            224.00,            224.00,            222.00,            218.00,            219.00,            220.00,            217.00,            208.00,            202.00,            207.00,            205.00,            209.00,            204.00,            206.00,,,,,
United Kingdom,...,...,Import,No. Of Import products,           4533.00,           4529.00,           4523.00,           4551.00,           4550.00,           4455.00,           4555.00,           4691.00,           4828.00,           4819.00,           4821.00,           4819.00,           4810.00,           4884.00,           4876.00,           4918.00,           4926.00,           4932.00,           4923.00,           4985.00,           4988.00,           4985.00,,,,,
United Kingdom,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,...,...,Development,Trade Balance (current US$ Mil),         -53606.08,         -52735.78,         -54449.00,         -38175.00,         -57259.00,         -43800.00,         -82539.00,         -81421.00,         -61121.00,         -62987.00,         -64785.00,         -44464.00,         -45023.00,         -35839.00,         -30470.00,         -24592.00,         -11202.00,           7844.00,           3920.00,           5065.00,           1165.00,          -2494.00,          -6939.00,          -2976.00,         -18512.00,         -31952.55,         -28017.25
United Kingdom,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,          10224.33,,,,,,
United Kingdom,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          64147.26,          57587.86,          56267.40,          66039.71,          61733.67,          52101.30,          58220.70,          53227.61,          41828.38,          36153.93,          30097.20,          23495.43,          19346.00,,,,,,,,,,,,,,
United Kingdom,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          32473.03,          35028.47,          34477.02,          37636.12,          31649.50,          29003.20,          35571.70,          37085.68,          54587.60,          36467.38,          34662.51,          30905.21,          28342.98,          27630.95,          28475.98,          24847.47,          26418.44,          26285.85,,          21678.67,          18719.52,          14932.97,,,,,
United Kingdom,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          43519.52,          40823.51,          37745.97,          39439.26,          37227.45,          33934.95,          45021.99,          45330.93,          44720.57,          38823.13,          37904.20,          33949.32,          29674.67,          28031.29,          27973.85,          27520.79,          28465.35,          28331.03,,          24146.00,          21557.33,          17235.71,,,,,
United Kingdom,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          52020.65,          48040.60,          52046.68,          54137.87,          44671.05,          39446.09,          53919.20,          50684.44,          51279.14,          41794.21,          40234.41,          33577.57,          32876.55,          34086.82,          34788.51,          29636.01,          32961.28,          32585.75,,          28935.37,          23707.85,          19767.57,,,,,
