Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Georgia,...,...,Development,GDP (current US$ Mil),          16529.96,          16140.05,          15846.50,          14434.60,          11638.50,          10766.80,          12795.00,          10172.90,           7745.41,           6410.94,           5125.27,           3991.37,           3395.78,           3219.49,           3057.45,           2800.02,           3613.50,           3510.54,           3094.92,           2693.73,           2513.87,           2701.18,           3690.33,           6357.62,           7772.02,,
Georgia,...,...,Export,No. Of Export partners,            120.00,            111.00,            112.00,            106.00,            105.00,            103.00,             93.00,             96.00,            101.00,             93.00,             80.00,             84.00,             87.00,             81.00,             86.00,             68.00,             65.00,             59.00,             50.00,,,,,,,,
Georgia,...,...,Export,No. Of Export products,           2110.00,           2034.00,           1934.00,           1827.00,           1723.00,           1659.00,           1676.00,           1620.00,           1624.00,           1432.00,           1316.00,           1206.00,           1166.00,           1146.00,           1195.00,           1219.00,           1018.00,            932.00,            863.00,,,,,,,,
Georgia,...,...,Import,No. Of Import partners,            126.00,            120.00,            125.00,            132.00,            127.00,            120.00,            122.00,            113.00,            116.00,            117.00,            116.00,            110.00,            110.00,            103.00,             92.00,             94.00,             98.00,             89.00,             75.00,,,,,,,,
Georgia,...,...,Import,No. Of Import products,           3885.00,           3823.00,           3789.00,           3794.00,           3774.00,           3715.00,           3914.00,           3966.00,           3906.00,           3692.00,           3589.00,           3237.00,           3098.00,           3049.00,           3030.00,           2964.00,           2628.00,           2386.00,           2070.00,,,,,,,,
Georgia,...,...,Tariff,No. Of Tariff Agreement,,              3.00,             13.00,             13.00,             13.00,             13.00,             12.00,             11.00,             13.00,              1.00,              1.00,              1.00,              1.00,              2.00,,              4.00,,,,,,,,,,,
Georgia,...,...,Development,Trade Balance (current US$ Mil),          -2893.51,          -2090.48,          -3113.49,          -2674.97,          -2073.21,          -2066.65,          -3810.82,          -2720.72,          -1870.60,          -1142.39,           -852.15,           -582.12,           -447.24,           -463.84,           -509.76,           -533.15,           -746.15,           -931.43,           -589.40,           -453.22,          -1291.08,           -671.55,          -1130.35,           -231.78,           -414.51,,
Georgia,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            288.24,            315.41,            258.28,            223.04,            160.23,             88.88,            124.78,            110.78,             73.52,,             54.33,             30.68,,,             13.55,             15.00,             17.83,             18.94,,,,,,,,,
Georgia,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            544.42,            709.90,            626.85,            425.91,            243.99,            165.63,            205.22,            137.29,             88.25,             83.26,,,             29.21,,             20.27,             19.18,             18.47,             25.10,,,,,,,,,
Georgia,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            637.59,            652.91,            690.88,            610.80,            464.22,            376.43,            607.64,            381.94,            318.49,            233.34,            155.82,             93.71,             80.29,             73.21,             56.06,             41.48,             73.52,            115.80,,,,,,,,,
Georgia,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             42.84,,,,,,,,,,,,,,,,,
Georgia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            117.22,            131.80,,,,,,,,,,,,,,,,,,,,
Georgia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            732.98,            611.46,            611.28,            524.81,            333.70,,,,,,,,,,,,,,,,,,,,,,
Georgia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             34.00,             24.53,             13.24,,,,,,,,,,
Georgia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            542.21,            480.20,            329.18,            297.66,            432.82,            386.14,            350.77,            206.49,            150.84,,             59.60,             75.80,             54.86,             44.09,             82.13,,,,,,,,,,
Georgia,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            156.87,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            274.96,            190.70,,,,,,,             75.57,            153.72,            104.53,             83.93,             61.10,             74.01,             67.22,             44.61,             55.23,             68.69,,,,,,,,,
Georgia,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            577.71,            587.76,,,,,            424.65,            575.28,            557.60,            382.63,            254.89,            160.63,            121.73,             92.78,             92.78,            115.63,            127.14,            124.51,,,,,,,,,
Georgia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             33.25,,             16.33,,,,             13.92,,,,,,,,,
Georgia,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            239.31,            182.86,            143.04,            227.58,            216.03,            225.77,            262.90,            171.69,            123.30,            121.83,            118.61,             82.55,             53.74,             69.86,             72.84,             37.72,             20.29,             39.42,,,,,,,,,
Georgia,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1727.42,           1408.94,           1469.69,           1279.80,            883.58,            694.34,            916.17,            708.37,            519.37,            282.26,            201.37,            111.62,             89.22,            106.91,            111.09,             73.20,             98.39,            116.72,,,,,,,,,
Georgia,Turkmenistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             71.81,             75.83,            113.44,             54.91,             36.73,             28.88,,,,,,,,,,,,,
Georgia,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            192.76,            167.02,,            103.33,             83.95,            134.16,             94.17,,,,,,,,,,,,,,,,,,,
Georgia,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            546.14,            602.70,            597.55,            705.58,            557.61,            415.69,            654.84,            469.73,            301.89,            200.50,,,,,,,,             55.67,,,,,,,,,
Georgia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             31.67,,             32.77,             22.87,,,,,,,,,,,,,
Georgia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            158.40,            123.74,,,,,,,,,,,,,,,
Georgia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            207.58,,            226.17,            143.47,            180.50,,,            149.04,,,,,,,,,,,,,,,,,,,
Georgia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             90.65,             68.52,             63.97,             69.56,             71.78,             75.85,             70.35,,,,,,,,,
Georgia,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            303.88,,,,,,,,,,,,,,,,,,,,,
Georgia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        6616820.22,        7265131.01,        5763020.74,        4847693.55,        3878560.79,        5720469.38,        4713021.94,        2038312.61,         615909.32,          38939.98,          24549.64,          21619.49,          15172.33,,              0.00,,,,,,,,,,,
Georgia,World,Animal,Export,Export(US$ Mil),             61.43,             22.16,             23.68,             18.74,             33.68,             40.12,              9.24,              5.14,              2.41,              4.17,              5.48,              0.98,              2.99,              0.57,              0.48,              1.39,              1.26,              0.85,              0.83,,,,,,,,
Georgia,World,Capital goods,Export,Export(US$ Mil),            135.92,            176.95,            137.94,             96.73,             81.44,             67.97,             72.33,             75.91,            105.04,            116.99,            114.36,             45.70,             54.72,             55.73,             34.02,             38.24,             11.93,             14.76,             10.55,,,,,,,,
Georgia,World,Chemicals,Export,Export(US$ Mil),            290.84,            258.68,            260.71,            228.46,            125.82,            104.43,            157.22,            117.87,             77.74,             58.51,             44.22,             27.94,             22.71,             16.88,             32.17,             17.64,             22.81,             24.84,             19.90,,,,,,,,
Georgia,World,Consumer goods,Export,Export(US$ Mil),           1307.77,           1320.97,           1041.57,            801.34,            488.80,            305.03,            372.96,            334.57,            254.41,            269.04,            181.39,            153.18,             97.78,             85.35,             83.61,             61.83,             70.77,             86.52,             74.45,,,,,,,,
Georgia,World,Food Products,Export,Export(US$ Mil),            501.15,            400.60,            263.92,            214.67,            169.07,            148.95,            175.62,            196.10,            151.49,            204.55,            143.38,            129.31,             78.42,             60.70,             57.53,             30.73,             37.59,             47.77,             21.61,,,,,,,,
Georgia,World,Footwear,Export,Export(US$ Mil),              4.19,              3.08,              0.52,              0.40,              0.21,              1.23,              1.17,              0.82,              0.35,              0.14,              0.13,              0.14,              0.03,              0.71,              1.52,              1.50,              0.74,              0.47,              0.63,,,,,,,,
Georgia,World,Fuels,Export,Export(US$ Mil),             77.24,             70.99,             50.34,             72.50,             69.68,             44.52,             44.18,             45.90,             29.45,             27.98,             22.80,             23.31,             18.86,             28.99,             26.26,             23.12,             21.48,             40.31,             37.45,,,,,,,,
Georgia,World,Hides and Skins,Export,Export(US$ Mil),              7.43,              7.05,              5.25,              4.86,              3.81,              2.22,              2.75,              3.64,              2.48,              1.68,              1.70,              1.71,              1.74,              2.09,              2.32,              0.76,              0.94,              1.51,              1.77,,,,,,,,
Georgia,World,Intermediate goods,Export,Export(US$ Mil),            762.71,            781.55,            727.48,            752.19,            588.49,            432.10,            656.05,            450.61,            263.21,            217.53,            134.21,            103.68,             97.30,             67.74,             70.18,             64.23,             65.88,             90.58,             68.50,,,,,,,,
Georgia,World,Mach and Elec,Export,Export(US$ Mil),             71.46,             77.40,             68.00,             47.98,             32.58,             29.18,             29.90,             44.05,             38.06,             34.78,             22.04,             12.22,              9.62,             15.75,             23.35,             12.83,              9.02,             11.68,              7.72,,,,,,,,
Georgia,World,Metals,Export,Export(US$ Mil),            482.09,            461.16,            454.80,            527.23,            484.94,            232.11,            475.60,            332.03,            217.87,            195.42,            167.29,            113.63,             70.34,             80.54,             80.81,             55.98,             38.51,             49.60,             29.87,,,,,,,,
Georgia,World,Minerals,Export,Export(US$ Mil),            267.73,            199.20,             93.13,            116.73,             88.85,             91.02,            204.78,            144.90,            111.52,             56.85,             45.25,             32.77,             19.68,             24.44,             31.14,             15.82,             10.25,             11.26,             14.69,,,,,,,,
Georgia,World,Miscellaneous,Export,Export(US$ Mil),             29.08,             95.84,            119.44,             69.81,             15.32,             14.59,              9.90,             11.17,              9.35,              6.97,              2.97,              1.40,              3.09,              1.81,              3.18,              5.17,              1.41,              0.54,              1.04,,,,,,,,
Georgia,World,Plastic or Rubber,Export,Export(US$ Mil),             35.59,             24.87,             13.00,              4.61,              2.44,              1.87,              2.26,              2.56,              2.47,              0.65,              2.09,              1.34,              1.44,              1.07,              1.43,              1.08,              0.87,              1.41,              2.16,,,,,,,,
Georgia,World,Raw materials,Export,Export(US$ Mil),            640.99,            554.67,            371.50,            486.01,            419.72,            323.28,            392.07,            366.67,            311.62,            260.61,            216.18,            158.20,             94.81,            108.57,            133.11,             73.10,             43.41,             47.02,             44.63,,,,,,,,
Georgia,World,Stone and Glass,Export,Export(US$ Mil),             63.00,            100.15,            105.53,            126.24,             97.64,            122.45,            108.55,             79.99,             56.71,             40.52,             22.64,             22.73,             29.60,             15.35,              3.08,              1.19,              1.61,              3.30,              1.50,,,,,,,,
Georgia,World,Textiles and Clothing,Export,Export(US$ Mil),             90.97,             62.35,             45.31,             27.71,             29.09,             25.27,             21.30,             16.32,             11.99,              8.96,              2.29,              3.45,              1.76,              1.39,              1.41,              1.62,              2.68,              3.70,              5.70,,,,,,,,
Georgia,World,Transportation,Export,Export(US$ Mil),            588.36,            807.73,            667.67,            546.55,            300.58,            122.41,            163.51,            108.98,            121.23,            111.90,             97.96,             44.84,             56.77,             40.43,             15.32,             28.97,              5.57,              5.83,              3.52,,,,,,,,
Georgia,World,Vegetable,Export,Export(US$ Mil),            263.36,            286.14,            168.04,            156.72,            110.98,            127.41,             65.65,             97.37,             81.00,             95.18,             53.49,             34.38,             23.16,             22.37,             34.61,             34.10,             31.03,             30.75,             37.55,,,,,,,,
Georgia,World,Wood,Export,Export(US$ Mil),             27.27,             31.03,             36.04,             25.92,             18.66,             25.87,             25.84,             25.52,             21.03,             17.19,             13.17,             11.26,              5.73,              4.54,              8.14,              6.27,              6.55,              5.96,             12.84,,,,,,,,
Georgia,World,All Products,Export,Exports (in US$ Mil),           2861.19,           2908.44,           2375.38,           2189.12,           1583.34,           1133.62,           1497.48,           1232.36,            935.14,            865.45,            646.90,            461.41,            345.93,            317.64,            322.75,            238.17,            192.32,            239.79,            198.77,,,,,,,,
Georgia,World,Capital goods,Import,Import(US$ Mil),           1587.82,           1428.89,           1638.83,           1381.50,            872.65,            728.99,           1227.48,           1009.37,            742.76,            547.18,            379.04,            257.95,            179.42,            184.80,            165.82,            129.76,            210.93,            113.10,             62.42,,,,,,,,
Georgia,World,Consumer goods,Import,Import(US$ Mil),           4771.45,           4434.01,           4297.62,           3831.53,           2879.67,           2347.94,           3270.88,           2694.01,           2040.06,           1324.31,            909.30,            533.87,            418.83,            387.02,            355.90,            339.25,            422.20,            534.31,            391.99,,,,,,,,
Georgia,World,Intermediate goods,Import,Import(US$ Mil),           1266.15,           1133.83,           1192.12,           1053.41,            793.68,            603.91,           1024.73,            805.51,            520.74,            421.63,            375.40,            269.79,            128.89,            122.25,            111.02,             80.10,            166.90,            190.48,            135.54,,,,,,,,
Georgia,World,Raw materials,Import,Import(US$ Mil),            807.31,            694.45,            553.32,            361.24,            477.55,            327.63,            429.20,            362.27,            234.47,            120.94,            129.77,             67.63,             59.41,             51.83,             66.73,             47.82,             70.59,             94.87,             91.46,,,,,,,,
Georgia,World,All Products,Import,Imports (in US$ Mil),           8596.28,           8025.24,           8046.97,           7064.63,           5095.25,           4365.70,           6055.67,           5214.13,           3674.47,           2489.95,           1845.55,           1141.16,            795.54,            753.23,            709.38,            603.13,            880.38,            941.72,            686.78,,,,,,,,
Georgia,...,...,Development,"GNI per capita, Atlas method (current US$)",   3720.00,   3560.00,   3290.00,   2850.00,   2680.00,   2550.00,   2460.00,   2090.00,   1680.00,   1360.00,   1100.00,    910.00,    770.00,    720.00,    750.00,    780.00,    820.00,    790.00,    650.00,    540.00,    510.00,    540.00,    750.00,,,,
Georgia,...,...,Trade Indicator,HH Market concentration index,      0.07,      0.05,      0.05,      0.05,      0.05,      0.06,      0.08,      0.06,      0.06,      0.09,      0.10,      0.11,      0.09,      0.10,      0.10,      0.09,      0.12,      0.17,      0.15,,,,,,,,
Georgia,...,...,Trade Indicator,Index of export market penetration,      2.47,      2.55,      2.39,      2.27,      2.19,      2.10,      2.12,      2.06,      1.95,      1.87,      1.80,      1.75,      1.73,      1.74,      1.76,      1.69,      1.65,      1.59,      1.55,,,,,,,,
Georgia,...,...,Development,Trade (% of GDP),    103.28,    102.33,     95.95,     91.02,     87.72,     78.67,     87.02,     89.16,     89.88,     85.32,     79.74,     78.26,     71.63,     63.33,     62.66,     57.15,     53.57,     57.75,     45.70,     67.83,    166.90,    118.64,    101.94,     58.85,     85.33,     87.50,     88.44
Georgia,...,...,Development,Trade Balance (% of GDP),    -17.50,    -12.95,    -19.65,    -18.53,    -17.81,    -19.19,    -29.78,    -26.74,    -24.15,    -17.82,    -16.63,    -14.58,    -13.17,    -14.41,    -16.67,    -19.04,    -20.65,    -26.53,    -19.04,    -16.82,    -51.36,    -24.86,    -30.63,     -3.65,     -5.33,     -2.78,     -4.08
Georgia,...,...,Development,Trade in services (% of GDP),     28.59,     28.16,     25.30,     22.75,     23.49,     21.43,     19.67,     20.07,     21.26,     21.43,,,,,,,,,,,,,,,,,
Georgia,Armenia,All Products,Export,Partner share(%)-Top 5 Export Partner,     10.07,     10.84,     10.87,     10.19,     10.12,      7.84,      8.33,      8.99,      7.86,,      8.40,      6.65,,,      4.20,      6.30,      9.27,      7.90,,,,,,,,,
Georgia,Azerbaijan,All Products,Export,Partner share(%)-Top 5 Export Partner,     19.03,     24.41,     26.39,     19.46,     15.41,     14.61,     13.70,     11.14,      9.44,      9.62,,,      8.44,,      6.28,      8.05,      9.60,     10.47,,,,,,,,,
Georgia,Azerbaijan,All Products,Import,Partner share(%)-Top 5 Import Partner,      7.42,      8.14,      8.59,      8.65,      9.11,      8.62,     10.03,      7.33,      8.67,      9.37,      8.44,      8.21,     10.09,      9.72,      7.90,      6.88,      8.35,     12.30,,,,,,,,,
Georgia,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      4.95,,,,,,,,,,,,,,,,,
Georgia,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,     10.34,      8.80,,,,,,,,,,,,,,,,,,,,
Georgia,China,All Products,Import,Partner share(%)-Top 5 Import Partner,      8.53,      7.62,      7.60,      7.43,      6.55,,,,,,,,,,,,,,,,,,,,,,
Georgia,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,     10.53,     10.30,      6.88,,,,,,,,,,
Georgia,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,      6.74,      6.80,      6.46,      6.82,      7.15,      7.41,      9.55,      8.29,      8.17,,      7.49,     10.06,      7.73,      7.31,      9.33,,,,,,,,,,
Georgia,Kazakhstan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      7.17,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.61,      6.56,,,,,,,      8.08,     17.76,     16.16,     18.19,     17.66,     23.30,     20.83,     18.73,     28.72,     28.65,,,,,,,,,
Georgia,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.72,      7.32,,,,,      7.01,     11.03,     15.18,     15.37,     13.81,     14.08,     15.30,     12.32,     13.08,     19.17,     14.44,     13.22,,,,,,,,,
Georgia,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,      7.21,,      5.14,,,,      5.81,,,,,,,,,
Georgia,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,      8.36,      6.29,      6.02,     10.40,     13.64,     19.92,     17.56,     13.93,     13.19,     14.08,     18.33,     17.89,     15.53,     21.99,     22.57,     15.84,     10.55,     16.44,,,,,,,,,
Georgia,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,     20.09,     17.56,     18.26,     18.12,     17.34,     15.90,     15.13,     13.59,     14.13,     11.34,     10.91,      9.78,     11.21,     14.19,     15.66,     12.14,     11.18,     12.39,,,,,,,,,
