Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ghana,...,...,Development,GDP (current US$ Mil),          38648.15,          48584.74,          41939.70,          39566.30,          32174.80,          25977.80,          28526.90,          24758.80,          20409.30,          10731.90,           8881.42,           7632.72,           6166.20,           5314.87,           4982.85,           7718.11,           7482.07,           6891.43,           6932.98,           6464.39,           5446.37,           5968.91,           6416.08,           6603.13,           5889.18,           5251.77,           5197.84
Ghana,...,...,Export,No. Of Export partners,,            145.00,            141.00,            152.00,            115.00,            127.00,            144.00,            134.00,            127.00,            148.00,            140.00,            130.00,,            112.00,            117.00,            108.00,            105.00,            107.00,            109.00,,,,,,,,
Ghana,...,...,Export,No. Of Export products,,           2282.00,           1938.00,           1844.00,           1474.00,           1415.00,           1523.00,           1434.00,           1203.00,           1268.00,              1.00,           1406.00,,           1197.00,           1199.00,           1123.00,           1225.00,           1134.00,           1247.00,,,,,,,,
Ghana,...,...,Import,No. Of Import partners,,            171.00,            167.00,            171.00,            153.00,            161.00,            165.00,            165.00,            161.00,            155.00,            171.00,            157.00,            142.00,            141.00,            130.00,            162.00,            155.00,            162.00,            158.00,,,,,,,,
Ghana,...,...,Import,No. Of Import products,,           4078.00,           4105.00,           4079.00,           3986.00,           4154.00,           4219.00,           4232.00,           4220.00,           4195.00,              1.00,           4181.00,           3922.00,           3986.00,           3981.00,           3949.00,           3868.00,           3801.00,           3672.00,,,,,,,,
Ghana,...,...,Tariff,No. Of Tariff Agreement,,              2.00,,,              1.00,              2.00,              2.00,              2.00,,,              1.00,              1.00,              1.00,              2.00,              1.00,,,,,,,,,,,,
Ghana,...,...,Development,Trade Balance (current US$ Mil),          -3725.74,          -6291.95,          -5186.00,          -4908.80,          -5284.53,          -3380.00,          -5549.97,          -4036.68,          -3171.09,          -2712.27,          -1870.76,          -1215.82,           -755.78,          -1040.64,           -919.04,          -1354.41,           -961.96,          -1418.35,           -553.29,           -544.96,           -626.54,           -964.65,           -740.52,           -565.32,           -528.40,           -399.17,           -305.57
Ghana,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            212.72,            130.50,            113.87,,,,,,,,,,,,,,,
Ghana,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            918.05,            927.43,            809.30,            445.57,            341.92,            455.11,            431.02,            300.93,            283.84,            251.60,,            143.18,,,,,,,,,,,,,,
Ghana,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            207.62,,            163.06,            456.02,,,,,,,             62.30,,,,,,,,,,,
