Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Guinea,...,...,Development,GDP (current US$ Mil),           6624.07,           6231.73,           5667.23,           5067.36,           4735.96,           4609.92,           4515.82,           4134.17,           2931.63,           2937.07,           3666.35,           3446.44,           2949.64,           2833.44,           2995.36,           3461.28,           3588.38,           3783.79,           3869.03,           3693.75,           3383.22,           3279.06,           3284.63,           3014.89,           2666.62,           2432.03,           2384.30
Guinea,...,...,Export,No. Of Export partners,,,,,,,             74.00,             74.00,             73.00,             72.00,             67.00,,             65.00,             77.00,             64.00,             51.00,             62.00,             71.00,             73.00,             67.00,,,,,,,
Guinea,...,...,Export,No. Of Export products,,,,,,,            278.00,            256.00,            209.00,            223.00,            211.00,,            160.00,            374.00,            255.00,            145.00,            243.00,            361.00,            346.00,            419.00,,,,,,,
Guinea,...,...,Import,No. Of Import partners,,,,,,,            133.00,            136.00,            129.00,            120.00,            124.00,,            122.00,            115.00,            123.00,            113.00,            106.00,            120.00,            116.00,            122.00,,,,,,,
Guinea,...,...,Import,No. Of Import products,,,,,,,           2606.00,           2583.00,           2379.00,           2403.00,           2288.00,,           2269.00,           2455.00,           2572.00,           2493.00,           2568.00,           2671.00,           2515.00,           2688.00,,,,,,,
Guinea,...,...,Tariff,No. Of Tariff Agreement,,,,,,,              1.00,,,              1.00,              1.00,,,,,,              1.00,,,,,,,,,,
Guinea,...,...,Development,Trade Balance (current US$ Mil),          -1679.39,          -1629.62,          -1827.93,           -905.44,           -387.27,           -196.18,           -232.29,           -316.41,            -59.42,             -9.56,            -43.64,             26.58,            -73.52,            -40.79,           -132.81,           -152.09,           -202.29,           -124.60,           -199.25,           -125.83,           -105.22,            -51.33,            -39.37,             -7.68,            -63.11,             31.80,           -100.19
Guinea,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             84.28,,,,,,,,,,,,,,,,,
Guinea,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             95.57,            197.43,             78.06,             75.56,             75.24,,             42.59,             78.89,             47.31,             42.22,,,,,,,,,,,
Guinea,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             71.34,             50.76,,             69.07,,,,,,,
Guinea,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             57.93,,,,,,,
Guinea,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            123.37,             74.70,             80.13,,             73.54,,             43.73,             32.40,,             33.25,             39.33,,,,,,,,,,
Guinea,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            169.30,            236.52,            177.14,,             96.87,             76.38,            130.87,             41.97,             43.27,             47.09,,             87.55,,,,,,,
Guinea,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            349.85,            187.03,,            114.72,,,            127.94,            149.70,            172.61,             99.14,             91.41,             84.61,,             53.08,,,,,,,
Guinea,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            185.43,            108.96,            110.72,             96.84,            103.25,,            107.65,            104.72,            121.16,            118.70,            120.75,            137.86,,            169.22,,,,,,,
Guinea,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             61.90,,             56.61,,             42.11,,             32.10,,,,,,,,,,,,
Guinea,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             83.10,,,,,,,,,,,,,,,,,,
Guinea,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            106.28,            196.10,             69.71,             82.99,             85.91,,             53.45,             65.14,             47.46,            161.89,             88.23,             63.64,,             82.43,,,,,,,
