Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Greece,...,...,Development,GDP (current US$ Mil),         237592.27,         242230.73,         249525.00,         288785.00,         299615.00,         329857.00,         354616.00,         318685.00,         273279.00,         247672.00,         239649.00,         201547.00,         152714.00,         136006.00,         130580.00,         142998.00,         144918.00,         143311.00,         146558.00,         137383.00,         117032.00,         109210.00,         116653.00,         105531.00,          98251.90,          79460.97,          76542.40
Greece,...,...,Export,No. Of Export partners,            208.00,            200.00,            195.00,            201.00,            203.00,            201.00,            201.00,            200.00,            202.00,            201.00,            198.00,            197.00,            200.00,            205.00,            204.00,            200.00,            197.00,            192.00,            192.00,            190.00,            191.00,            187.00,            171.00,,            157.00,            159.00,            152.00
Greece,...,...,Export,No. Of Export products,           3954.00,           3962.00,           3952.00,           3978.00,           3977.00,           3981.00,           3985.00,           3959.00,           4035.00,           3987.00,           3969.00,           3890.00,           3879.00,           3930.00,           3908.00,           3967.00,           3955.00,           3921.00,           3852.00,           3774.00,           3673.00,           3597.00,           3434.00,,           3212.00,           3195.00,           2943.00
Greece,...,...,Import,No. Of Import partners,            179.00,            179.00,            171.00,            180.00,            182.00,            188.00,            185.00,            185.00,            183.00,            184.00,            182.00,            181.00,            188.00,            176.00,            189.00,            189.00,            171.00,            171.00,            175.00,            167.00,            166.00,            164.00,            159.00,,            150.00,            148.00,            155.00
Greece,...,...,Import,No. Of Import products,           4433.00,           4434.00,           4433.00,           4466.00,           4463.00,           4483.00,           4520.00,           4511.00,           4729.00,           4708.00,           4717.00,           4702.00,           4674.00,           4751.00,           4772.00,           4816.00,           4801.00,           4779.00,           4804.00,           4827.00,           4824.00,           4783.00,           4676.00,,           4700.00,           4690.00,           4634.00
Greece,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,...,...,Development,Trade Balance (current US$ Mil),          -5638.75,          -7180.82,         -11188.40,         -19780.70,         -25696.00,         -34168.20,         -46042.60,         -39596.00,         -28837.50,         -20380.10,         -21363.00,         -21718.40,         -15723.20,         -14532.00,         -14349.30,         -13099.70,         -13610.10,         -10084.60,         -13254.00,         -11422.00,          -8577.40,          -9812.60,         -10642.30,         -10814.90,         -10442.40,          -7115.82,          -5395.63
Greece,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1785.45,           1852.44,           1944.93,           1782.40,           1448.67,           1447.67,           2017.09,           1521.30,           1323.72,           1014.02,            967.04,            833.08,            553.23,            569.69,,,,,,            446.97,,,,,,,
Greece,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2007.38,           2155.78,           2162.98,,,,,,,,,,,,,,,,,,,,,,,,
Greece,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3313.76,           2914.17,           2944.65,,           3797.41,           4242.97,           4865.08,           3830.29,,,,,,,,,,,,,,,,,,,
