Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Greenland,...,...,Development,GDP (current US$ Mil),,,,,,           1267.71,           1739.58,           2121.76,           1738.43,           1702.54,           1644.95,           1426.45,           1169.14,           1086.17,           1068.02,           1131.56,           1149.86,           1072.15,           1197.52,           1208.95,           1005.89,            927.21,           1037.92,           1016.50,           1018.98,            929.80,            898.61
Greenland,...,...,Export,No. Of Export partners,             11.00,             18.00,              9.00,             10.00,             13.00,             15.00,             16.00,             16.00,             16.00,             18.00,             20.00,             12.00,             18.00,             18.00,             12.00,             15.00,             14.00,             14.00,             13.00,             10.00,             11.00,,,,,,
Greenland,...,...,Export,No. Of Export products,            249.00,            261.00,            260.00,            311.00,            311.00,            319.00,            330.00,            365.00,            359.00,            318.00,            310.00,            333.00,            368.00,            335.00,            294.00,            293.00,            293.00,            326.00,            334.00,            354.00,            347.00,,,,,,
Greenland,...,...,Import,No. Of Import partners,            123.00,            123.00,            125.00,            130.00,            130.00,            133.00,            124.00,             83.00,            132.00,             23.00,             34.00,            129.00,             30.00,             23.00,             27.00,            101.00,             96.00,             93.00,             97.00,             91.00,             93.00,,,,,,
Greenland,...,...,Import,No. Of Import products,           2819.00,           2889.00,           2919.00,           2904.00,           2920.00,           2840.00,           2895.00,           2953.00,           3090.00,           3007.00,           3055.00,           3026.00,           2886.00,           2691.00,           2652.00,           2610.00,           2624.00,           2592.00,           2567.00,           2588.00,           2600.00,,,,,,
Greenland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             13.94,             29.77,             42.84,,,,,,,,,,,,,,,,,,,
Greenland,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,              6.60,,              9.38,              8.50,,              1.51,              2.27,              1.27,,              9.72,,,,,,,,,,
Greenland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             18.02,             22.40,             24.28,             22.97,,             17.43,,,,,,,,,,,,,,,,,,,,,
Greenland,Cyprus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,              9.60,,,,,,,,,,,
