Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Hong Kong, China",...,...,Development,GDP (current US$ Mil),         290896.41,         275742.65,         262629.00,         248514.00,         228639.00,         214048.00,         219279.00,         211597.00,         193535.00,         181569.00,         169100.00,         161385.00,         166349.00,         169403.00,         171668.00,         165768.00,         168886.00,         177353.00,         159717.00,         144653.00,         135812.00,         120354.00,         104272.00,          88959.60,          76928.30,          68790.37,          59707.40
"Hong Kong, China",...,...,Export,No. Of Export partners,            196.00,            196.00,            196.00,            194.00,            195.00,            195.00,            194.00,            194.00,            192.00,            194.00,            193.00,            193.00,            189.00,            182.00,            183.00,            179.00,            178.00,            179.00,            177.00,            172.00,            172.00,            174.00,,,,,
"Hong Kong, China",...,...,Export,No. Of Export products,           4058.00,           4058.00,           4083.00,           4080.00,           4053.00,           4121.00,           4142.00,           4114.00,           4357.00,           4345.00,           4324.00,           4289.00,           4347.00,           4468.00,           4516.00,           4484.00,           4422.00,           4435.00,           4403.00,           4453.00,           4434.00,           4389.00,,,,,
"Hong Kong, China",...,...,Import,No. Of Import partners,            191.00,            190.00,            194.00,            191.00,            190.00,            191.00,            187.00,            191.00,            188.00,            188.00,            186.00,            183.00,            185.00,            177.00,            175.00,            165.00,            166.00,            164.00,            158.00,            162.00,            161.00,            156.00,,,,,
"Hong Kong, China",...,...,Import,No. Of Import products,           4191.00,           4187.00,           4234.00,           4203.00,           4223.00,           4276.00,           4277.00,           4267.00,           4511.00,           4500.00,           4489.00,           4469.00,           4474.00,           4571.00,           4584.00,           4569.00,           4533.00,           4513.00,           4509.00,           4554.00,           4544.00,           4493.00,,,,,
"Hong Kong, China",...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              3.00,              2.00,              2.00,              1.00,              2.00,,,,,,,,,
"Hong Kong, China",...,...,Development,Trade Balance (current US$ Mil),            133.99,           1616.43,           2969.00,           9568.00,          13432.00,          16851.00,          22309.00,          22589.00,          21602.00,          22181.00,          14730.00,          14682.00,          13569.00,           7945.00,           7569.00,           8561.00,            906.00,          -5954.00,          -2371.00,          -6482.00,           1572.00,           8119.00,           5422.00,           6049.00,           6568.10,           7885.36,           5329.49
"Hong Kong, China",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         300429.69,         320687.68,         284360.81,         246581.69,         210291.12,         164285.68,         178621.25,         168603.73,         149510.94,         130425.88,         114315.65,          95446.08,          78949.84,          70346.56,          69847.99,          58006.66,          59850.26,          65608.42,,          57870.26,          49674.02,          43694.16,,,,,
"Hong Kong, China",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         268260.87,         266876.65,         251996.21,         220581.98,         197089.55,         161214.31,         181232.81,         170556.00,         153659.48,         134965.92,         117955.27,         101082.79,          91947.90,          87455.97,          91776.86,          78317.62,          74966.26,          78598.65,,          69742.57,          60937.32,          52003.56,,,,,
"Hong Kong, China",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          10419.45,          10260.44,          12150.63,          10426.36,           9760.96,           9370.06,,           7219.01,           6261.55,           6625.02,           7692.78,           6817.23,           6744.97,           7332.82,,           7500.28,           7054.02,           7083.13,,,,,
"Hong Kong, China",India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          13015.34,          11130.04,          11057.07,          12363.01,           9923.84,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          17103.15,          17479.09,          18567.23,          17425.68,          16496.75,          14119.89,          15606.58,          15341.07,          15534.60,          15303.87,          13914.86,          12088.87,          10813.52,          11246.95,          11195.69,           9411.55,           9128.78,          11417.53,,          10594.90,           8437.33,           6959.52,,,,,
"Hong Kong, China",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          38859.52,          38824.40,          42350.21,          43309.98,          40903.17,          31063.95,          39178.39,          37352.12,          34722.41,          33035.53,          32963.13,          27606.46,          23444.07,          22701.84,          25581.92,          21016.05,          23358.72,          28690.84,,          28718.47,          25289.01,          23031.82,,,,,
"Hong Kong, China","Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           8738.02,,,,,,,,,,,,,,,,
"Hong Kong, China","Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,          14378.60,          12054.75,           9802.45,,          10656.82,           8773.64,           9434.44,          10934.44,,          10147.43,,           6341.43,,,,,
"Hong Kong, China","Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10918.11,          10663.46,          10846.17,          11621.62,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China","Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          39348.72,          33959.58,          31625.93,          31086.53,          29043.59,          22748.85,          24718.40,          26506.31,          25288.20,          21643.36,          19753.54,          16076.41,          14862.22,          13839.99,          15938.22,          12944.85,          13440.24,          16088.93,,          16710.73,          13886.58,          12154.21,,,,,
"Hong Kong, China",Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          34930.54,,          34614.82,          33000.89,          30828.78,          22716.51,          25167.82,          25387.04,          21259.35,          17420.47,,,,           9374.12,,,,,,,           8026.83,,,,,,
"Hong Kong, China",Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          50893.46,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          12670.76,          10732.01,          10528.09,          11825.71,           9680.89,           9612.33,           8988.15,           7303.53,           7202.69,           8322.61,           7296.46,           7185.63,           6435.72,,           5588.82,           4870.66,           4592.95,,,,,
