Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Honduras,...,...,Development,GDP (current US$ Mil),          19385.31,          18496.45,          18528.60,          17710.30,          15839.30,          14587.50,          13789.70,          12275.50,          10841.70,           9672.01,           8772.20,           8140.29,           7776.46,           7566.52,           7105.53,           5372.54,           5202.22,           4663.19,           4034.04,           3911.05,           3432.36,           3481.99,           3419.47,           3068.46,           3048.90,           3563.45,           3970.39
Honduras,...,...,Export,No. Of Export partners,,,            111.00,             96.00,             97.00,            105.00,,            103.00,             93.00,             89.00,             90.00,             97.00,             94.00,             76.00,             65.00,             62.00,             75.00,             64.00,             71.00,             67.00,             71.00,,,,,,
Honduras,...,...,Export,No. Of Export products,,,           2114.00,           1934.00,           1971.00,           2097.00,,           2050.00,           2059.00,           1822.00,           1784.00,           1678.00,           1795.00,           1644.00,           1492.00,           1530.00,           1588.00,           1242.00,           1708.00,           1064.00,           1086.00,,,,,,
Honduras,...,...,Import,No. Of Import partners,,,            134.00,            135.00,            126.00,            121.00,,            141.00,            118.00,            140.00,            148.00,            150.00,            163.00,            121.00,             96.00,             93.00,             94.00,             97.00,             94.00,            102.00,            101.00,,,,,,
Honduras,...,...,Import,No. Of Import products,,,           3907.00,           3965.00,           3912.00,           3895.00,,           3940.00,           4061.00,           4011.00,           3952.00,           4004.00,           4101.00,           4044.00,           4046.00,           4003.00,           4100.00,           4168.00,           4115.00,           4070.00,           3954.00,,,,,,
Honduras,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,              1.00,              1.00,              1.00,,              2.00,              1.00,              1.00,              6.00,              1.00,              2.00,              2.00,              1.00,              1.00,              1.00,              1.00,,              1.00,,,,,,,
Honduras,...,...,Development,Trade Balance (current US$ Mil),          -3658.12,          -3777.54,          -3591.32,          -3489.20,          -2839.09,          -2603.07,          -4564.19,          -3443.60,          -2279.21,          -1787.21,          -1633.01,          -1144.54,           -974.88,           -997.24,           -884.48,           -803.49,           -398.30,           -262.59,           -206.34,           -171.33,           -344.04,           -314.15,           -140.42,            -93.67,            -83.65,           -118.97,           -104.72
Honduras,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            271.41,            245.17,,,,,            106.97,             67.62,,             29.50,,,,,,,,,,,,,,,
Honduras,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             23.16,             18.62,,,,,,
Honduras,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            766.97,            668.13,            531.75,,,,,,,,,,,,,,,,,,,,,,
Honduras,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            136.85,            182.68,,,,,,,,,,,,
Honduras,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            279.60,,            280.28,,            209.67,            170.51,            141.77,,,,,,,,,,,,,,,
Honduras,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            208.99,            304.74,            315.72,            250.87,,            194.86,             78.05,            126.38,            128.20,            119.15,            128.05,            242.64,            166.76,            184.14,            109.15,             37.18,,,,,,,,,
Honduras,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            386.51,            372.77,            300.43,            363.42,,            287.11,            205.82,            203.09,            157.81,            153.44,            146.89,            152.21,            189.01,            166.08,            130.82,            109.22,,             68.28,,,,,,,
