Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Hungary,...,...,Development,GDP (current US$ Mil),         137103.93,         133423.90,         126825.00,         139440.00,         129583.00,         129360.00,         156579.00,         138580.00,         114238.00,         111890.00,         103157.00,          84738.40,          67366.30,          53533.40,          47110.40,          48965.90,          48548.50,          47070.20,          46448.80,          46166.30,          42925.50,          39900.70,          38514.20,          34559.40,,,
Hungary,...,...,Export,No. Of Export partners,            205.00,            195.00,            190.00,            193.00,            192.00,            191.00,            193.00,            196.00,            194.00,            187.00,            185.00,            182.00,            177.00,            184.00,            179.00,            176.00,            167.00,            165.00,            168.00,            174.00,            168.00,            165.00,            153.00,,,,
Hungary,...,...,Export,No. Of Export products,           4003.00,           4009.00,           3868.00,           3846.00,           3810.00,           3073.00,           3057.00,           3055.00,           3223.00,           3874.00,           4006.00,           3376.00,           3384.00,           3353.00,           3287.00,           3274.00,           3300.00,           3191.00,           3160.00,           3143.00,           3024.00,           2901.00,           2878.00,,,,
Hungary,...,...,Import,No. Of Import partners,            169.00,            167.00,            149.00,            158.00,            157.00,            166.00,            156.00,            167.00,            163.00,            162.00,            171.00,            180.00,            183.00,            180.00,            178.00,            175.00,            166.00,            158.00,            158.00,            168.00,            166.00,            163.00,            142.00,,,,
Hungary,...,...,Import,No. Of Import products,           4396.00,           4369.00,           4325.00,           4364.00,           4332.00,           3958.00,           3977.00,           4036.00,           4188.00,           4312.00,           4448.00,           4370.00,           4357.00,           4358.00,           4362.00,           4338.00,           4338.00,           4318.00,           4286.00,           4286.00,           4246.00,           4271.00,           4186.00,,,,
Hungary,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,              1.00,,,,,              9.00,,,,              8.00,,,,,
Hungary,...,...,Development,Trade Balance (current US$ Mil),,          10131.63,           8697.00,           8590.00,           6947.00,           5254.40,            555.00,            941.00,          -1265.70,          -2558.80,          -4084.30,          -3366.90,          -1372.00,           -673.70,          -1734.80,          -1339.40,           -762.20,            443.40,            202.00,            -41.70,          -2458.40,          -2890.93,           -104.20,           -306.90,,,
Hungary,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6181.13,           6000.41,           5950.97,           6283.89,,,           5303.75,           4285.47,           3587.10,           3480.54,           4010.03,           3487.78,           2434.13,           2416.79,           2442.53,           2399.36,           2413.35,           2138.17,,           1264.43,           1163.88,            859.68,           1079.30,,,,
Hungary,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7519.37,           6601.47,           6458.73,           6666.74,           5414.06,           5020.13,           6715.82,           5779.20,           4809.36,           4338.54,           4901.05,           2988.74,           2594.92,           2487.81,           2365.99,           2502.68,           2462.87,           2213.94,,           1654.40,           1748.27,           1444.59,           1586.11,,,,
Hungary,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5312.91,           5408.55,           6079.15,           6173.90,           4949.09,           6129.65,           5128.10,           3858.84,           3587.95,,           3298.10,           2084.89,,,,,,,,,,,,,,
Hungary,Czechoslovakia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            466.46,,,,
Hungary,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           4497.36,,           4485.68,           3463.76,           3186.56,           3090.91,           2473.36,           1945.07,           1818.80,,,,            706.10,,            513.50,,,,,,,
Hungary,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           3672.13,           3259.32,,,,           1579.15,,           1313.59,           1229.13,            924.58,,            605.94,,            415.14,,,,,
Hungary,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30808.81,          27763.20,          25719.28,          27550.35,          23805.45,          21101.99,          28909.33,          26824.55,          21841.72,          18731.72,          17539.82,          14595.41,          12162.08,          10858.89,          10471.26,           9599.87,           8356.77,           7033.15,,           3633.42,           3017.45,           2292.35,           2880.84,,,,
Hungary,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          26018.39,          24637.07,          23304.53,          24178.68,          20989.92,          19198.63,          27776.61,          25396.65,          21048.97,          18206.78,          17678.36,          11682.11,           9144.48,           8392.52,           8213.04,           8188.80,           7233.59,           5694.91,,           3602.39,           3402.87,           2674.92,           2592.30,,,,
Hungary,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5174.82,           5099.38,           4780.79,           5550.35,           5252.94,           4721.04,           5759.19,           5266.21,           4052.13,           3433.47,           3053.52,           2498.08,           1983.76,           1905.17,           1654.43,           1476.94,           1262.58,           1095.56,,           1042.40,            906.05,            622.40,            897.59,,,,
Hungary,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           4250.35,,,           3377.49,           3369.51,           2838.31,           2647.41,           2407.22,           2158.78,           1935.03,           1553.73,,           1214.85,           1017.55,            748.09,            694.30,,,,
Hungary,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           1701.10,,,,,,,,,,,,
Hungary,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           1522.38,           1296.49,           1075.47,,,,,,,,,,
Hungary,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           3658.32,           4920.63,,,,           2974.45,,,,,,,,,,,,,,,,
Hungary,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5394.29,,,,           4589.55,,,,,,,,,,,,,,,,,,,,,,
Hungary,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6100.14,           6105.42,           6194.38,           6759.42,           5098.75,           4336.55,           5739.59,,,,,,,,,,,,,,,,,,,,
Hungary,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            947.35,,            802.57,            807.04,            919.06,           1348.55,,,,
Hungary,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7340.95,           8540.53,           8281.09,           8880.72,           6828.20,           5680.58,          10157.29,           6491.16,           6179.25,           4868.35,           3385.00,           2957.33,           2283.97,           2369.32,           2588.60,           1631.06,           1533.26,           1833.49,,           1753.59,           1745.84,           1673.02,           1790.91,,,,
Hungary,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            340.49,,,,
Hungary,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5488.58,           5788.55,           6052.20,           6513.32,           5073.13,,           5104.99,,,,,,,,,,,,,,,,,,,,
Hungary,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5656.80,           5694.40,           5220.11,           5474.19,,,,,,,,,,,,,,,,,,,,,,,
Hungary,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           5162.44,           4390.65,,           4277.57,           3324.42,           3161.24,           3097.25,           1970.65,           1615.09,,,,,,,,            464.74,,,,,,
Hungary,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            571.12,,,,,,
Hungary,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,           1525.30,           1475.02,           1297.18,           1034.35,,,,,            346.21,,,,,
Hungary,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,        7140691.00,,,,,       10839443.02,        3577900.02,,,        2594372.00,,,,,
Hungary,World,Animal,Export,Export(US$ Mil),           2223.71,           2275.84,           2119.25,           2240.65,           1821.82,           1538.08,           1706.53,           1396.37,           1137.43,           1121.48,           1121.02,            985.11,            890.93,            919.33,            793.05,            750.00,            818.37,            888.33,            947.31,            826.78,            758.96,            655.18,            787.23,,,,
Hungary,World,Capital goods,Export,Export(US$ Mil),          45673.78,          45195.74,          43428.85,          50403.92,          43046.49,          36964.12,          48155.92,          44034.86,          36076.40,          31114.99,          29507.76,          21960.42,          16540.48,          14064.37,          13291.53,          11109.61,           9767.19,           6945.22,           2570.57,           2527.62,           1919.46,           1718.74,           1851.66,,,,
Hungary,World,Chemicals,Export,Export(US$ Mil),           8899.60,           8666.23,           7871.62,           7831.30,           6099.87,           5307.56,           5964.39,           4625.48,           4009.65,           3559.96,           3060.76,           2116.35,           1516.15,           1309.13,           1106.99,           1015.97,           1001.03,            986.21,            908.56,            908.99,            666.80,            667.43,            654.35,,,,
Hungary,World,Consumer goods,Export,Export(US$ Mil),          39665.96,          35116.71,          30328.38,          30669.52,          24507.89,          21735.16,          29193.62,          24571.03,          18929.35,          16240.71,          14606.73,          11901.27,          10339.96,           9479.11,           8591.23,           8210.36,           7342.83,           6404.80,           5521.74,           4919.28,           4281.22,           3467.14,           4018.63,,,,
Hungary,World,Food Products,Export,Export(US$ Mil),           4095.44,           4112.94,           3473.13,           3215.88,           2654.90,           2432.02,           2704.67,           2129.69,           1755.79,           1572.08,           1413.17,           1115.69,            866.78,            772.85,            698.20,            741.63,            932.48,           1005.00,           1074.06,            934.60,            808.65,            671.25,            687.99,,,,
Hungary,World,Footwear,Export,Export(US$ Mil),            517.21,            490.09,            437.46,            521.38,            416.84,            385.26,            407.17,            406.12,            354.87,            301.51,            299.14,            332.26,            347.81,            356.18,            331.12,            360.85,            361.58,            337.49,            322.88,            272.88,            282.83,            243.95,            362.51,,,,
Hungary,World,Fuels,Export,Export(US$ Mil),           3949.97,           3894.55,           4052.59,           3877.70,           2516.15,           2034.68,           3345.21,           2642.89,           1731.87,           1631.39,           1000.08,            667.27,            510.42,            483.73,            453.21,            397.54,            424.49,            432.84,            427.06,            383.80,            367.59,            307.67,            326.41,,,,
Hungary,World,Hides and Skins,Export,Export(US$ Mil),            478.66,            391.55,            341.94,            323.01,            252.99,            217.64,            271.95,            272.49,            226.68,            207.74,            207.79,            205.72,            183.26,            166.54,            154.88,            148.66,            159.24,            149.34,            145.52,            119.85,            119.56,             93.23,            141.35,,,,
Hungary,World,Intermediate goods,Export,Export(US$ Mil),          15415.33,          15038.51,          14012.68,          14772.06,          11459.50,           9453.65,          13063.08,          11200.52,           8947.00,           7902.49,           6878.72,           5334.76,           4307.69,           3829.68,           3751.80,           3445.45,           3372.38,           3208.23,           2843.78,           3011.76,           2180.28,           1827.09,           2376.90,,,,
Hungary,World,Mach and Elec,Export,Export(US$ Mil),          42446.94,          43161.46,          43000.56,          50740.72,          45686.95,          40044.83,          49630.78,          44441.19,          37178.84,          31934.07,          29971.37,          22465.67,          16968.48,          14667.88,          14252.10,          12010.52,          10524.07,           7431.03,           2690.69,           2545.13,           1865.66,           1407.52,           1554.23,,,,
Hungary,World,Metals,Export,Export(US$ Mil),           5355.33,           5543.51,           5345.20,           5736.07,           4372.13,           3393.20,           5743.09,           4938.49,           4105.74,           3384.70,           3044.69,           2150.49,           1759.49,           1605.92,           1556.91,           1379.42,           1445.00,           1347.20,           1244.16,           1334.69,            914.78,            724.47,            902.66,,,,
Hungary,World,Minerals,Export,Export(US$ Mil),             66.71,             76.09,             90.35,             86.70,             61.35,             53.14,             73.37,             44.62,             43.09,             47.47,             48.19,             42.15,             35.73,             29.30,             33.14,             27.14,             26.65,             16.94,             17.10,             13.98,             15.16,             25.09,             15.91,,,,
Hungary,World,Miscellaneous,Export,Export(US$ Mil),           9831.09,           9066.93,          10449.56,          10180.04,           9311.19,           8709.07,          12520.70,          11070.61,           7317.00,           4991.26,           3004.02,           2851.75,           3028.86,           2476.77,           1648.50,           1414.64,           1290.83,           1255.37,            623.55,            536.95,           1258.08,            352.80,            398.00,,,,
Hungary,World,Plastic or Rubber,Export,Export(US$ Mil),           7090.96,           6980.00,           6324.67,           6559.98,           5033.89,           4006.26,           5156.62,           4556.27,           3503.70,           2941.89,           2358.08,           1735.40,           1331.90,           1230.64,           1206.34,            946.05,            965.69,            915.29,            777.52,            834.43,            593.33,            467.35,            563.51,,,,
Hungary,World,Raw materials,Export,Export(US$ Mil),           5771.63,           6044.12,           6397.13,           6338.33,           4973.79,           4151.26,           5334.94,           4550.82,           2945.02,           2760.93,           2623.96,           2112.74,           1798.44,           1721.37,           1496.26,           1441.73,           1698.29,           1682.98,           1626.69,           1856.89,           1428.42,           1177.12,           1740.31,,,,
Hungary,World,Stone and Glass,Export,Export(US$ Mil),           1808.55,           1796.17,           1619.29,           1626.34,           1333.33,           1179.12,           1450.38,           1088.91,            839.32,            718.55,            627.83,            545.47,            386.91,            366.58,            356.31,            354.82,            350.32,            314.88,            281.12,            246.35,            212.67,            213.96,            223.90,,,,
