Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
India,...,...,Development,GDP (current US$ Mil),        2066902.40,        1861801.62,        1831780.00,        1835810.00,        1708460.00,        1365370.00,        1224100.00,        1238700.00,         949117.00,         834215.00,         721586.00,         618356.00,         523969.00,         493954.00,         476609.00,         466867.00,         428741.00,         423160.00,         399787.00,         366600.00,         333014.00,         284194.00,         293262.00,         274842.00,         326608.00,         301233.73,         301790.95
India,...,...,Export,No. Of Export partners,            221.00,            221.00,            221.00,            220.00,            223.00,            222.00,            222.00,            221.00,            221.00,            223.00,            222.00,            217.00,            213.00,            212.00,            212.00,            206.00,            205.00,            206.00,            203.00,            203.00,            203.00,            201.00,            187.00,            173.00,            173.00,            169.00,            165.00
India,...,...,Export,No. Of Export products,           4434.00,           4444.00,           4460.00,           4483.00,           4462.00,           4467.00,           4691.00,           4664.00,           4692.00,           4696.00,           4695.00,           4662.00,           4649.00,           4577.00,           4501.00,           4397.00,           4361.00,           4374.00,           4314.00,           4252.00,           4164.00,           4093.00,           3965.00,           3837.00,           3671.00,           3625.00,           3665.00
India,...,...,Import,No. Of Import partners,            222.00,            208.00,            207.00,            214.00,            214.00,            215.00,            218.00,            210.00,            209.00,            207.00,            198.00,            189.00,            185.00,            179.00,            174.00,            166.00,            162.00,            151.00,            152.00,            145.00,            152.00,            147.00,            124.00,            123.00,            128.00,            126.00,            122.00
India,...,...,Import,No. Of Import products,           4331.00,           4336.00,           4354.00,           4341.00,           4338.00,           4383.00,           4484.00,           4510.00,           4608.00,           4582.00,           4551.00,           4587.00,           4558.00,           4530.00,           4441.00,           4393.00,           4278.00,           4144.00,           3979.00,           3988.00,           3863.00,           3712.00,           3549.00,           3391.00,           3385.00,           3411.00,           3487.00
India,...,...,Tariff,No. Of Tariff Agreement,,              1.00,              1.00,              1.00,             13.00,             18.00,             18.00,              1.00,              1.00,             13.00,              2.00,              1.00,              1.00,              2.00,              2.00,              5.00,,              5.00,,,,,              4.00,,              2.00,,
India,...,...,Development,Trade Balance (current US$ Mil),         -49004.23,         -55080.67,        -122635.00,        -118817.00,         -74621.00,         -73426.00,         -62025.00,         -49727.00,         -29981.00,         -22898.00,         -12662.00,          -4233.30,          -5045.80,          -4254.90,          -4245.80,          -8770.20,          -7005.10,          -5148.20,          -4554.20,          -4249.60,           -988.30,             47.10,          -2153.60,              2.00,          -4492.30,          -3362.66,          -4211.60
India,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          12017.05,,,,,,,,,,,,,,,,,,,,,
India,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           4388.40,           3827.90,           3566.10,           2485.65,           3238.50,           3701.63,,,,,,,,,,,
India,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2880.63,           2669.24,,,,           1873.45,           2042.14,           1394.54,,           1658.55,           1413.32
