Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ireland,...,...,Development,GDP (current US$ Mil),         245920.71,         232077.37,         221966.00,         237757.00,         218448.00,         233557.00,         273722.00,         269297.00,         230535.00,         210363.00,         193035.00,         163476.00,         127215.00,         108455.00,          99317.60,          98541.60,          89810.40,          82654.60,          75695.90,          69070.80,          57040.60,          52365.20,          55862.70,          49737.70,          49256.40,          39199.24,          37735.21
Ireland,...,...,Export,No. Of Export partners,            217.00,            211.00,            212.00,            210.00,            207.00,            212.00,            207.00,            208.00,            203.00,            212.00,            207.00,            203.00,            204.00,            202.00,            201.00,            201.00,            198.00,            198.00,            199.00,            203.00,            200.00,            203.00,            187.00,,,,
Ireland,...,...,Export,No. Of Export products,           3652.00,           3664.00,           3678.00,           3618.00,           3602.00,           3565.00,           3538.00,           3588.00,           3684.00,           3687.00,           3733.00,           3741.00,           3732.00,           3748.00,           3782.00,           3758.00,           3625.00,           3622.00,           3572.00,           3531.00,           3585.00,           3588.00,           4103.00,,,,
Ireland,...,...,Import,No. Of Import partners,            220.00,            225.00,            225.00,            222.00,            222.00,            216.00,            219.00,            222.00,            213.00,            215.00,            215.00,            207.00,            207.00,            211.00,            202.00,            190.00,            183.00,            184.00,            186.00,            186.00,            184.00,            176.00,            166.00,,,,
Ireland,...,...,Import,No. Of Import products,           4399.00,           4382.00,           4382.00,           4396.00,           4414.00,           4438.00,           4440.00,           4453.00,           4684.00,           4676.00,           4685.00,           4693.00,           4688.00,           4732.00,           4734.00,           4768.00,           4720.00,           4716.00,           4696.00,           4746.00,           4741.00,           4771.00,           4762.00,,,,
Ireland,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,...,...,Development,Trade Balance (current US$ Mil),,          48279.30,          45519.00,          48218.00,          38130.00,          34465.00,          23881.00,          23836.00,          21494.00,          23746.00,          27758.00,          25049.00,          21138.00,          16182.80,          12998.90,          12900.50,           9809.80,           9926.40,           8296.00,           7561.80,           5385.10,           5310.50,           4062.80,           2351.70,           2161.10,           2115.30,           2253.75
Ireland,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          15656.13,          14892.43,          17492.74,          18415.66,          17915.15,          19631.81,          18028.00,          17527.25,          15313.12,          16639.90,          15311.96,          11669.00,          12739.30,           3966.34,,,,,,,,,,,,,
Ireland,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           4090.31,,,,,,,,,,
Ireland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4467.29,           3982.55,           3855.43,           3574.48,           3344.75,           3589.87,           5756.41,           6556.43,           5581.80,           4618.22,           3532.72,           2506.39,,,,,,,,,,,,,,,
Ireland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           6892.47,           5945.40,           6280.42,           7384.97,           7111.64,           6366.25,           7040.36,           6251.90,           5689.67,           4405.43,           5035.92,           5823.03,           5995.89,           5286.99,           4309.68,,           4143.41,           3138.65,           2640.14,           2731.59,,,,
Ireland,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           2778.10,,           2131.42,           2528.99,           2385.42,           1939.30,,,,,,            845.79,           1000.25,,,,
Ireland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7777.09,           8722.41,           9583.40,           8750.08,           8425.92,           8286.70,           8959.32,           9210.97,           8736.88,           8234.30,           7984.46,           7708.29,           6362.98,          10503.04,           8629.70,           8505.78,           9654.10,           6745.00,,           6328.61,           4836.98,           3832.44,           3616.28,,,,
Ireland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5640.60,           5383.65,           5211.82,           5151.94,           4626.80,           4227.66,           6848.90,           7666.66,           6310.80,           5359.36,           4684.47,           3892.71,           3336.24,           3156.61,           2945.06,           2930.17,           2763.38,           2366.98,,           2256.23,           1816.62,           1568.59,           1880.51,,,,
Ireland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           2591.57,           1890.18,,           2433.58,           2707.50,           3129.66,           2705.49,,           1705.82,           1233.56,           1416.16,           1125.30,,,,
Ireland,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           4232.98,           4420.60,,           3842.29,,           3063.62,           1900.58,           1672.34,           1977.46,,,,
Ireland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3502.63,           3543.62,           3430.51,           3384.92,           2937.68,           3206.71,           4268.44,           3702.67,           3077.87,           2803.15,,,,,,,,,,,,,,,,,
Ireland,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2197.12,           2146.02,,,,,,,,,
Ireland,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6978.69,           6790.65,           6513.14,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          17831.61,          18548.35,          19418.35,          19855.35,          18330.06,          18671.63,          23341.07,          22936.40,          19510.70,          18856.49,          18428.31,          16835.94,          21234.68,          19957.03,          16653.07,          15627.11,          14207.69,          13206.39,,          11140.12,           9615.37,           8203.97,           8915.14,,,,
Ireland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22897.85,          22152.83,          21445.75,          23200.03,          19488.19,          19084.92,          28337.20,          28613.79,          24455.79,          21934.87,          19163.49,          16611.20,          18828.75,          18258.00,          15853.66,          15576.44,          14896.29,          13559.57,,          11498.32,           9347.75,           7846.23,           9544.73,,,,
Ireland,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26307.00,          24406.37,          23322.23,          30074.84,          27534.44,          25369.70,          24533.59,          21680.30,          20283.90,          20587.05,          20528.03,          19161.77,          15568.02,          14052.95,          13098.95,          10997.51,           8734.90,           6025.67,,           3641.80,           2858.17,           2621.69,           2332.25,,,,
Ireland,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7706.13,           6935.66,           6714.29,           8210.46,           8513.43,          10884.38,           9977.04,           9667.36,           8576.00,           9941.06,           8667.22,           8368.61,           7993.60,           7813.49,           8424.05,           7867.14,           7155.04,           5880.03,,           5717.20,           4709.88,           3709.89,           3186.92,,,,
Ireland,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,           1862.82,,,,,,           1305.56,           1134.80,,,,,,
Ireland,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,World,Animal,Export,Export(US$ Mil),           7096.82,           6951.04,           6302.83,           6730.12,           5429.73,           4806.90,           5734.52,           5463.89,           4691.92,           4179.69,           3899.18,           3317.29,           2696.66,           2566.60,           3051.07,           3334.17,           3020.98,           3150.25,           3331.80,           3891.87,           3319.43,           3124.27,           3830.93,,,,
Ireland,World,Capital goods,Export,Export(US$ Mil),          19260.99,          18868.52,          17978.72,          19242.97,          19102.91,          22756.95,          31049.15,          32689.13,          31761.77,          33828.19,          32280.97,          29564.64,          32294.44,          34600.73,          31194.96,          28142.45,          23857.59,          20604.85,          17143.60,          15179.51,          10430.17,           8487.64,           7898.50,,,,
Ireland,World,Chemicals,Export,Export(US$ Mil),          68379.37,          66768.20,          70369.03,          77710.04,          69040.71,          66230.85,          64950.73,          58896.70,          49765.77,          50066.57,          46426.60,          40506.53,          37013.40,          28877.24,          25009.90,          22441.68,          20543.12,          13608.10,          10750.14,           8096.34,           7097.74,           5577.15,           5419.20,,,,
Ireland,World,Consumer goods,Export,Export(US$ Mil),          39995.60,          38377.88,          39752.66,          45630.15,          42696.30,          39722.35,          39093.10,          34762.78,          31339.23,          29722.19,          30999.53,          26353.59,          24494.74,          18493.91,          15996.29,          16742.70,          16115.24,          14619.55,          15364.12,          13748.78,          11894.76,           9517.63,          10292.78,,,,
Ireland,World,Food Products,Export,Export(US$ Mil),           6560.08,           5979.28,           5450.40,           5573.36,           5155.83,           5105.78,           6101.14,           6266.94,           5522.87,           4766.92,           4582.46,           4166.94,           3464.69,           3220.46,           3076.54,           3177.21,           3234.40,           2959.06,           3921.83,           4384.96,           3566.99,           3019.71,           2841.30,,,,
Ireland,World,Footwear,Export,Export(US$ Mil),             56.00,             47.16,             73.80,             80.87,             72.47,             38.77,             47.72,             50.84,             37.29,             47.99,             39.97,             38.94,             24.57,             31.26,             34.81,             37.27,             34.62,             43.80,             56.20,             55.29,            100.51,             71.85,             59.48,,,,
Ireland,World,Fuels,Export,Export(US$ Mil),           1096.56,           1092.78,           2114.90,           1884.62,           1362.69,            826.36,           1224.23,            940.47,            704.75,            768.18,            495.11,            225.71,            340.64,            265.98,            262.45,            188.81,            170.10,            223.09,            186.26,            190.34,            164.54,            169.43,            165.85,,,,
Ireland,World,Hides and Skins,Export,Export(US$ Mil),            285.65,            240.59,            217.01,            259.57,            194.66,            125.51,            155.17,            228.39,            168.05,            146.76,            163.75,            161.52,            167.35,            174.07,            172.99,            154.79,            185.24,            203.54,            193.78,            183.20,            164.53,            121.30,            153.01,,,,
Ireland,World,Intermediate goods,Export,Export(US$ Mil),          50398.99,          49794.21,          52208.47,          54156.85,          46403.43,          44807.73,          47152.40,          44927.38,          36582.70,          37523.43,          32310.46,          29377.18,          25596.63,          24004.83,          22800.22,          19846.40,          18008.94,          12253.67,           9798.72,           8130.60,           6822.42,           5827.15,           5958.42,,,,
Ireland,World,Mach and Elec,Export,Export(US$ Mil),          13013.36,          13679.78,          13393.65,          14793.01,          15478.55,          19074.85,          28556.93,          31620.56,          30534.89,          30792.29,          29555.94,          27879.09,          32465.49,          36116.76,          33768.08,          31196.59,          26293.56,          23308.03,          20274.47,          17794.52,          12511.54,           9732.60,           8986.26,,,,
