Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Italy,...,...,Development,GDP (current US$ Mil),        2144338.19,        2136948.26,        2075220.00,        2278090.00,        2126750.00,        2186240.00,        2391880.00,        2204090.00,        1943530.00,        1853510.00,        1799130.00,        1570330.00,        1267040.00,        1162780.00,        1142210.00,        1249060.00,        1266790.00,        1239510.00,        1309410.00,        1171210.00,        1095990.00,        1061830.00,        1316290.00,        1242560.00,        1177760.00,         925935.37,         888991.67
Italy,...,...,Export,No. Of Export partners,            226.00,            231.00,            223.00,            226.00,            224.00,            222.00,            222.00,            223.00,            227.00,            225.00,            223.00,            224.00,            225.00,            216.00,            215.00,            212.00,            209.00,            210.00,            210.00,            212.00,            212.00,,,,,,
Italy,...,...,Export,No. Of Export products,           4471.00,           4462.00,           4472.00,           4504.00,           4503.00,           4492.00,           4510.00,           4497.00,           4757.00,           4746.00,           4737.00,           4741.00,           4744.00,           4792.00,           4804.00,           4814.00,           4816.00,           4826.00,           4823.00,           4898.00,           4894.00,,,,,,
Italy,...,...,Import,No. Of Import partners,            208.00,            211.00,            213.00,            214.00,            211.00,            211.00,            214.00,            216.00,            218.00,            216.00,            216.00,            216.00,            215.00,            205.00,            207.00,            207.00,            198.00,            197.00,            202.00,            183.00,            204.00,,,,,,
Italy,...,...,Import,No. Of Import products,           4562.00,           4563.00,           4560.00,           4591.00,           4594.00,           4590.00,           4587.00,           4589.00,           4853.00,           4845.00,           4845.00,           4835.00,           4844.00,           4914.00,           4915.00,           4928.00,           4914.00,           4921.00,           4919.00,           5004.00,           4997.00,,,,,,
Italy,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,...,...,Development,Trade Balance (current US$ Mil),          68123.13,          49573.45,          20748.00,         -35742.00,         -41849.00,         -14333.00,         -18861.00,          -7914.00,         -16247.00,          -2047.00,          10469.00,           7108.00,           9448.00,          14591.00,           9602.00,          22172.00,          38438.00,          46078.00,          59465.00,          43015.00,          36146.00,          32376.00,            613.00,           2433.00,           2350.00,           -163.28,            415.80
Italy,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          17075.31,          15670.59,,,,,,,,,,,,,,,,
Italy,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          33277.79,          30634.04,          32162.56,          41131.34,          38133.07,          26914.45,          34637.29,          29713.14,          22465.43,          17574.87,,,,,,,,,,,,,,,,,
Italy,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          55778.66,          56148.07,          55577.46,          60240.18,          51724.54,          46923.74,          60474.82,          57201.16,          48841.49,          45521.83,          43461.58,          37036.17,          30961.57,          29892.15,          30329.30,          30766.28,          30901.58,          29010.53,,          30010.50,          24851.60,,,,,,
Italy,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          40703.76,          40512.97,          40615.04,          46518.10,          42501.05,          36629.14,          47798.97,          46399.47,          40855.46,          38113.07,          38615.24,          33671.12,          28137.46,          26500.22,          26816.32,          27627.11,          28397.06,          27478.15,,          28309.82,          22781.13,,,,,,
Italy,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          66456.45,          64356.08,          62768.61,          68230.67,          57766.85,          51217.53,          68826.03,          64445.51,          54863.95,          48804.63,          47903.82,          41856.58,          34988.87,          35665.70,          36217.00,          39031.96,          39892.10,          38960.09,,          43236.43,          36119.16,,,,,,
Italy,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          72541.47,          70767.32,          70899.28,          86732.50,          78066.50,          69147.02,          87906.77,          86163.83,          72854.38,          65714.03,          62953.16,          53043.95,          43896.56,          42073.51,          41773.36,          42155.79,          40543.56,          37441.06,,          38951.92,          32310.89,,,,,,
Italy,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          26077.70,          27471.66,          26423.96,          29233.31,          26425.79,          23535.54,          28373.42,          26918.48,          22749.45,          20630.14,          20075.90,          16635.28,          13778.55,          13931.01,          13521.02,          13603.47,          13317.23,          12816.35,,          11226.27,           9591.46,,,,,,
Italy,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          26818.52,          23564.32,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          27450.66,          25726.22,          23045.46,          35144.33,          37242.99,          30443.50,          27658.82,          25438.13,          21200.01,          16238.01,          14999.17,          14908.41,          15055.72,          14040.79,          12335.59,,          11311.14,           8920.77,,,,,,
Italy,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22625.64,,,          25167.15,          22152.94,          18284.53,,,,,          16511.46,          14372.40,,,,,,,,,,,,,,,
Italy,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25356.85,          27096.30,          29463.37,          28734.81,,,,,,,,,,,,,,,,,,,,,,,
Italy,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           8254.95,,,,,,
