Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Jordan,...,...,Development,GDP (current US$ Mil),          35826.93,          33593.84,          30937.30,          28840.30,          26425.40,          23818.30,          21972.90,          17110.60,          15056.90,          12588.70,          11407.60,          10193.00,           9580.16,           8972.97,           8457.92,           8147.49,           7910.62,           7244.40,           6928.36,           6727.45,           6237.65,           5606.24,           5311.19,           4344.47,           4159.93,           4221.12,           6277.33
Jordan,...,...,Export,No. Of Export partners,            151.00,            148.00,            145.00,            151.00,            151.00,            143.00,            143.00,            140.00,            137.00,            137.00,            136.00,            130.00,            128.00,            122.00,            122.00,            125.00,            113.00,            113.00,,            120.00,            107.00,,,,,,
Jordan,...,...,Export,No. Of Export products,           2297.00,           2368.00,           2422.00,           2362.00,           2423.00,           2422.00,           2487.00,           2417.00,           2485.00,           2510.00,           2527.00,           2342.00,           1901.00,           1843.00,           2606.00,           2342.00,            925.00,           1731.00,,           1901.00,           1732.00,,,,,,
Jordan,...,...,Import,No. Of Import partners,            143.00,            143.00,            142.00,            137.00,            143.00,            128.00,            130.00,            128.00,            124.00,            123.00,            119.00,            119.00,            119.00,            119.00,            126.00,            116.00,            110.00,            111.00,,            109.00,            113.00,,,,,,
Jordan,...,...,Import,No. Of Import products,           3849.00,           3863.00,           3905.00,           3891.00,           3887.00,           3876.00,           3810.00,           3764.00,           3900.00,           3858.00,           3834.00,           3658.00,           3617.00,           3630.00,           3880.00,           3693.00,           3211.00,           3173.00,,           3793.00,           3851.00,,,,,,
Jordan,...,...,Tariff,No. Of Tariff Agreement,             22.00,              1.00,              1.00,              1.00,              1.00,              2.00,              2.00,              2.00,              2.00,             19.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,,
Jordan,...,...,Development,Trade Balance (current US$ Mil),          -9289.30,          -9902.68,          -8668.00,          -7557.30,          -5496.90,          -5526.20,          -6812.70,          -6420.57,          -5119.15,          -5224.42,          -3455.02,          -2139.54,          -1841.48,          -2247.84,          -2259.34,          -1456.28,          -1541.60,          -1613.39,          -1752.75,          -1422.24,          -1410.11,          -1671.55,          -1655.89,           -976.69,          -1238.79,           -774.48,          -1332.92
Jordan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2392.06,           2233.51,           1943.70,           1823.02,           1655.72,           1540.75,           1750.14,           1308.24,           1196.16,            961.60,            684.40,            454.77,            334.06,            237.83,,,,,,,,,,,,,
Jordan,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            692.98,            859.01,            729.92,            590.69,            482.33,,,,,,,,,,,,,,,,,,
Jordan,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            208.50,            185.93,            172.35,,,,,,,,,,,,
Jordan,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            821.93,            899.78,            777.03,            691.43,            609.22,            551.75,            660.46,            524.64,            390.73,            332.96,            297.27,            279.40,            202.84,            259.34,            177.71,            183.85,,            106.83,,            108.30,             78.35,,,,,,
Jordan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            780.54,            923.90,            885.69,           1010.51,           1020.64,            890.83,            837.32,            555.60,            437.37,            464.97,            447.23,            524.04,            356.70,            374.89,            388.49,,            311.58,            263.90,,,,,,
Jordan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            650.84,            485.38,            706.26,            871.20,            782.97,            685.08,           1281.58,            470.63,            396.68,            346.34,            254.52,            199.00,            226.39,            205.21,,            255.15,            164.99,            139.50,,            162.92,            126.55,,,,,,
Jordan,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1243.76,           1106.36,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1284.32,           1389.56,           1222.70,           1214.26,           1126.24,           1273.36,           1282.65,            724.57,            633.37,            733.08,            732.77,            542.51,            603.97,            533.83,,            115.87,            149.67,            156.79,,            301.68,            164.96,,,,,,
Jordan,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            374.64,            750.98,            684.91,,            417.53,            332.42,            513.77,,            451.32,            417.10,,,,,,
Jordan,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             92.37,,,,,,,,,,,,
Jordan,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1034.83,            967.34,            964.19,,,,,,,            312.81,,,,,,,            231.25,,            197.97,            199.19,,,,,,
Jordan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            179.80,            233.37,            224.17,            191.11,,,,,,,,,
Jordan,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            372.65,,,,,,            160.89,,,,,,,,,,,
Jordan,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1039.25,            963.29,            771.61,            679.79,            661.70,            579.51,            547.27,            411.13,            366.96,            240.39,            209.26,,            156.48,            142.12,            119.19,            146.97,            146.29,            167.65,,            108.19,            110.51,,,,,,
Jordan,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4453.73,           4019.28,           4871.31,           4176.72,           3024.14,           2435.15,           3640.67,           2847.85,           2933.86,           2479.15,           1616.69,            647.93,,,,,,,,,,,,,,,
Jordan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            201.37,,,,,,,,,,,,,,,
Jordan,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            951.04,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             81.58,,             51.30,,,,,,,,,,
Jordan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1092.61,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            207.26,,            195.04,,,            177.70,            172.85,,,,,,
Jordan,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1323.27,           1205.68,           1125.34,           1040.47,            928.40,            872.29,           1046.92,           1240.77,           1298.88,           1124.45,           1021.19,            662.95,            431.72,            234.77,,,,,,,,,,,,,
Jordan,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1319.84,           1361.12,           1384.68,           1077.56,            859.63,            977.12,            773.73,            630.07,            543.57,            586.48,            547.58,            360.95,            364.31,            395.94,            451.62,            357.65,            363.99,            365.83,,            343.20,            332.90,,,,,,
Jordan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            202.12,            256.92,            237.83,            184.54,,            247.71,            239.94,,,,,,
Jordan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       13849492.49,        8007355.56,        7020803.36,        6269715.86,        5468297.43,        8799380.04,       10856040.32,        8456218.91,        7142104.96,        5745831.64,        2056305.51,        1407705.36,         797668.21,         851043.24,         389598.94,,,,,,,,,,,,
Jordan,World,Animal,Export,Export(US$ Mil),            334.54,            362.52,            271.19,            237.71,            204.43,            200.32,            150.29,             42.94,            135.43,            105.02,             53.42,             79.77,             72.56,             23.54,             16.18,             47.33,             63.62,            122.28,,             39.34,             29.65,,,,,,
Jordan,World,Capital goods,Export,Export(US$ Mil),            641.29,            609.60,            593.42,            662.83,            586.67,            813.26,           1052.41,            820.92,            603.94,            432.86,            370.15,            290.75,            282.08,            341.21,            213.36,            233.70,             56.01,            146.27,,            149.65,            151.80,,,,,,
Jordan,World,Chemicals,Export,Export(US$ Mil),           2474.23,           2418.83,           2356.79,           2444.46,           2273.53,           1751.06,           2556.48,           1431.11,           1154.53,           1094.45,            960.99,            780.06,            751.38,            670.65,            327.27,            674.98,            582.84,            450.90,,            621.33,            517.70,,,,,,
Jordan,World,Consumer goods,Export,Export(US$ Mil),           3795.94,           3601.09,           3245.22,           3046.87,           3019.82,           2620.42,           2842.79,           2677.51,           2496.73,           2149.68,           1948.69,           1435.60,           1179.20,            946.61,            542.48,            568.04,            449.44,            317.84,,            440.47,            363.99,,,,,,
Jordan,World,Food Products,Export,Export(US$ Mil),            494.16,            441.27,            382.89,            359.48,            347.02,            309.39,            336.02,            251.53,            202.34,            159.68,            141.01,            131.55,             88.76,             91.34,             43.66,             51.08,             35.90,             38.31,,             37.61,             31.25,,,,,,
Jordan,World,Footwear,Export,Export(US$ Mil),              4.45,              8.30,             27.59,             15.05,              4.27,              3.93,              5.16,              6.63,              4.13,              3.62,              4.08,              3.13,              2.96,              4.58,              7.14,              6.61,             13.65,              8.36,,              9.17,              5.30,,,,,,
Jordan,World,Fuels,Export,Export(US$ Mil),             16.22,             24.05,             23.25,             17.99,             66.44,             31.73,             14.44,             38.93,             43.14,              7.47,             43.86,              7.48,              0.88,              0.98,              0.55,              0.62,              0.98,              1.30,,              0.57,              1.52,,,,,,
Jordan,World,Hides and Skins,Export,Export(US$ Mil),             10.10,             10.65,             16.14,             19.16,             11.48,              9.93,             12.48,             10.04,              9.23,              7.33,              5.42,              3.49,              2.03,             16.61,             18.59,              7.90,              2.45,              6.79,,             25.81,              6.43,,,,,,
Jordan,World,Intermediate goods,Export,Export(US$ Mil),           2261.05,           2155.66,           2378.02,           2608.13,           2210.40,           1864.12,           2659.44,           1413.36,           1190.39,            869.03,            858.20,            769.16,            762.69,            493.31,            271.28,            467.86,            396.94,            514.08,,            651.88,            477.83,,,,,,
Jordan,World,Mach and Elec,Export,Export(US$ Mil),            650.95,            569.47,            575.58,            635.19,            563.93,            631.38,            829.50,            724.66,            479.24,            376.18,            296.98,            208.68,            211.25,            222.59,            172.88,            167.09,             53.46,             93.08,,             92.74,             83.05,,,,,,
Jordan,World,Metals,Export,Export(US$ Mil),            431.27,            452.69,            404.22,            511.62,            476.36,            423.81,            484.47,            331.01,            273.15,            179.02,            143.26,             93.68,             98.10,            109.76,             71.61,             61.19,             38.26,             47.66,,             52.94,             44.59,,,,,,
Jordan,World,Minerals,Export,Export(US$ Mil),            514.49,            447.23,            665.72,            701.84,            397.98,            398.60,            570.51,            216.24,            186.30,            196.76,            211.45,            182.92,            200.86,            182.00,             67.93,            206.65,            228.02,            249.54,,            194.46,            184.19,,,,,,
Jordan,World,Miscellaneous,Export,Export(US$ Mil),            186.75,            165.99,            166.06,            151.06,            120.96,            129.91,            162.84,            127.34,            104.24,             98.31,             81.24,             90.42,             54.74,             59.09,             52.56,             41.96,             17.86,             31.09,,             37.76,             29.47,,,,,,
Jordan,World,Plastic or Rubber,Export,Export(US$ Mil),            385.71,            355.88,            322.67,            242.23,            191.24,            145.07,            166.93,            133.14,            117.58,            120.93,             81.09,             55.79,             52.65,             72.87,             53.23,             56.43,             40.71,             44.09,,             50.56,             37.83,,,,,,
Jordan,World,Raw materials,Export,Export(US$ Mil),           1653.51,           1518.69,           1630.83,           1610.87,           1177.76,           1040.51,           1167.60,            733.92,            845.00,            781.60,            677.84,            559.35,            532.09,            500.41,            251.03,            531.23,            467.07,            595.34,,            500.91,            421.20,,,,,,
Jordan,World,Stone and Glass,Export,Export(US$ Mil),            214.45,            171.33,            301.63,            433.78,            378.40,            401.51,            242.39,            223.50,            499.52,            205.97,            198.38,            309.06,            229.00,             54.74,             30.16,             32.24,             23.65,             23.47,,             25.64,             28.91,,,,,,
Jordan,World,Textiles and Clothing,Export,Export(US$ Mil),           1381.75,           1262.01,           1146.11,           1076.62,            962.26,            909.55,           1103.95,           1277.48,           1306.85,           1103.11,           1059.86,            717.89,            560.49,            343.46,            158.67,            103.18,             80.45,             52.13,,             78.53,             60.10,,,,,,
Jordan,World,Transportation,Export,Export(US$ Mil),            195.97,            204.78,            161.27,            174.36,            184.60,            256.82,            359.38,            288.73,            194.64,            149.79,            160.84,            120.75,            106.03,            146.52,             71.08,            104.58,             10.57,            102.99,,            138.40,            141.70,,,,,,
Jordan,World,Vegetable,Export,Export(US$ Mil),            820.04,            741.60,            725.49,            664.52,            563.73,            526.43,            568.04,            454.49,            354.75,            379.99,            367.37,            228.65,            250.52,            202.09,            125.17,            193.68,            131.34,            254.81,,            325.00,            193.46,,,,,,
Jordan,World,Wood,Export,Export(US$ Mil),            270.26,            283.02,            330.53,            278.42,            276.50,            236.30,            218.88,            142.25,            101.58,             91.03,             81.87,             68.29,             87.81,             93.61,             76.15,             65.25,             58.60,             49.53,,             38.97,             29.18,,,,,,
Jordan,World,All Products,Export,Exports (in US$ Mil),           8385.33,           7919.62,           7877.14,           7963.49,           7023.14,           6365.74,           7781.76,           5700.02,           5166.64,           4278.66,           3891.11,           3081.63,           2770.02,           2294.43,           1292.81,           1820.78,           1382.35,           1576.33,,           1768.85,           1424.33,,,,,,
Jordan,World,Capital goods,Import,Import(US$ Mil),           3033.66,           3111.11,           2491.10,           2604.35,           2548.40,           2602.48,           3120.72,           2733.48,           2151.29,           2084.09,           1427.57,            995.22,            946.96,           1040.91,            823.73,            757.60,            862.85,            839.72,,            749.87,            740.31,,,,,,
Jordan,World,Consumer goods,Import,Import(US$ Mil),           9440.49,           8379.66,           8603.93,           6943.28,           5612.65,           5064.35,           5011.11,           4133.97,           3548.43,           3075.26,           2383.48,           1665.36,           1493.25,           1350.05,           1407.38,           1131.40,           1056.27,            932.69,,            898.84,            817.75,,,,,,
Jordan,World,Intermediate goods,Import,Import(US$ Mil),           5326.26,           5320.70,           4588.12,           4494.58,           3785.08,           3513.42,           4341.61,           3306.91,           2801.09,           2690.67,           2426.50,           1754.02,           1460.29,           1388.87,           1172.90,           1015.57,           1126.41,           1170.42,,           1236.19,           1063.61,,,,,,
Jordan,World,Raw materials,Import,Import(US$ Mil),           4412.26,           4275.90,           4565.12,           3868.08,           2954.44,           2549.37,           4106.66,           3109.07,           2675.88,           2356.51,           1720.00,           1089.64,            996.45,           1000.19,            471.48,            749.08,            754.73,            887.74,,            753.35,            717.30,,,,,,
Jordan,World,All Products,Import,Imports (in US$ Mil),          22740.26,          21549.02,          20691.38,          18301.08,          15262.00,          14075.30,          16871.60,          13531.10,          11446.91,          10454.58,           8143.58,           5653.15,           5019.69,           4871.32,           4013.14,           3676.80,           3828.45,           3842.76,,           3696.38,           3382.30,,,,,,
Jordan,...,...,Development,"GNI per capita, Atlas method (current US$)",   5160.00,   4940.00,   4660.00,   4370.00,   4120.00,   3900.00,   3530.00,   3030.00,   2720.00,   2490.00,   2280.00,   2000.00,   1880.00,   1840.00,   1790.00,   1650.00,   1600.00,   1580.00,   1560.00,   1560.00,   1450.00,   1390.00,   1360.00,   1160.00,   1430.00,   1690.00,   2340.00
Jordan,...,...,Trade Indicator,HH Market concentration index,      0.13,      0.09,      0.09,      0.09,      0.08,      0.10,      0.13,      0.12,      0.16,      0.16,      0.15,      0.12,      0.09,      0.07,      0.07,      0.09,      0.09,      0.06,,      0.09,      0.09,,,,,,
Jordan,...,...,Trade Indicator,Index of export market penetration,      2.92,      3.20,      3.04,      2.91,      3.03,      2.87,      3.05,      3.08,      2.84,      2.82,      2.58,      2.47,      2.35,      2.29,      2.26,      2.08,      2.09,      2.01,,      1.86,      1.82,,,,,,
Jordan,...,...,Development,Trade (% of GDP),    112.49,    114.44,    120.51,    121.51,    117.26,    114.96,    144.02,    145.99,    141.75,    146.91,    134.82,    115.86,    114.19,    109.44,    110.49,    104.62,    109.20,    120.90,    131.04,    124.58,    118.31,    130.49,    131.64,    137.26,    149.45,    130.46,    108.13
Jordan,...,...,Development,Trade Balance (% of GDP),    -25.93,    -29.48,    -28.02,    -26.20,    -20.80,    -23.20,    -31.01,    -37.52,    -34.00,    -41.50,    -30.29,    -20.99,    -19.22,    -25.05,    -26.71,    -17.87,    -19.49,    -22.27,    -25.30,    -21.14,    -22.61,    -29.82,    -31.18,    -22.48,    -29.78,    -18.35,    -21.23
Jordan,...,...,Development,Trade in services (% of GDP),,     32.54,     35.44,     35.41,     38.38,     35.70,     40.45,     41.92,     39.63,     39.36,,,,,,,,,,,,,,,,,
Jordan,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     10.52,     10.36,      9.39,      9.96,     10.85,     10.95,     10.37,      9.67,     10.45,      9.20,      8.40,      8.04,      6.65,      4.88,,,,,,,,,,,,,
Jordan,"Egypt, Arab Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,      4.54,      6.10,      4.33,      4.37,      4.21,,,,,,,,,,,,,,,,,,
Jordan,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      4.15,      3.82,      4.29,,,,,,,,,,,,
Jordan,Free Zones,All Products,Export,Partner share(%)-Top 5 Export Partner,      9.80,     11.36,      9.86,      8.68,      8.67,      8.67,      8.49,      9.20,      7.56,      7.78,      7.64,      9.07,      7.32,     11.30,     13.75,     10.10,,      6.78,,      6.12,      5.50,,,,,,
Jordan,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,      4.26,      6.05,      6.29,      5.99,      7.54,      7.78,      8.01,      6.82,      7.74,      9.26,      9.18,     13.06,      9.70,      9.79,     10.11,,      8.43,      7.80,,,,,,
Jordan,India,All Products,Export,Partner share(%)-Top 5 Export Partner,      7.76,      6.13,      8.97,     10.94,     11.15,     10.76,     16.47,      8.26,      7.68,      8.09,      6.54,      6.46,      8.17,      8.94,,     14.01,     11.94,      8.85,,      9.21,      8.88,,,,,,
