Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Japan,...,...,Development,GDP (current US$ Mil),        4601461.21,        4919563.11,        5954480.00,        5905630.00,        5495390.00,        5035140.00,        4849180.00,        4356350.00,        4356750.00,        4571870.00,        4655800.00,        4302940.00,        3980820.00,        4159860.00,        4731200.00,        4432600.00,        3914570.00,        4324280.00,        4706190.00,        5333930.00,        4850350.00,        4414960.00,        3852790.00,        3536800.00,        3103700.00,        3017052.05,        3015393.55
Japan,...,...,Export,No. Of Export partners,            214.00,            213.00,            212.00,            213.00,            215.00,            214.00,            214.00,            213.00,            215.00,            212.00,            212.00,            213.00,            214.00,            214.00,            216.00,            211.00,            209.00,            210.00,            209.00,            212.00,            211.00,            211.00,            206.00,            187.00,            190.00,            188.00,            187.00
Japan,...,...,Export,No. Of Export products,           4093.00,           4216.00,           4219.00,           4274.00,           4278.00,           4280.00,           4333.00,           4329.00,           4562.00,           4561.00,           4560.00,           4545.00,           4550.00,           4570.00,           4591.00,           4581.00,           4553.00,           4591.00,           4565.00,           4620.00,           4613.00,           4604.00,           4615.00,           4626.00,           4623.00,           4591.00,           4604.00
Japan,...,...,Import,No. Of Import partners,            211.00,            210.00,            207.00,            210.00,            209.00,            213.00,            210.00,            209.00,            211.00,            211.00,            210.00,            210.00,            210.00,            206.00,            211.00,            205.00,            197.00,            204.00,            205.00,            206.00,            207.00,            205.00,            203.00,            184.00,            183.00,            183.00,            178.00
Japan,...,...,Import,No. Of Import products,           4459.00,           4466.00,           4448.00,           4483.00,           4469.00,           4485.00,           4497.00,           4495.00,           4745.00,           4761.00,           4755.00,           4758.00,           4751.00,           4841.00,           4821.00,           4822.00,           4815.00,           4835.00,           4829.00,           4870.00,           4871.00,           4849.00,           4835.00,           4852.00,           4856.00,           4839.00,           4856.00
Japan,...,...,Tariff,No. Of Tariff Agreement,             17.00,             19.00,             21.00,             16.00,             18.00,             16.00,             13.00,             10.00,              9.00,              9.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,              7.00,,              7.00,              7.00,              7.00,              7.00,              7.00,              8.00,              7.00,              8.00
Japan,...,...,Development,Trade Balance (current US$ Mil),,        -139698.84,        -117701.00,         -53554.00,          65657.00,          18454.00,           9408.00,          73656.00,          54752.00,          64360.00,          91128.00,          71222.00,          53412.00,          26612.00,          68541.00,          70494.00,          73048.00,          46499.00,          21723.00,          72299.00,          96486.00,          96714.00,          81902.00,          55623.00,          28207.00,          44804.27,          64141.30
Japan,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          48320.88,          51026.04,          56375.19,          56688.39,          45096.68,          34751.48,          47531.82,          31252.15,          27927.42,          24513.20,          19454.41,          15078.83,          14018.04,          14459.94,,          12806.52,          13014.27,          14588.20,,          14558.43,          13641.65,          12216.77,          12445.49,          13016.15,          12391.03,          11610.32,          10284.71
Japan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         124986.39,         129401.39,         144207.68,         162035.39,         149450.76,         109727.43,         124900.52,         109270.66,          92769.55,          80074.35,          73938.66,          57415.49,          39823.42,          30995.76,          30382.10,          23340.19,          20086.25,          21745.51,,,,,,,,,
Japan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         181720.74,         180977.51,         188434.78,         183882.19,         153203.23,         122574.08,         143229.98,         127922.37,         118525.74,         108477.57,          94340.41,          75469.34,          61783.70,          57866.08,          55106.75,          42853.07,          37088.49,          41876.69,,          36017.10,          27483.60,          20437.10,          16925.93,          14202.01,          11997.22,          11163.36,           9866.36
Japan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,          19076.23,,,,,          18146.89,          20337.58,          20619.96,          17757.58,          15908.15,          15786.19
Japan,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          37803.80,          37418.39,,          42948.02,          42312.42,          31893.95,          40294.05,          38909.39,          36433.49,          35960.29,          35431.70,          29896.91,          25401.34,          23273.60,          27183.30,          22020.85,          22602.19,          27259.27,,          27725.07,          25712.89,          22666.75,          20734.10,          16319.86,          13064.78,          11508.42,          11708.65
Japan,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,          18702.46,          16468.10,          14183.11,          14869.74,          16381.58,,          10843.62,          14638.62,,,          12923.62,          12499.51,          12228.97,          12766.74,          12627.55,          11011.36,           9489.58
Japan,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          50488.05,          56513.45,          61538.16,          66174.01,          62361.08,          47273.09,          59492.56,          54333.49,          50270.02,          46629.90,          44257.40,          34805.62,          28568.79,          25298.08,          30700.38,          22890.55,,          26064.63,,          31225.96,          24317.73,          19066.77,          17793.39,          20079.29,          17428.52,          16591.88,          15437.86
Japan,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,          22046.50,          17902.67,          15484.61,          17198.03,          20448.86,          16034.89,          12076.01,          14583.80,,          17281.35,          13488.87,          11638.81,          11568.28,          12340.70,          11717.78,          13007.69,          11823.02
Japan,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          38908.96,          41612.72,          46019.15,          50960.36,          52470.98,          36434.43,          46117.64,          44889.15,          44102.73,          43578.16,          42012.04,          31235.65,          26239.66,          24230.41,          35945.45,          28775.32,          25600.22,          27568.35,,          28898.41,          23780.20,          22051.93,          21153.34,          18263.92,          15466.06,          15440.75,          14354.54
Japan,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,          17902.46,          12797.03,,,,          14350.19,,,,,,,
