Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kazakhstan,...,...,Development,GDP (current US$ Mil),         212247.91,         231876.28,         203517.00,         188049.00,         148047.00,         115309.00,         133442.00,         104850.00,          81003.90,          57123.70,          43151.60,          30833.70,          24636.60,          22152.70,          18292.00,          16870.80,          22135.20,          22165.90,          21035.40,          20374.30,          21250.80,          23409.00,          24906.90,          24881.10,          26932.70,,
Kazakhstan,...,...,Export,No. Of Export partners,            118.00,            120.00,            115.00,            118.00,            126.00,            109.00,            118.00,            122.00,            112.00,            104.00,            118.00,            109.00,            113.00,            109.00,            115.00,            120.00,            111.00,            117.00,            109.00,            116.00,,,,,,,
Kazakhstan,...,...,Export,No. Of Export products,           2639.00,           2648.00,           2481.00,           2612.00,           2261.00,           2471.00,           2358.00,           2345.00,           2356.00,           2342.00,           2337.00,           2099.00,           2029.00,           2117.00,           2157.00,,,,,,,,,,,,
Kazakhstan,...,...,Import,No. Of Import partners,            194.00,            199.00,            180.00,            186.00,            181.00,            177.00,            178.00,            176.00,            164.00,            146.00,            151.00,            139.00,            138.00,            154.00,            162.00,            136.00,            116.00,            112.00,            114.00,            107.00,,,,,,,
Kazakhstan,...,...,Import,No. Of Import products,           4351.00,           4369.00,           4338.00,           4310.00,           4135.00,           4103.00,           4256.00,           4335.00,           4297.00,           4265.00,           4242.00,           4191.00,           4204.00,           4177.00,           4097.00,,,,,,,,,,,,
Kazakhstan,...,...,Tariff,No. Of Tariff Agreement,              7.00,             14.00,             14.00,             14.00,             14.00,,             15.00,,,,              1.00,,,,,,,,,,,,,,,,
Kazakhstan,...,...,Development,Trade Balance (current US$ Mil),,          26790.02,          29735.10,          38162.70,          21244.90,           9121.80,          26685.60,           6777.50,           8503.10,           4927.60,           3707.40,           1656.00,            -12.40,           -234.60,           1372.83,            395.62,           -999.58,           -559.87,           -154.81,           -932.06,          -2136.23,          -2070.26,           -330.40,,,,
Kazakhstan,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           2192.63,           2011.30,           1221.21,           1185.80,,,,,,,,,,,,
Kazakhstan,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           1029.14,,,,,,,,,,,,
Kazakhstan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9815.02,          14373.75,          16484.41,          16291.51,          10122.07,           5888.59,           7676.61,           5635.91,           3592.51,           2422.51,           1966.91,           1653.08,           1018.68,            646.65,            670.57,,,,,,,,,,,,
Kazakhstan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7367.05,           8364.47,           7497.72,           5021.10,           3964.52,           3569.53,           4565.06,           3507.28,           1924.94,           1251.84,            758.23,            523.70,            313.03,,,,,,,,,,,,,,
Kazakhstan,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4689.70,           5460.11,           5632.97,           5414.72,           4433.13,           3381.51,           5388.68,           3982.71,           3346.97,           2665.15,           1468.22,,,,,,,,,,,,,,,,
Kazakhstan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            495.53,,,,,,,,,,,,,
Kazakhstan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2316.69,           2455.19,           2270.49,           2082.01,           1828.20,           2041.86,           2572.05,           2585.75,           1809.16,           1298.83,           1052.85,            733.72,            585.99,            485.53,            335.06,,,,,,,,,,,,
Kazakhstan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          16051.57,          16480.66,          15465.72,          15045.25,           9576.77,           6686.76,          11920.32,           7774.22,           6891.64,           4190.53,           3108.98,           1013.10,            904.22,            956.20,            917.57,,,,,,,,,,,,
