Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cambodia,...,...,Development,GDP (current US$ Mil),          16709.43,          15227.99,          14054.40,          12829.50,          11242.30,          10401.90,          10351.90,           8639.24,           7274.51,           6293.05,           5337.83,           4658.25,           4284.03,           3979.81,           3654.03,           3517.24,           3120.43,           3443.41,           3506.70,           3441.21,           2791.44,           2533.73,,,,,
Cambodia,...,...,Export,No. Of Export partners,,            149.00,            150.00,            147.00,            142.00,            143.00,            141.00,            140.00,            134.00,            130.00,            127.00,            113.00,            115.00,             94.00,             93.00,,,,,,,,,,,,
Cambodia,...,...,Export,No. Of Export products,,           1008.00,            960.00,            824.00,            793.00,            724.00,            655.00,            824.00,            750.00,            717.00,            741.00,            840.00,            702.00,            680.00,            696.00,,,,,,,,,,,,
Cambodia,...,...,Import,No. Of Import partners,,            128.00,            123.00,            126.00,            122.00,            120.00,            148.00,            134.00,            132.00,            111.00,            113.00,            108.00,            104.00,             92.00,             96.00,,,,,,,,,,,,
Cambodia,...,...,Import,No. Of Import products,,           2867.00,           2813.00,           2779.00,           2732.00,           2772.00,           2879.00,           2959.00,           2913.00,           2904.00,           2854.00,           2789.00,           2794.00,           2839.00,           2945.00,,,,,,,,,,,,
Cambodia,...,...,Tariff,No. Of Tariff Agreement,,,              1.00,              1.00,              1.00,,              2.00,              3.00,              2.00,              2.00,,              2.00,              2.00,              2.00,,,,,,,,,,,,,
Cambodia,...,...,Development,Trade Balance (current US$ Mil),          -1239.37,          -1229.22,           -798.75,           -695.41,           -611.37,           -696.61,           -231.24,           -657.99,           -540.36,           -545.14,           -389.64,           -467.69,           -379.08,           -345.06,           -435.45,           -460.35,           -410.13,           -402.91,           -646.41,           -529.89,           -359.65,           -420.85,,,,,
Cambodia,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            382.56,            274.42,            196.16,            291.46,            138.31,,            107.17,             94.46,             60.01,,,,,,,,,,,,,,,
Cambodia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           3004.29,           2162.20,           1738.93,           1186.28,            882.46,            933.36,            628.99,            524.57,            424.15,            341.06,            225.43,            197.56,            151.50,            114.51,,,,,,,,,,,,
Cambodia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             38.45,             35.10,             28.14,,,,,,,,,,,,
Cambodia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            615.26,            469.72,,,,,            185.13,            233.81,            225.40,            237.59,            155.14,            118.40,             98.87,             67.03,,,,,,,,,,,,
Cambodia,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1587.79,           1682.66,           1198.99,           1386.45,           1649.38,            840.82,            464.61,            543.30,            541.70,            615.78,            347.53,            438.15,            208.74,            266.31,,,,,,,,,,,,
Cambodia,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            668.97,            495.42,            479.38,            553.30,            484.66,            588.40,            684.50,            541.23,            450.41,            410.15,            413.67,            371.65,            294.30,            258.15,,,,,,,,,,,,
Cambodia,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            235.78,,,,,,,,,,,,,,,,,,,,,,
Cambodia,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            534.03,            512.92,            477.06,            341.79,            365.77,            383.12,            382.36,            291.58,            242.60,            188.88,            189.47,            174.46,            177.60,,,,,,,,,,,,
Cambodia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            793.58,            684.67,            441.88,            429.98,            482.45,,,            139.02,,,,,,,,,,,,,,,,,,
Cambodia,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            121.21,            118.52,            107.53,,,,,,,,,,,,
Cambodia,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1095.53,            902.26,            726.48,            690.72,            465.23,            696.60,            513.16,            415.59,            291.01,            230.88,            223.65,            238.55,            223.00,            224.70,,,,,,,,,,,,
Cambodia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            718.85,            528.03,            391.14,,            180.02,            155.92,            147.58,            153.24,            124.24,            175.24,            143.82,            132.92,            126.56,             82.90,,,,,,,,,,,,
Cambodia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           2174.02,           2032.78,           2107.19,           1905.61,           1555.06,           1970.29,           1883.47,           1901.50,           1597.76,           1311.58,           1128.56,            961.81,            833.85,            750.53,,,,,,,,,,,,
Cambodia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1125.35,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            170.79,,,,,,,,,,,,,,,,,,,,
Cambodia,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            987.56,            937.01,            882.92,            487.29,            493.81,            471.59,            348.25,            270.27,            181.89,            168.64,            129.58,,,,,,,,,,,,,,,
Cambodia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,         964750.73,         905033.40,         784505.44,,         362619.98,         294303.51,         193468.01,         145596.72,,          85784.50,          74604.66,          73370.30,,,,,,,,,,,,,
Cambodia,World,Animal,Export,Export(US$ Mil),,              1.45,              2.26,              3.68,              2.96,              4.18,              2.41,              3.03,              5.08,             10.33,             14.52,              4.12,              5.50,             11.76,              8.77,,,,,,,,,,,,
Cambodia,World,Capital goods,Export,Export(US$ Mil),,            229.48,             73.81,             35.90,            199.21,            105.13,             49.73,             20.81,             21.33,             47.78,             38.41,             26.39,             27.84,             13.26,             10.44,,,,,,,,,,,,
Cambodia,World,Chemicals,Export,Export(US$ Mil),,              2.41,              2.91,              4.86,              3.85,              3.71,              0.97,              2.12,              1.39,              1.28,              1.74,              0.79,              0.50,              0.13,              0.17,,,,,,,,,,,,
Cambodia,World,Consumer goods,Export,Export(US$ Mil),,           8589.69,           7437.75,           6339.13,           5199.05,           4655.28,           4108.92,           3398.54,           3431.11,           2860.15,           2657.95,           1995.53,           1801.82,           1398.99,           1284.66,,,,,,,,,,,,
Cambodia,World,Food Products,Export,Export(US$ Mil),,            114.86,             54.63,             40.70,             35.28,             25.36,              9.46,             10.03,              9.36,              8.83,              4.40,              2.52,              4.10,              3.18,              2.86,,,,,,,,,,,,
Cambodia,World,Footwear,Export,Export(US$ Mil),,            382.56,            311.02,            277.32,            184.09,            112.58,             93.89,             83.77,             66.79,             46.16,             48.43,             41.25,             43.02,             41.44,             36.25,,,,,,,,,,,,
Cambodia,World,Fuels,Export,Export(US$ Mil),,              0.07,              0.85,,              0.01,,              0.00,,,              0.00,              0.03,              0.02,              0.01,              0.05,              0.01,,,,,,,,,,,,
Cambodia,World,Hides and Skins,Export,Export(US$ Mil),,             19.87,              9.38,              3.28,              1.33,              1.09,              0.86,              0.77,              2.35,              0.44,              0.59,              0.28,              1.63,              1.87,              2.48,,,,,,,,,,,,
