Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Korea, Rep.",...,...,Development,GDP (current US$ Mil),        1410382.94,        1305604.96,        1222810.00,        1202460.00,        1094500.00,         901935.00,        1002220.00,        1122680.00,        1011800.00,         898137.00,         764881.00,         680521.00,         609020.00,         533052.00,         561633.00,         486315.00,         376482.00,         560485.00,         603413.00,         559330.00,         458704.00,         391963.00,         356118.00,         332325.00,         284757.00,         248768.50,         202308.37
"Korea, Rep.",...,...,Export,No. Of Export partners,,            225.00,            225.00,            225.00,            222.00,            224.00,            219.00,            219.00,            218.00,            220.00,            223.00,            220.00,            219.00,            219.00,            223.00,            210.00,            205.00,            202.00,            201.00,            203.00,            204.00,            198.00,            187.00,            182.00,            162.00,            162.00,            163.00
"Korea, Rep.",...,...,Export,No. Of Export products,,           4275.00,           4235.00,           4261.00,           4241.00,           4224.00,           4216.00,           4181.00,           4358.00,           4386.00,           4361.00,           4347.00,           4364.00,           4354.00,           4371.00,           4365.00,           4359.00,           4327.00,           4333.00,           4398.00,           4345.00,           4249.00,           4171.00,           4171.00,           4142.00,           4140.00,           4164.00
"Korea, Rep.",...,...,Import,No. Of Import partners,,            223.00,            224.00,            220.00,            221.00,            220.00,            220.00,            218.00,            223.00,            216.00,            218.00,            218.00,            214.00,            211.00,            215.00,            188.00,            179.00,            191.00,            187.00,            175.00,            177.00,            173.00,            162.00,            167.00,            135.00,            138.00,            128.00
"Korea, Rep.",...,...,Import,No. Of Import products,,           4504.00,           4507.00,           4537.00,           4530.00,           4532.00,           4532.00,           4520.00,           4764.00,           4766.00,           4767.00,           4755.00,           4753.00,           4803.00,           4805.00,           4790.00,           4731.00,           4782.00,           4767.00,           4812.00,           4793.00,           4773.00,           4767.00,           4773.00,           4754.00,           4748.00,           4736.00
"Korea, Rep.",...,...,Tariff,No. Of Tariff Agreement,,              6.00,              6.00,              5.00,              6.00,              6.00,              6.00,             12.00,              6.00,              6.00,              5.00,              6.00,              2.00,              4.00,              2.00,              2.00,              2.00,              2.00,,              2.00,,,              2.00,,              2.00,              4.00,              7.00
"Korea, Rep.",...,...,Development,Trade Balance (current US$ Mil),          75254.27,          65011.29,          34169.00,          17975.00,          34859.00,          42273.00,           -107.00,          12645.00,           7904.00,          21870.00,          29287.00,          13687.00,           9136.00,           8283.00,          11628.00,          29781.00,          44456.00,          -3117.00,         -19375.00,          -5651.00,          -3143.00,           1416.00,          -3820.50,          -8185.70,          -2836.40,           4746.67,          13389.48
"Korea, Rep.",Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          26316.08,          20454.64,          14755.93,,,,,,,           5973.31,           5534.11,           5958.13,           4671.94,           4603.96,           5893.91,,,,,,,           2589.10,           2243.05,           1797.32
"Korea, Rep.",Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1882.25,
"Korea, Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,         145869.50,         134322.40,         134185.01,         116837.80,          86703.25,          91388.90,          81985.13,          69459.18,          61914.97,          49763.18,          35109.72,          23753.23,          18186.81,          18454.54,          13684.57,          10966.59,          13572.45,,           9143.56,           6202.95,           5150.96,,,,,
"Korea, Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          83051.45,          80782.20,          86430.97,          71573.12,          54245.68,          76926.97,          63025.15,          48556.60,          38648.08,          29584.76,          21909.06,          17399.68,          13302.62,          12798.65,           8866.61,           6227.48,          10116.69,,           7400.93,           5462.70,           3928.55,           3724.73,           3440.15,,,
"Korea, Rep.",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           4313.47,           3592.78,           2876.96,           3192.38,           2849.16,           2137.19,           2367.57
