Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lebanon,...,...,Development,GDP (current US$ Mil),          45730.95,          44352.42,          43205.10,          40078.90,          38010.00,          35139.60,          28829.90,          24577.10,          21796.40,          21287.60,          20955.20,          20082.90,          19152.20,          17649.80,          17260.40,          17391.10,          17247.20,          15751.90,          13690.20,          11718.80,           9599.13,           7535.26,           5545.92,           4451.50,           2838.49,           2718.00,           3313.54
Lebanon,...,...,Export,No. Of Export partners,,            176.00,            174.00,            167.00,            175.00,            177.00,            174.00,            173.00,            169.00,            171.00,            153.00,            160.00,            157.00,            151.00,            145.00,            143.00,            149.00,            145.00,,,,,,,,,
Lebanon,...,...,Export,No. Of Export products,,           2895.00,           2865.00,           2951.00,           2895.00,           2897.00,           2969.00,           2966.00,           2965.00,           2722.00,           2754.00,           2924.00,           2778.00,           2631.00,           2477.00,           2549.00,           2616.00,           2587.00,,,,,,,,,
Lebanon,...,...,Import,No. Of Import partners,,            198.00,            200.00,            201.00,            196.00,            196.00,            200.00,            196.00,            189.00,            186.00,            186.00,            185.00,            184.00,            186.00,            178.00,            183.00,            186.00,            188.00,,,,,,,,,
Lebanon,...,...,Import,No. Of Import products,,           4056.00,           3969.00,           4073.00,           4084.00,           4074.00,           4079.00,           4046.00,           4217.00,           4067.00,           4085.00,           4293.00,           4283.00,           4305.00,           4226.00,           4217.00,           4300.00,           4381.00,,,,,,,,,
Lebanon,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,              2.00,              2.00,              1.00,              1.00,,              8.00,              1.00,              1.00,              1.00,,,,,,,,,,,
Lebanon,...,...,Development,Trade Balance (current US$ Mil),          -5422.33,          -6339.26,          -8887.50,         -11203.40,          -9729.40,          -8615.50,          -8709.80,          -6103.48,          -4641.51,          -4413.89,          -4626.89,          -4140.63,          -3609.29,          -4297.18,          -3755.89,          -3945.36,          -4689.57,          -5201.69,          -5805.20,          -6037.81,          -5234.49,          -4606.10,          -3576.02,          -3160.91,          -2325.03,          -1990.04,
Lebanon,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           2283.35,           1736.80,           1624.48,           1638.47,           1439.68,           1390.92,           1017.98,            750.56,            734.42,            717.61,            530.63,            434.89,            410.83,,,,,,,,,,,,,
Lebanon,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            348.96,,,,,,,,,,             36.89,             52.31,             46.44,             46.39,,,,,,,,,
Lebanon,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1535.48,           1534.00,           1509.76,           1196.63,           1567.74,           1336.73,            883.42,            760.90,            789.20,            730.73,            583.16,            517.22,            615.31,            526.21,            595.32,            687.83,            710.00,,,,,,,,,
Lebanon,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1242.32,           1186.98,           1140.38,           1259.85,           1237.25,           1027.19,            749.93,            659.87,            656.89,            728.85,            578.47,            582.38,            623.05,            519.58,            552.60,            613.41,            648.09,,,,,,,,,
Lebanon,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            272.36,,,            266.98,            270.73,            269.00,            147.58,            136.26,            178.37,            255.49,            121.76,             71.11,             68.00,,,,,,,,,,,,,
Lebanon,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1789.95,           1811.72,           1868.40,           1394.27,           1224.60,           1107.63,           1058.79,            709.64,            971.21,            927.02,            674.35,            693.25,            708.52,            680.04,            679.18,            812.65,            986.95,,,,,,,,,
Lebanon,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            346.95,            350.95,            308.02,,            242.80,            208.86,            187.31,            146.20,            139.79,,            104.27,             95.98,             85.40,             77.68,             70.92,             86.53,             96.89,,,,,,,,,
Lebanon,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            398.06,            864.66,            673.29,            344.43,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            547.51,            514.89,            502.59,            777.45,            328.99,            308.14,            450.99,            125.08,            185.90,            379.10,            132.13,             63.21,             50.96,             44.57,,,,,,,,,,,
Lebanon,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            431.16,            442.37,            445.45,            492.30,,,,,,,,,
Lebanon,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            523.82,            294.00,,,            225.44,            223.59,            209.94,            175.74,            187.45,            145.13,             99.50,             75.58,,,,             46.33,             37.61,,,,,,,,,
Lebanon,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            276.08,,,,,,,            127.25,,,,,,,,,,,,,,,,
