Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Libya,...,...,Development,GDP (current US$ Mil),          41119.14,          65509.59,          81905.40,          34699.40,          74773.40,          63028.30,          87140.40,          67516.20,          54961.90,          47334.70,          33122.30,          26265.60,          20481.90,          34112.30,          38271.00,          35975.90,          27251.50,          30700.90,          27884.60,          25541.40,          28610.50,          30660.10,          33887.00,          31992.70,          28904.90,,
Libya,...,...,Export,No. Of Export partners,,,,,             48.00,             44.00,             49.00,             48.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Export,No. Of Export products,,,,,             48.00,             46.00,             44.00,             57.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Import,No. Of Import partners,,,,,            100.00,            105.00,             96.00,             96.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Import,No. Of Import products,,,,,           2612.00,           3242.00,           3044.00,           3267.00,,,,,,,,,,,,,,,,,,,
Libya,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,...,...,Development,Trade Balance (current US$ Mil),         -12711.86,           3672.22,          28554.30,           3483.10,          17577.40,          10345.50,          37928.20,          29149.30,          24875.80,          17311.60,          10394.60,           6188.12,           2186.61,           3379.83,           6825.54,           2028.84,           -412.78,           1516.71,           1327.84,           1726.67,            262.65,          -1012.59,           1735.00,            981.05,           2472.74,,
Libya,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           3407.18,           3049.16,,,,,,,,,,,,,,,,,,,,,
Libya,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1724.61,           1561.08,           1011.90,            679.13,,,,,,,,,,,,,,,,,,,
Libya,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            459.15,,,,,,,,,,,,,,,,,,,
