Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
St. Lucia,...,...,Development,GDP (current US$ Mil),           1365.43,           1335.76,           1302.67,           1289.53,           1244.30,           1176.61,           1171.37,           1143.48,           1059.66,            935.46,            885.24,            805.84,            741.97,            738.76,            780.89,            692.51,            657.53,            604.41,            566.37,            560.81,            517.57,            492.03,            478.00,            431.47,            397.19,            311.51,            273.98
St. Lucia,...,...,Export,No. Of Export partners,,,,,,,             84.00,             49.00,             71.00,             61.00,             67.00,             61.00,             61.00,             47.00,             47.00,             48.00,             41.00,             45.00,             40.00,             50.00,             43.00,             42.00,             42.00,,,,
St. Lucia,...,...,Export,No. Of Export products,,,,,,,           1438.00,            813.00,           1029.00,            947.00,            973.00,           1077.00,           1089.00,            692.00,            654.00,            540.00,            438.00,            584.00,            447.00,            772.00,            735.00,            889.00,            758.00,,,,
St. Lucia,...,...,Import,No. Of Import partners,,,,,,,            109.00,            114.00,            131.00,            126.00,            122.00,            112.00,            114.00,            103.00,            105.00,            104.00,             92.00,            102.00,             95.00,             95.00,             91.00,             94.00,             95.00,,,,
St. Lucia,...,...,Import,No. Of Import products,,,,,,,           3225.00,           3190.00,           3313.00,           3129.00,           3164.00,           3173.00,           3083.00,           3120.00,           3266.00,           2423.00,           2468.00,           2398.00,           2362.00,           2378.00,           2476.00,           2503.00,           2516.00,,,,
St. Lucia,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,              2.00,              2.00,              1.00,,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,
St. Lucia,...,...,Development,Trade Balance (current US$ Mil),           -103.98,           -150.78,           -147.83,           -243.38,           -178.56,           -104.01,           -284.22,           -290.26,           -266.48,            -69.93,            -36.06,           -109.58,            -81.77,            -74.89,            -69.07,            -63.15,            -40.15,            -55.62,            -34.89,             -9.90,            -29.40,            -29.20,            -42.10,            -58.10,            -46.10,            -68.40,            -21.20
St. Lucia,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              1.39,              1.92,              1.72,,,,,,,,,,,
St. Lucia,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             13.89,              6.40,              6.17,              6.46,              6.45,              5.36,              5.98,              6.01,              4.77,              4.12,              2.21,              2.04,,              2.77,              2.12,              2.31,              4.03,,,,
St. Lucia,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             23.14,             25.67,             26.27,             14.60,             14.64,,,,,,,,,,,,,,,,
St. Lucia,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             10.53,              9.03,              9.31,             13.59,             11.67,             11.18,,,             11.75,             11.72,             10.04,             10.68,,,,
