Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Latin America & Caribbean,...,...,Development,GDP (current US$ Mil),        6298365.25,        6259032.23,        6125380.00,        6091240.00,        5375150.00,        4345210.00,        4621570.00,        3977500.00,        3368060.00,        2869440.00,        2370130.00,        2039950.00,        1982530.00,        2205820.00,        2265010.00,        2050830.00,        2271180.00,        2254410.00,        2059740.00,        1910950.00,        1792320.00,        1561130.00,        1344340.00,        1240260.00,        1167290.00,        1003354.32,         902542.22
Latin America & Caribbean,...,...,Export,No. Of Export partners,            230.00,            233.00,            233.00,            232.00,            230.00,            231.00,            232.00,            233.00,            228.00,            231.00,            228.00,            227.00,            228.00,            227.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
Latin America & Caribbean,...,...,Export,No. Of Export products,           4583.00,           4600.00,           4629.00,           4650.00,           4649.00,           4669.00,           4719.00,           4825.00,           4839.00,           4869.00,           4860.00,           4871.00,           4892.00,           4909.00,           4895.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
Latin America & Caribbean,...,...,Import,No. Of Import partners,            235.00,            238.00,            237.00,            236.00,            234.00,            235.00,            234.00,            234.00,            232.00,            232.00,            234.00,            231.00,            233.00,            230.00,            228.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
Latin America & Caribbean,...,...,Import,No. Of Import products,           4756.00,           4812.00,           4864.00,           4864.00,           4871.00,           4877.00,           4904.00,           4922.00,           4928.00,           4951.00,           4951.00,           4957.00,           4959.00,           4968.00,           4966.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
Latin America & Caribbean,...,...,Tariff,No. Of Tariff Agreement,            961.00,            931.00,            986.00,            944.00,            842.00,            830.00,            869.00,            557.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
Latin America & Caribbean,...,...,Development,Trade Balance (current US$ Mil),        -133084.79,        -115797.55,         -49350.00,           1260.00,          24310.00,            328.00,          -5010.00,          41312.00,          77131.00,          65776.00,          48256.00,          30926.00,          12923.00,         -23829.00,         -16933.00,         -22541.00,         -56309.00,         -40618.00,         -15332.00,         -10929.00,         -28358.00,         -17426.00,         -15813.00,            455.00,          20100.00,          22556.95,          15165.36
Latin America & Caribbean,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          28922.03,          23461.78,,,          18072.36,,,,,,           6538.27,           7981.52,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
Latin America & Caribbean,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,          12498.40,          12581.82,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
Latin America & Caribbean,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          34562.78,          38296.78,          37692.26,          37292.12,          31289.51,          21611.47,          28977.14,          20660.41,          17331.54,          12649.68,          10224.63,           8207.05,           8252.47,          10007.67,          11412.29,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
Latin America & Caribbean,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37673.73,          47507.11,          47713.08,          53418.13,          43617.34,          32143.10,          46835.27,          39626.83,          34600.60,          30165.72,          22660.28,          15450.70,          11406.78,          13457.21,          13571.58,          10886.28,          13153.80,          13085.51,          10636.67,           9338.62,           9631.48,           6909.99,           3163.11,,,,
Latin America & Caribbean,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          21456.56,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          85294.89,          92949.63,          83785.82,          86445.52,          67772.35,          46024.10,          39426.22,          33823.02,          23135.21,          19134.44,          14326.58,          11252.20,,,,,,,,,,,,,,,
Latin America & Caribbean,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         169083.50,         171424.44,         160116.82,         151399.57,         119948.04,          81673.01,          96088.87,          71842.38,          54447.51,          36394.31,          27686.52,          17858.97,          12443.42,,,,,,,,,,,,,,
Latin America & Caribbean,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1298.83,
Latin America & Caribbean,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,           2250.91,           1685.79,,
Latin America & Caribbean,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           7730.37,,,           6886.29,           7669.61,           7310.23,,,           6612.61,           5990.79,           4141.54,           4089.45,           4167.51,           3110.07,           1571.94,
Latin America & Caribbean,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          40510.79,          43666.41,          42057.66,          42417.99,          34766.24,          28665.09,          35473.17,          27728.37,          23062.20,          20932.00,          17349.64,          14517.38,          14472.32,          15310.23,          14283.46,          14312.78,          15575.96,          14544.49,          12827.73,          12678.57,          10789.57,           7806.81,           5912.92,           5387.30,           4063.52,           1626.54,
Latin America & Caribbean,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           1691.86,
Latin America & Caribbean,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           6591.83,           7124.32,           7701.25,           6985.15,           6503.89,           8804.48,           8601.42,           8812.75,           7179.21,           5382.86,           5462.59,           5798.60,           5179.78,           2416.17,
Latin America & Caribbean,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          33073.48,          35358.08,          37307.92,          36831.05,          33523.95,          25278.19,          35950.81,          31533.21,          27766.96,          23647.39,          19277.98,          14791.80,          16559.32,          16433.72,          14465.27,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
Latin America & Caribbean,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          24176.78,,,,,          17931.03,          24862.09,          20270.71,          16596.45,          13291.91,          12206.85,          10653.36,           7331.28,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
Latin America & Caribbean,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          33467.91,          27491.08,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
Latin America & Caribbean,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         410338.88,         397836.81,         392598.47,         375717.76,         322161.83,         256000.27,         355896.40,         307764.00,         326885.22,         283021.44,         249482.23,         204248.30,         194726.73,         188472.51,         204172.43,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
Latin America & Caribbean,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         323685.87,         332448.08,         334673.52,         316706.84,         259417.47,         208525.39,         268395.48,         232148.75,         206963.59,         185451.98,         163529.74,         150689.68,         152866.86,         165651.79,         177456.34,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
Latin America & Caribbean,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          61793.98,          74869.39,          78313.04,          58195.69,          53382.21,          34025.86,,          19319.22,          20615.86,          13391.80,,           9375.51,           8115.99,,,,,,,,,,,,,
Latin America & Caribbean,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      249868314.41,      415887566.37,      431357037.72,      446589603.37,      342891699.38,      338456658.86,      463345056.87,      355957461.33,      309097303.65,      238182504.73,      214110493.85,       42358110.21,       85874804.90,       42892436.30,       32646023.03,       17719493.42,       24680681.97,       21963495.09,       16285019.72,       36394630.43,        5604487.38,        7348945.97,        6276033.65,       11785871.80,        7698031.18,        1322713.98,
Latin America & Caribbean,World,Animal,Export,Export(US$ Mil),          42439.15,          39258.99,          36403.24,          35905.41,          29928.46,          26796.84,          30988.58,          25160.09,          22055.59,          19830.92,          16500.83,          12386.50,          10280.82,          10084.26,           9444.69,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
Latin America & Caribbean,World,Capital goods,Export,Export(US$ Mil),         222787.89,         218078.75,         205401.43,         189743.41,         166061.00,         126902.99,         160302.50,         142719.58,         138295.54,         121639.64,         107843.81,          90980.04,          86508.37,          86712.54,          87456.64,          72385.50,          60966.86,          53094.95,          43130.51,          36068.12,          30098.11,          24164.51,          19880.91,           9817.19,           8704.85,           5470.02,
Latin America & Caribbean,World,Chemicals,Export,Export(US$ Mil),          37220.22,          38783.31,          40402.20,          44904.68,          39275.69,          32364.23,          38228.30,          30342.75,          27165.60,          23516.27,          20377.58,          16266.85,          14722.33,          14893.73,          14761.05,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
