Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sri Lanka,...,...,Development,GDP (current US$ Mil),          74941.18,          67206.13,          59391.50,          59180.60,          49565.60,          42066.20,          40713.80,          32350.20,          28279.80,          24406.30,          20662.50,          18881.80,          17102.60,          15746.20,          16330.80,          15656.30,          15795.00,          15091.90,          13897.70,          13029.70,          11717.60,          10338.70,           9703.01,           9000.36,           8032.55,           6987.27,           6978.37
Sri Lanka,...,...,Export,No. Of Export partners,            192.00,            192.00,            201.00,            204.00,            206.00,            196.00,            190.00,            183.00,            189.00,            187.00,            185.00,            187.00,            186.00,            182.00,            183.00,            173.00,,,,,            148.00,            149.00,            125.00,            127.00,            132.00,,
Sri Lanka,...,...,Export,No. Of Export products,           3001.00,           2632.00,           2982.00,           2460.00,           2381.00,           2362.00,           2630.00,           2861.00,           2977.00,           2914.00,           3040.00,           2941.00,           3022.00,           2961.00,           2892.00,           2705.00,,,,,           2416.00,           2271.00,           2160.00,           2066.00,           2034.00,,
Sri Lanka,...,...,Import,No. Of Import partners,            193.00,            183.00,            174.00,            175.00,            155.00,            150.00,            148.00,            146.00,            147.00,            138.00,            135.00,            134.00,            129.00,            120.00,            130.00,            123.00,,,,,            139.00,            121.00,            108.00,            111.00,            103.00,,
Sri Lanka,...,...,Import,No. Of Import products,           4165.00,           4190.00,           4212.00,           4210.00,           4119.00,           4077.00,           4110.00,           4287.00,           4333.00,           4383.00,           4377.00,           4341.00,           4346.00,           4369.00,           4375.00,           4405.00,,,,,           4472.00,           4497.00,           4422.00,           4379.00,           4357.00,,
Sri Lanka,...,...,Tariff,No. Of Tariff Agreement,             10.00,,             10.00,             10.00,             10.00,             10.00,             10.00,              9.00,              9.00,              9.00,              9.00,              7.00,,              8.00,              8.00,,,,,,             12.00,             13.00,,,              3.00,,
Sri Lanka,...,...,Development,Trade Balance (current US$ Mil),          -6407.15,          -6403.96,          -8115.70,          -8612.70,          -4117.90,          -2731.06,          -5572.10,          -3356.83,          -3111.91,          -2179.58,          -1822.67,          -1138.43,          -1113.11,           -981.97,          -1731.89,          -1218.70,           -948.86,          -1065.69,          -1240.69,          -1360.28,          -1383.27,           -986.88,           -898.79,           -910.28,           -633.15,           -663.55,           -750.90
Sri Lanka,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            464.36,            545.79,,            368.07,            409.58,            407.00,            334.92,            258.23,            195.77,            171.87,            258.06,,            152.63,            135.85,,,,,,,,,,,
Sri Lanka,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            189.06,            176.29,            134.96,             78.86,             96.90,,
Sri Lanka,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3414.30,           2959.70,           2567.87,           2134.76,           1241.65,            881.01,           1107.78,            928.98,            779.70,            630.13,            453.18,            329.13,,,,,,,,,,,,,,,
Sri Lanka,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            503.69,            467.60,,,            400.57,            347.96,,            438.05,            328.46,            270.53,            271.08,            229.03,            199.16,            198.46,            225.57,            213.11,,,,,            222.38,            226.84,            211.90,            148.83,            126.72,,
Sri Lanka,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            515.92,            694.23,            724.21,            659.06,            647.75,            618.27,            559.64,            490.78,            501.07,            506.18,            457.16,,,,,            316.46,            311.41,            240.99,            212.65,,,
Sri Lanka,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            733.40,            543.12,            598.63,            521.26,            467.18,,            417.95,            515.83,            489.04,            558.82,            384.53,            241.15,            170.45,,,,,,,,,,,,,,
Sri Lanka,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3977.63,           3125.81,           3517.05,           4349.23,           2549.44,           1694.02,           2836.23,           2781.38,           1805.13,           1439.30,           1355.26,           1076.52,            833.98,            602.39,            588.87,            509.44,,,,,            404.30,            341.77,            301.93,            220.03,,,
Sri Lanka,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            661.82,           1438.63,            657.92,            846.39,           1196.68,            750.24,            719.74,            498.94,            459.91,,,,,,,,,,,,,,            222.26,,
Sri Lanka,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            614.76,            510.23,            516.61,            609.58,            462.99,            437.51,            444.91,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            185.76,            225.11,            155.27,,,,,            165.20,            147.49,            128.07,            101.57,            102.38,,
Sri Lanka,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            941.09,,,           1025.10,            584.84,,,,,,,            448.26,            355.01,            337.39,            633.93,            558.48,,,,,            526.45,            451.07,            415.69,            357.78,            325.29,,
Sri Lanka,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            303.50,            335.99,            388.91,            385.12,,,,,            326.17,            260.73,,            219.03,,,
Sri Lanka,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            773.75,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            224.91,            214.05,            207.39,            155.79,,
Sri Lanka,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1270.05,           1798.38,           1286.75,           1538.83,           1615.42,           1104.99,           1599.31,           1106.87,            981.93,            737.50,            730.22,            522.37,            432.95,            411.05,            486.58,            444.89,,,,,,,            237.65,,,,
Sri Lanka,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            145.37,,,,,,,,,,,,,
Sri Lanka,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1755.93,           1224.38,           1293.17,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1117.95,           1076.69,           1061.57,           1110.30,           1021.91,           1024.06,           1090.11,           1017.16,            878.87,            774.84,            774.25,            638.23,            589.87,            576.27,            721.98,            600.27,,,,,            285.29,            202.89,            170.26,            126.19,            115.11,,
Sri Lanka,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,            145.95,,
Sri Lanka,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2723.25,           2495.84,           2116.80,           2143.90,           1767.69,           1589.75,           1886.24,           1977.98,           2002.37,           1983.23,           1860.59,           1774.31,           1763.01,           1925.67,           2148.82,           1784.00,,,,,           1114.94,           1003.76,            837.97,            558.96,            492.55,,
Sri Lanka,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            284.59,,,,            207.64,,
Sri Lanka,World,All Products,Tariff,Duty Free Imports (US$ Thousand),       10364748.61,,        9721989.72,       10517831.08,        6433829.53,        3542498.60,        4284687.82,        4295844.81,        3398767.46,        2922238.23,        2844982.21,        2341306.61,,        2488500.46,        2742112.28,,,,,,         141823.29,         122828.36,,,          95844.94,,
Sri Lanka,World,Animal,Export,Export(US$ Mil),            275.13,            251.24,            208.31,            202.35,            178.97,            184.31,            179.13,            177.42,            142.39,            107.09,             96.48,            102.37,             85.80,            103.30,            136.67,             75.11,,,,,             67.49,             47.68,             33.46,             24.51,             25.87,,
Sri Lanka,World,Capital goods,Export,Export(US$ Mil),            531.63,            404.40,            490.19,            466.69,            359.24,            248.72,            335.34,            426.28,            233.61,            180.82,            160.66,            144.86,            145.71,            195.10,            227.03,            160.67,,,,,             65.59,             54.12,             35.28,             38.14,             25.60,,
Sri Lanka,World,Chemicals,Export,Export(US$ Mil),            164.16,            142.08,            138.01,            136.04,             95.14,             78.17,             77.69,             71.51,             68.12,             73.20,             55.48,             36.16,             33.31,             29.76,             32.68,             27.69,,,,,             26.07,             30.40,             23.54,             19.45,             17.66,,
Sri Lanka,World,Consumer goods,Export,Export(US$ Mil),           8749.48,           7895.73,           7129.20,           7647.04,           6217.12,           5442.11,           5977.54,           5419.73,           4915.85,           4518.52,           4191.91,           3757.56,           3563.05,           3761.02,           4177.86,           3605.52,,,,,           2395.08,           2135.60,           1850.51,           1464.18,           1335.07,,
Sri Lanka,World,Food Products,Export,Export(US$ Mil),            351.66,            312.85,            330.73,            331.49,            263.71,            224.29,            224.12,            176.35,            141.21,            103.75,            107.46,             92.96,             80.72,             70.59,             60.16,             57.66,,,,,             56.37,             55.13,             53.52,             21.67,             13.70,,
Sri Lanka,World,Footwear,Export,Export(US$ Mil),            118.13,             58.14,             37.53,             48.73,             45.40,             36.47,             42.78,             45.73,             41.24,             34.56,             35.89,             43.64,             47.46,             67.34,             90.19,             97.70,,,,,             72.84,             53.97,             44.28,             21.84,             14.44,,
Sri Lanka,World,Fuels,Export,Export(US$ Mil),            295.43,             31.66,             33.22,             44.11,             13.23,              2.10,              2.04,              2.20,              7.87,              0.51,              8.23,              0.91,             14.28,             19.89,             26.11,             19.31,,,,,             22.39,             17.87,             13.10,             27.47,             27.87,,
Sri Lanka,World,Hides and Skins,Export,Export(US$ Mil),             23.38,             21.66,             19.36,             19.72,             17.05,             13.54,             16.66,             16.81,             20.53,             29.76,             29.42,             37.17,             64.83,            117.49,            118.35,            132.15,,,,,             51.32,             33.25,             22.86,             34.38,             14.31,,
Sri Lanka,World,Intermediate goods,Export,Export(US$ Mil),           1206.93,           1015.44,           1036.04,           1064.61,            986.44,            793.97,           1041.98,            994.24,            902.81,            909.74,            705.50,            608.72,            638.55,            431.75,            500.85,            336.43,,,,,            369.14,            333.48,            250.53,            218.54,            235.56,,
Sri Lanka,World,Mach and Elec,Export,Export(US$ Mil),            423.82,            312.67,            357.67,            312.33,            261.59,            187.16,            322.01,            371.05,            219.02,            175.46,            197.28,            157.69,            135.81,            193.87,            236.15,            170.83,,,,,             73.56,             65.73,             41.69,             39.26,             23.56,,
Sri Lanka,World,Metals,Export,Export(US$ Mil),             71.93,             59.38,             63.32,             56.29,             57.16,             36.11,             56.92,             80.90,            166.62,            240.03,            182.66,            147.18,             96.05,             21.52,             24.69,             19.55,,,,,             21.90,             17.06,             28.49,             25.02,             31.54,,
Sri Lanka,World,Minerals,Export,Export(US$ Mil),             28.41,             24.13,             42.85,             32.85,             22.39,             16.47,             21.40,             24.24,             18.11,             27.30,             15.46,              8.13,              6.08,              6.08,              4.66,              4.19,,,,,              7.86,              7.56,              7.43,              6.16,             15.06,,
Sri Lanka,World,Miscellaneous,Export,Export(US$ Mil),            207.29,            162.24,            170.67,            156.64,            267.73,            231.94,            370.28,            390.61,            264.49,            205.93,             73.24,             64.40,            144.62,            118.85,            149.97,            130.84,,,,,            146.95,            122.65,            109.46,             74.93,             88.79,,
Sri Lanka,World,Plastic or Rubber,Export,Export(US$ Mil),           1012.26,           1014.78,           1044.42,           1145.24,            785.09,            522.52,            723.19,            649.21,            601.00,            501.03,            386.89,            315.38,            245.16,            233.01,            262.90,            225.99,,,,,            192.49,            152.53,            141.24,            106.49,            118.37,,
Sri Lanka,World,Raw materials,Export,Export(US$ Mil),            798.92,            684.56,            695.39,            827.14,            601.68,            518.45,            572.63,            545.29,            546.66,            427.60,            403.12,            347.11,            299.76,            279.98,            352.45,            302.56,,,,,            315.13,            261.13,            263.91,            208.33,            239.44,,
Sri Lanka,World,Stone and Glass,Export,Export(US$ Mil),            485.55,            563.57,            500.62,            568.21,            535.84,            513.79,            673.47,            578.87,            482.45,            380.04,            300.49,            275.07,            358.60,            217.57,            230.64,            190.46,,,,,            292.70,            263.62,            206.31,            155.70,            188.27,,
Sri Lanka,World,Textiles and Clothing,Export,Export(US$ Mil),           5108.36,           4625.35,           4126.37,           4304.56,           3583.90,           3337.78,           3522.92,           3318.80,           3120.99,           2928.66,           2835.45,           2593.63,           2440.76,           2568.29,           2994.08,           2436.84,,,,,           1549.26,           1405.61,           1220.75,            822.32,            664.80,,
Sri Lanka,World,Transportation,Export,Export(US$ Mil),            210.50,            145.57,            222.88,            224.76,            184.65,            126.59,            107.41,            150.12,            137.96,            104.66,            144.76,             96.29,            102.14,             96.57,             55.60,             19.37,,,,,              8.65,              3.17,              3.16,             24.70,             30.72,,
Sri Lanka,World,Vegetable,Export,Export(US$ Mil),           2332.87,           2127.39,           1917.29,           2081.87,           1822.46,           1503.99,           1706.01,           1510.88,           1253.13,           1179.09,            943.27,            848.47,            831.18,            828.03,            877.45,            828.99,,,,,            578.55,            538.12,            479.45,            555.29,            622.02,,
Sri Lanka,World,Wood,Export,Export(US$ Mil),            186.60,            152.17,            156.52,            346.10,            169.74,            106.27,            130.79,             96.61,             74.88,             68.80,             54.17,             48.37,             36.16,             31.72,             37.23,             30.59,,,,,             41.26,             32.60,             25.25,             28.03,             15.63,,
Sri Lanka,World,All Products,Export,Exports (in US$ Mil),          11295.49,          10004.88,           9369.78,          10011.28,           8304.05,           7121.49,           8176.82,           7661.31,           6760.00,           6159.86,           5466.64,           4867.83,           4722.97,           4723.87,           5337.52,           4467.27,,,,,           3209.66,           2846.94,           2453.99,           1987.23,           1912.60,,
Sri Lanka,World,Capital goods,Import,Import(US$ Mil),           3188.54,           3120.62,           3386.64,           3567.12,           2078.76,           1396.26,           2009.01,           1795.54,           1816.30,           1451.82,           1348.42,           1065.58,            940.05,            865.68,           1148.50,           1025.16,,,,,            907.19,            779.87,            685.25,            562.39,            449.68,,
Sri Lanka,World,Consumer goods,Import,Import(US$ Mil),           6424.10,           5676.62,           5290.21,           5989.38,           3567.66,           2423.48,           3736.57,           3273.54,           2262.34,           1752.87,           1795.22,           1559.64,           1549.98,           1119.00,           1280.06,           1191.43,,,,,            745.80,            668.27,            708.01,            505.94,            426.95,,
Sri Lanka,World,Intermediate goods,Import,Import(US$ Mil),           7063.14,           6563.31,           6537.81,           7254.03,           5033.89,           3959.20,           5502.12,           4328.81,           3966.44,           3656.17,           3343.12,           2884.38,           2550.01,           2573.15,           2816.70,           2483.32,,,,,           2185.08,           1813.01,           1606.45,           1500.41,           1225.64,,
