Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lesotho,...,...,Development,GDP (current US$ Mil),           2088.02,           2147.68,           2384.02,           2523.36,           2187.42,           1711.47,           1630.67,           1597.48,           1428.85,           1368.35,           1234.22,            969.17,            656.75,            706.40,            771.26,            801.54,            819.42,            859.81,            815.95,            859.09,            755.04,            721.61,            720.55,            608.77,            544.58,            451.44,            429.73
Lesotho,...,...,Export,No. Of Export partners,,,             48.00,             63.00,             31.00,             29.00,             29.00,,,,             29.00,             19.00,             13.00,             35.00,             12.00,,,,,,,,,,,,
Lesotho,...,...,Export,No. Of Export products,,,            637.00,            615.00,            545.00,            614.00,            738.00,,,,            762.00,            653.00,            797.00,            474.00,            167.00,,,,,,,,,,,,
Lesotho,...,...,Import,No. Of Import partners,,,             62.00,             56.00,             79.00,             22.00,             26.00,,,,             54.00,             53.00,             47.00,             42.00,             44.00,,,,,,,,,,,,
Lesotho,...,...,Import,No. Of Import products,,,           3599.00,           3590.00,           3642.00,           3701.00,           3248.00,,,,           3453.00,           3174.00,           3200.00,           3070.00,           3129.00,,,,,,,,,,,,
Lesotho,...,...,Tariff,No. Of Tariff Agreement,,,              4.00,              4.00,              4.00,              4.00,              4.00,,,,              3.00,,,              2.00,,,,,,,,,,,,,
Lesotho,...,...,Development,Trade Balance (current US$ Mil),,          -1348.56,          -1412.37,          -1390.40,          -1465.79,          -1146.56,          -1051.93,          -1052.79,           -936.61,           -985.18,           -906.09,           -768.57,           -509.26,           -584.15,           -770.34,           -882.56,           -969.01,           -827.15,           -809.83,           -848.75,           -735.19,           -739.85,           -821.56,           -770.45,           -568.55,           -531.76,           -515.22
Lesotho,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.40,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             21.63,             23.26,,             10.23,,,,,             94.55,              4.87,,             21.49,,,,,,,,,,,,,
Lesotho,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.81,,,,,,,,,,,,
Lesotho,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,              1.69,,,,,,,,,,,,,
Lesotho,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              5.83,             43.23,              7.89,             95.02,              1.10,,,,              5.49,              7.60,             24.76,             14.41,              0.24,,,,,,,,,,,,
Lesotho,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             44.47,              5.95,             33.76,,,,,,             55.96,             29.18,             30.49,              2.69,              9.80,,,,,,,,,,,,
Lesotho,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              2.28,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,              0.63,,,,,,,,,,,,,
Lesotho,"Gambia, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              2.53,,,,,,,,,,,,,,,,,,,,,
