Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Luxembourg,...,...,Development,GDP (current US$ Mil),,          60130.85,          56292.40,          58952.50,          52146.80,          50144.30,          54961.90,          49210.50,          41781.20,          37024.50,          34207.80,          29095.00,          23285.90,          20998.20,          21303.00,          22267.70,          20340.20,          19460.30,          21630.50,          21729.60,          18445.90,          16594.90,          16171.00,          14415.70,          13315.90,          10459.56,           9814.04
Luxembourg,...,...,Export,No. Of Export partners,            193.00,            188.00,            191.00,            192.00,            189.00,            189.00,            187.00,            191.00,            191.00,            189.00,            193.00,            191.00,            192.00,            188.00,            180.00,            170.00,,,,,,,,,,,
Luxembourg,...,...,Export,No. Of Export products,           3401.00,           3400.00,           3336.00,           3382.00,           3361.00,           3395.00,           3435.00,           3392.00,           3516.00,           3429.00,           3418.00,           3419.00,           3440.00,           3367.00,           3298.00,           3271.00,,,,,,,,,,,
Luxembourg,...,...,Import,No. Of Import partners,            208.00,            212.00,            214.00,            209.00,            205.00,            206.00,            205.00,            137.00,            145.00,            124.00,            158.00,            156.00,            148.00,            152.00,            133.00,            112.00,,,,,,,,,,,
Luxembourg,...,...,Import,No. Of Import products,           4295.00,           4277.00,           4292.00,           4321.00,           4325.00,           4319.00,           4349.00,           4310.00,           4505.00,           4493.00,           4529.00,           4533.00,           4505.00,           4524.00,           4513.00,           4526.00,,,,,,,,,,,
Luxembourg,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,...,...,Development,Trade Balance (current US$ Mil),,          21167.90,          19050.20,          19556.90,          17517.20,          16490.80,          17918.20,          15954.20,          13307.10,           9882.40,           8814.40,           7186.30,           6072.60,           5070.40,           5670.60,           5400.40,           4334.60,           4246.50,           5218.90,           5394.10,           4391.90,           3578.00,           3227.80,           2328.00,           2285.40,           1907.76,           1452.22
Luxembourg,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1934.61,           1833.22,           1779.14,           2024.08,           1752.96,           1697.85,           2269.79,           2022.68,           1739.52,           1446.89,           1458.10,           1238.59,           1036.61,            991.12,           1012.72,           1013.79,,,,,,,,,,,
Luxembourg,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5648.52,           5886.75,           5943.94,           6475.39,           5069.34,           4515.07,           6224.76,           7208.91,           6668.88,           5893.66,           6004.92,           4805.77,           3763.34,           3619.05,           3654.92,           3513.16,,,,,,,,,,,
Luxembourg,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2036.42,           2022.17,           2028.16,           2532.66,           2253.58,           2172.96,           2955.55,           2716.01,           2363.49,           2190.33,           2416.05,           2005.23,           1687.21,           1588.50,           1634.73,           1640.84,,,,,,,,,,,
Luxembourg,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3294.64,           3058.06,           3157.60,           3267.06,           3035.30,           2361.78,           3465.43,           2596.98,           2250.02,           2086.16,           2331.28,           1926.83,           1761.55,           1418.00,           1320.56,           1223.08,,,,,,,,,,,
Luxembourg,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4061.69,           3834.05,           3732.71,           4527.57,           3950.32,           3399.66,           4643.95,           4158.46,           3490.09,           3223.63,           3187.58,           2650.50,           2103.99,           1913.35,           1814.41,           1860.87,,,,,,,,,,,
Luxembourg,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5575.81,           5594.38,           5459.47,           6235.28,           5219.72,           4670.75,           6582.69,           6071.44,           5057.92,           4465.56,           4529.85,           3834.66,           2903.07,           2693.54,           2451.89,           2536.59,,,,,,,,,,,
Luxembourg,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            516.46,            701.43,            676.88,            582.22,            835.76,            866.27,            782.80,            795.71,            818.07,            592.54,            480.14,            495.02,            424.68,            405.08,,,,,,,,,,,
Luxembourg,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            327.70,,,,,,,,,,,,,,,
Luxembourg,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            744.58,            722.58,            707.90,            872.00,            673.96,            603.94,           1031.64,            881.52,            711.02,,,,,,,,,,,,,,,,,,
Luxembourg,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            841.75,            805.72,           1051.91,           1374.18,           1114.83,           1102.93,            843.22,            744.56,            598.87,            563.57,            500.44,            498.32,,,,,,,,,,,
Luxembourg,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            930.37,            830.51,,,,,,,,,,,,,,,,,,
Luxembourg,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            554.11,            483.46,,,,,,,,            656.48,            604.58,            595.58,            656.60,            795.69,            598.15,            645.16,,,,,,,,,,,
Luxembourg,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1649.63,           1927.60,           2019.10,           1339.55,,,,,,            625.59,            598.38,,            502.77,            626.09,            691.85,           1149.75,,,,,,,,,,,
Luxembourg,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1538.96,           1548.95,           1743.73,           1883.13,           1578.24,           1865.66,           2280.18,,,,,,,,,,,,,,,,,,,,
Luxembourg,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,World,Animal,Export,Export(US$ Mil),            738.85,            588.27,            507.40,            514.30,            459.30,            427.81,            475.52,            375.47,            327.24,            286.48,            278.28,            245.92,            205.41,            180.35,            128.18,            139.59,,,,,,,,,,,
Luxembourg,World,Capital goods,Export,Export(US$ Mil),           2951.66,           2816.98,           2878.91,           3301.18,           2764.52,           2710.44,           3478.70,           3601.18,           3179.07,           2893.10,           2571.95,           2251.26,           2100.64,           2305.00,           2018.48,           1897.45,,,,,,,,,,,
Luxembourg,World,Chemicals,Export,Export(US$ Mil),            690.40,            599.38,            481.68,            579.17,            484.77,            493.66,            600.70,            529.26,            515.94,            464.38,            392.24,            361.73,            261.71,            238.34,            244.21,            299.59,,,,,,,,,,,
Luxembourg,World,Consumer goods,Export,Export(US$ Mil),           5485.15,           5212.86,           4984.81,           5131.73,           4421.41,           4244.59,           5512.86,           4939.61,           4286.52,           4170.72,           3821.46,           3333.04,           2784.82,           2526.45,           2214.29,           2488.95,,,,,,,,,,,
Luxembourg,World,Food Products,Export,Export(US$ Mil),            684.47,            595.69,            594.07,            559.53,            475.19,            474.56,            520.35,            470.93,            417.15,            458.57,            393.18,            329.53,            323.49,            290.84,            322.26,            297.67,,,,,,,,,,,
Luxembourg,World,Footwear,Export,Export(US$ Mil),             30.27,             28.08,             38.11,             86.70,             97.54,             68.98,             20.01,             14.58,             19.76,             19.76,             13.67,             13.02,             11.83,              9.27,              5.02,              5.51,,,,,,,,,,,
Luxembourg,World,Fuels,Export,Export(US$ Mil),            116.93,            125.55,            124.05,            133.93,            131.70,            155.30,            150.42,            125.24,            107.24,             62.15,             69.35,             48.28,             48.70,             14.55,              7.56,              5.37,,,,,,,,,,,
Luxembourg,World,Hides and Skins,Export,Export(US$ Mil),             11.52,             11.12,             10.87,              8.54,              7.14,              6.93,              6.54,              8.44,              8.76,              6.74,              3.87,              4.21,              2.15,              5.36,              5.54,              6.05,,,,,,,,,,,
