Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Latvia,...,...,Development,GDP (current US$ Mil),          31920.82,          30908.76,          28545.10,          28319.40,          23868.60,          26155.10,          35671.10,          30945.80,          21620.60,          17091.40,          15267.20,          12884.10,          11521.30,          10437.90,           9872.05,           8375.15,           7587.55,           6928.63,           5985.86,           5880.99,,,,,,,
Latvia,...,...,Export,No. Of Export partners,            198.00,            195.00,            191.00,            181.00,            177.00,            178.00,            182.00,            177.00,            170.00,            157.00,            151.00,            146.00,            135.00,            130.00,            129.00,            125.00,            121.00,            106.00,            100.00,             90.00,             98.00,,,,,,
Latvia,...,...,Export,No. Of Export products,           3624.00,           3622.00,           3580.00,           3604.00,           3551.00,           3528.00,           3458.00,           3413.00,           3489.00,           3412.00,           3450.00,           3328.00,           3316.00,           3245.00,           3183.00,           3044.00,           2958.00,           2927.00,           2788.00,           2834.00,           2776.00,,,,,,
Latvia,...,...,Import,No. Of Import partners,            146.00,            138.00,            140.00,            139.00,            139.00,            126.00,            141.00,            133.00,            140.00,            129.00,            122.00,            124.00,            123.00,            116.00,            106.00,            109.00,            109.00,            111.00,            121.00,            110.00,            108.00,,,,,,
Latvia,...,...,Import,No. Of Import products,           4297.00,           4279.00,           4307.00,           4308.00,           4249.00,           4203.00,           4295.00,           4295.00,           4523.00,           4479.00,           4495.00,           4431.00,           4418.00,           4438.00,           4396.00,           4365.00,           4315.00,           4260.00,           4194.00,           4072.00,           3904.00,,,,,,
Latvia,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,              2.00,,,,              2.00,,,,,,,,,
Latvia,...,...,Development,Trade Balance (current US$ Mil),           -913.46,           -901.69,          -1260.30,          -1410.00,           -347.60,           -422.30,          -4598.30,          -5900.70,          -4475.78,          -2474.12,          -2361.58,          -1616.46,          -1170.75,          -1087.70,           -796.90,           -830.03,           -921.53,           -628.86,           -540.68,           -279.81,             73.48,            510.51,            234.34,            463.50,            -68.73,,
Latvia,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            561.95,,,,,,,,,,,,,,,,,
Latvia,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            108.83,,,,,,,,,,,,
Latvia,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1615.26,           1693.16,           1654.01,           1635.32,           1193.31,           1032.06,           1302.74,           1136.54,            749.80,            553.51,            333.68,            190.41,            137.04,,,,,,,,,,,,,,
Latvia,Estonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1292.38,           1369.83,           1245.39,           1149.27,            797.12,            744.84,           1122.72,           1229.25,            885.18,            682.05,            501.04,            336.43,,,,,            211.70,,,,,,,,,,
Latvia,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            387.41,            324.54,            280.78,            275.86,            268.19,            303.90,            263.74,,            189.51,            106.02,,,,,,
Latvia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            932.41,            987.06,           1005.43,            991.97,            772.13,            625.11,            751.12,            689.76,            594.42,            525.49,            533.66,            428.90,            353.88,            333.79,            320.95,            290.73,            282.65,            230.12,,            177.54,            104.36,,,,,,
Latvia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1914.16,           1943.95,           1856.08,           1870.05,           1281.82,           1076.73,           2057.46,           2303.71,           1770.94,           1194.93,            989.29,            842.26,            697.21,            596.43,            499.29,            446.28,            535.23,            435.33,,            280.00,            168.69,,,,,,
Latvia,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2542.79,           2291.89,           2029.45,           2171.84,           1436.92,           1175.33,           1550.16,           1247.64,            864.15,            558.30,            379.92,            237.14,            190.73,            162.26,            141.51,            129.62,            134.36,            125.51,,             72.27,,,,,,,
Latvia,Lithuania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2953.06,           3417.01,           3194.59,           2897.80,           1899.97,           1587.85,           2602.02,           2112.28,           1482.88,           1180.89,            871.96,            508.02,            399.07,            296.64,            241.40,            215.96,,            173.25,,            100.81,,,,,,,
Latvia,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            881.40,            894.32,            762.54,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1906.00,           1654.88,           1384.20,           1249.31,            877.75,            787.53,           1133.28,           1061.49,            822.98,,,,,,,,,,,,,,,,,,
Latvia,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1456.75,           1551.46,           1446.45,           1266.23,            937.22,            629.87,            926.56,            754.45,            522.24,            440.23,,,,            116.86,,            113.35,            218.55,            350.15,,            330.54,            278.28,,,,,,
Latvia,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1355.60,           1404.62,           1513.42,           1317.66,           1115.50,           1002.59,           1679.44,           1275.20,            894.09,            781.20,            680.22,            455.37,            355.39,            321.87,            370.37,            309.37,            375.36,            424.60,,            394.65,            292.04,,,,,,
Latvia,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            760.43,            557.15,            436.96,            614.74,            611.44,,,            427.87,            305.35,            240.77,            191.46,            202.66,            184.02,            186.40,            138.72,,            121.44,             68.42,,,,,,
Latvia,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            452.60,,            258.71,            227.70,            215.38,            213.29,            229.10,            208.79,,            145.71,             79.73,,,,,,
Latvia,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             58.35,,,,,,
